Tm,G,PA,Ply,Y/P,Year
Kansas City Chiefs,16.0,241.0,1047.0,4.3,1995
San Francisco 49ers,16.0,258.0,999.0,4.4,1995
Dallas Cowboys,16.0,291.0,1001.0,5.0,1995
Green Bay Packers,16.0,314.0,1029.0,5.0,1995
Indianapolis Colts,16.0,316.0,1016.0,4.9,1995
San Diego Chargers,16.0,323.0,1020.0,5.0,1995
Houston Oilers,16.0,324.0,983.0,4.7,1995
Carolina Panthers,16.0,325.0,1072.0,4.7,1995
Pittsburgh Steelers,16.0,327.0,943.0,4.8,1995
Oakland Raiders,16.0,332.0,1016.0,5.0,1995
Miami Dolphins,16.0,332.0,1000.0,5.2,1995
Buffalo Bills,16.0,335.0,1084.0,4.7,1995
Tampa Bay Buccaneers,16.0,335.0,1031.0,5.5,1995
Detroit Lions,16.0,336.0,1031.0,5.4,1995
Philadelphia Eagles,16.0,338.0,1013.0,4.6,1995
New York Giants,16.0,340.0,1037.0,5.1,1995
Denver Broncos,16.0,345.0,1010.0,5.1,1995
New Orleans Saints,16.0,348.0,1056.0,5.3,1995
Atlanta Falcons,16.0,349.0,1084.0,5.6,1995
Cleveland Browns,16.0,356.0,1082.0,5.2,1995
Washington Redskins,16.0,359.0,1059.0,5.1,1995
Chicago Bears,16.0,360.0,1035.0,5.3,1995
Seattle Seahawks,16.0,366.0,1078.0,5.3,1995
Cincinnati Bengals,16.0,374.0,1127.0,5.6,1995
New England Patriots,16.0,377.0,1034.0,5.6,1995
New York Jets,16.0,384.0,1066.0,4.5,1995
Minnesota Vikings,16.0,385.0,1016.0,5.4,1995
Jacksonville Jaguars,16.0,404.0,1030.0,5.4,1995
St. Louis Rams,16.0,418.0,980.0,5.2,1995
Arizona Cardinals,16.0,422.0,995.0,5.7,1995
Avg Team,,343.8,1032.5,5.1,1995
League Total,,10314.0,30974.0,5.1,1995
Avg Tm/G,,21.5,64.5,5.1,1995
