Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Ronnie Harmon,102.0,79.0,914.0,1.0,11.6,9.0,1992
John Williams,122.0,74.0,556.0,2.0,7.5,4.6,1992
Emmitt Smith,74.0,59.0,335.0,1.0,5.7,4.5,1992
Thurman Thomas,87.0,58.0,626.0,3.0,10.8,7.2,1992
Lorenzo White,77.0,57.0,641.0,1.0,11.2,8.3,1992
Keith Byars,81.0,56.0,502.0,2.0,9.0,6.2,1992
Bobby Humphrey,75.0,54.0,507.0,1.0,9.4,6.8,1992
Cleveland Gary,55.0,52.0,293.0,3.0,5.6,5.3,1992
Larry Centers,59.0,50.0,417.0,2.0,8.3,7.1,1992
Terry Allen,70.0,49.0,478.0,2.0,9.8,6.8,1992
Anthony Johnson,60.0,49.0,517.0,3.0,10.6,8.6,1992
Harry Sydney,65.0,49.0,384.0,1.0,7.8,5.9,1992
Dalton Hilliard,59.0,48.0,465.0,4.0,9.7,7.9,1992
Tony Paige,60.0,48.0,399.0,1.0,8.3,6.7,1992
Eric Metcalf,69.0,47.0,614.0,5.0,13.1,8.9,1992
Vince Workman,59.0,47.0,290.0,0.0,6.2,4.9,1992
Reggie Rivers,63.0,45.0,449.0,1.0,10.0,7.1,1992
Todd McNair,62.0,44.0,380.0,1.0,8.6,6.1,1992
Tom Rathman,55.0,44.0,343.0,4.0,7.8,6.2,1992
Ricky Watters,52.0,43.0,405.0,2.0,9.4,7.8,1992
Neal Anderson,65.0,42.0,399.0,6.0,9.5,6.1,1992
Harold Green,48.0,41.0,214.0,0.0,5.2,4.5,1992
Earnest Byner,49.0,39.0,338.0,1.0,8.7,6.9,1992
Dave Meggett,65.0,38.0,229.0,2.0,6.0,3.5,1992
Herschel Walker,47.0,38.0,278.0,2.0,7.3,5.9,1992
Barry Foster,50.0,36.0,344.0,0.0,9.6,6.9,1992
Gary Anderson,54.0,34.0,284.0,0.0,8.4,5.3,1992
Brad Muster,45.0,34.0,389.0,2.0,11.4,8.6,1992
Johnny Bailey,44.0,33.0,331.0,1.0,10.0,7.5,1992
