Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Darren Sproles,104.0,75.0,667.0,7.0,8.9,6.4,2012
Ray Rice,83.0,61.0,478.0,1.0,7.8,5.8,2012
LeSean McCoy,67.0,54.0,373.0,3.0,6.9,5.6,2012
Jacquizz Rodgers,59.0,53.0,402.0,1.0,7.6,6.8,2012
Joique Bell,68.0,52.0,485.0,0.0,9.3,7.1,2012
Dexter McCluster,77.0,52.0,452.0,1.0,8.7,5.9,2012
Marcel Reece,73.0,52.0,496.0,1.0,9.5,6.8,2012
Trent Richardson,70.0,51.0,367.0,1.0,7.2,5.2,2012
Ronnie Brown,59.0,49.0,371.0,0.0,7.6,6.3,2012
Doug Martin,70.0,49.0,472.0,1.0,9.6,6.7,2012
Matt Forte,59.0,44.0,340.0,1.0,7.7,5.8,2012
C.J. Spiller,57.0,43.0,459.0,2.0,10.7,8.1,2012
Darren McFadden,63.0,42.0,258.0,1.0,6.1,4.1,2012
Arian Foster,58.0,40.0,217.0,2.0,5.4,3.7,2012
Adrian Peterson,51.0,40.0,217.0,1.0,5.4,4.3,2012
Danny Woodhead,55.0,40.0,446.0,3.0,11.2,8.1,2012
Ryan Mathews,56.0,39.0,252.0,0.0,6.5,4.5,2012
Pierre Thomas,53.0,39.0,354.0,1.0,9.1,6.7,2012
Steven Jackson,53.0,38.0,321.0,0.0,8.4,6.1,2012
Chris Johnson,49.0,36.0,232.0,0.0,6.4,4.7,2012
Reggie Bush,52.0,35.0,292.0,2.0,8.3,5.6,2012
Jamaal Charles,49.0,35.0,236.0,1.0,6.7,4.8,2012
DeMarco Murray,42.0,35.0,251.0,0.0,7.2,6.0,2012
James Casey,45.0,34.0,330.0,3.0,9.7,7.3,2012
Fred Jackson,42.0,34.0,217.0,1.0,6.4,5.2,2012
Mikel Leshoure,49.0,34.0,214.0,0.0,6.3,4.4,2012
Jason Snelling,35.0,31.0,203.0,1.0,6.5,5.8,2012
Frank Gore,36.0,28.0,234.0,1.0,8.4,6.5,2012
