Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Earnest Byner,28.0,WAS,RB,16.0,16.0,297.0,1219.0,6.0,22.0,4.1,76.2,18.6,2.0,PB,1990
Bobby Humphrey,24.0,DEN,RB,15.0,14.0,288.0,1202.0,7.0,37.0,4.2,80.1,19.2,8.0,PB,1990
Thurman Thomas,24.0,BUF,RB,16.0,16.0,271.0,1297.0,11.0,80.0,4.8,81.1,16.9,6.0,"PB,AP-1",1990
Marion Butts,24.0,SDG,RB,14.0,13.0,265.0,1225.0,8.0,52.0,4.6,87.5,18.9,0.0,"PB,AP-2",1990
Neal Anderson,26.0,CHI,RB,15.0,14.0,260.0,1078.0,10.0,52.0,4.1,71.9,17.3,2.0,"PB,AP-2,AP OPoY-6",1990
Barry Sanders,22.0,DET,RB,16.0,16.0,255.0,1304.0,13.0,45.0,5.1,81.5,15.9,4.0,"PB,AP-1,AP OPoY-3",1990
Christian Okoye,29.0,KAN,FB,14.0,13.0,245.0,805.0,7.0,32.0,3.3,57.5,17.5,6.0,,1990
Emmitt Smith,21.0,DAL,RB,16.0,15.0,241.0,937.0,11.0,48.0,3.9,58.6,15.1,7.0,"PB,AP ORoY-1",1990
Johnny Johnson,22.0,PHO,RB,14.0,14.0,234.0,926.0,5.0,41.0,4.0,66.1,16.7,7.0,"PB,AP ORoY-2",1990
Sammie Smith,23.0,MIA,RB,16.0,16.0,226.0,831.0,8.0,33.0,3.7,51.9,14.1,8.0,,1990
Ottis Anderson,33.0,NYG,RB,16.0,11.0,225.0,784.0,11.0,28.0,3.5,49.0,14.1,1.0,,1990
Derrick Fenner,23.0,SEA,RB,16.0,15.0,215.0,859.0,14.0,36.0,4.0,53.7,13.4,3.0,,1990
John Stephens,24.0,NWE,RB,16.0,14.0,212.0,808.0,2.0,26.0,3.8,50.5,13.3,5.0,,1990
Cleveland Gary,24.0,RAM,RB,15.0,7.0,204.0,808.0,14.0,48.0,4.0,53.9,13.6,12.0,,1990
Barry Word,27.0,KAN,RB,16.0,3.0,204.0,1015.0,4.0,53.0,5.0,63.4,12.8,4.0,,1990
Merril Hoge,25.0,PIT,FB,16.0,15.0,203.0,772.0,7.0,41.0,3.8,48.3,12.7,6.0,,1990
James Brooks,32.0,CIN,RB,16.0,15.0,195.0,1004.0,5.0,56.0,5.1,62.8,12.2,3.0,PB,1990
John Williams,26.0,SEA,FB,16.0,16.0,187.0,714.0,3.0,25.0,3.8,44.6,11.7,5.0,PB,1990
Herschel Walker,28.0,MIN,RB,16.0,16.0,184.0,770.0,5.0,58.0,4.2,48.1,11.5,4.0,,1990
Marcus Allen,30.0,RAI,RB,16.0,15.0,179.0,682.0,12.0,28.0,3.8,42.6,11.2,1.0,,1990
Lorenzo White,24.0,HOU,RB,16.0,16.0,168.0,702.0,8.0,22.0,4.2,43.9,10.5,7.0,,1990
Gary Anderson,29.0,TAM,RB,16.0,13.0,166.0,646.0,3.0,22.0,3.9,40.4,10.4,7.0,,1990
Eric Dickerson,30.0,IND,RB,11.0,8.0,166.0,677.0,4.0,43.0,4.1,61.5,15.1,0.0,,1990
Heath Sherman,23.0,PHI,FB,14.0,6.0,164.0,685.0,1.0,36.0,4.2,48.9,11.7,4.0,,1990
Mike Rozier,29.0,2TM,RB,16.0,5.0,163.0,717.0,3.0,67.0,4.4,44.8,10.2,6.0,,1990
Mike Rozier,29.0,HOU,RB,3.0,0.0,10.0,42.0,0.0,11.0,4.2,14.0,3.3,0.0,,1990
Mike Rozier,29.0,ATL,RB,13.0,5.0,153.0,675.0,3.0,67.0,4.4,51.9,11.8,6.0,,1990
Kevin Mack,28.0,CLE,FB,14.0,14.0,158.0,702.0,5.0,26.0,4.4,50.1,11.3,6.0,,1990
Reggie Cobb,22.0,TAM,FB,16.0,13.0,151.0,480.0,2.0,17.0,3.2,30.0,9.4,8.0,,1990
Roger Craig,30.0,SFO,RB,11.0,11.0,141.0,439.0,1.0,26.0,3.1,39.9,12.8,2.0,,1990
Brad Muster,25.0,CHI,FB,16.0,15.0,141.0,664.0,6.0,28.0,4.7,41.5,8.8,3.0,,1990
Rueben Mayes,27.0,NOR,RB,15.0,8.0,138.0,510.0,7.0,18.0,3.7,34.0,9.2,1.0,,1990
Albert Bentley,30.0,IND,FB,16.0,15.0,137.0,556.0,4.0,26.0,4.1,34.8,8.6,2.0,,1990
Anthony Toney,28.0,PHI,FB,15.0,11.0,132.0,452.0,1.0,20.0,3.4,30.1,8.8,3.0,,1990
Craig Heyward,24.0,NOR,FB,16.0,15.0,129.0,599.0,4.0,47.0,4.6,37.4,8.1,3.0,,1990
Steve Broussard,23.0,ATL,RB,13.0,10.0,126.0,454.0,4.0,50.0,3.6,34.9,9.7,6.0,,1990
Bo Jackson,28.0,RAI,RB,10.0,0.0,125.0,698.0,5.0,88.0,5.6,69.8,12.5,3.0,PB,1990
Brad Baxter,23.0,NYJ,FB,16.0,10.0,124.0,539.0,6.0,28.0,4.3,33.7,7.8,4.0,,1990
Rod Bernstine,25.0,SDG,RB,12.0,1.0,124.0,589.0,4.0,40.0,4.8,49.1,10.3,1.0,,1990
Gerald Riggs,30.0,WAS,RB,10.0,0.0,123.0,475.0,6.0,20.0,3.9,47.5,12.3,2.0,,1990
Blair Thomas,23.0,NYJ,RB,15.0,11.0,123.0,620.0,1.0,41.0,5.0,41.3,8.2,3.0,,1990
Randall Cunningham,27.0,PHI,QB,16.0,16.0,118.0,942.0,5.0,52.0,8.0,58.9,7.4,9.0,"PB,AP MVP-2,AP OPoY-2",1990
Dexter Carter,23.0,SFO,RB,16.0,5.0,114.0,460.0,1.0,74.0,4.0,28.8,7.1,8.0,,1990
Rodney Hampton,21.0,NYG,RB,15.0,2.0,109.0,455.0,2.0,41.0,4.2,30.3,7.3,2.0,,1990
Tim Worley,24.0,PIT,RB,11.0,8.0,109.0,418.0,0.0,38.0,3.8,38.0,9.9,6.0,,1990
Anthony Thompson,23.0,PHO,RB,13.0,3.0,106.0,390.0,4.0,40.0,3.7,30.0,8.2,1.0,,1990
Tom Rathman,28.0,SFO,FB,16.0,16.0,101.0,318.0,7.0,22.0,3.1,19.9,6.3,2.0,,1990
Freeman McNeil,31.0,NYJ,RB,16.0,4.0,99.0,458.0,6.0,29.0,4.6,28.6,6.2,1.0,,1990
Michael Haddix,29.0,GNB,FB,16.0,12.0,98.0,311.0,0.0,13.0,3.2,19.4,6.1,3.0,,1990
Johnny Hector,30.0,NYJ,RB,15.0,3.0,91.0,377.0,2.0,22.0,4.1,25.1,6.1,2.0,,1990
Dalton Hilliard,26.0,NOR,RB,6.0,6.0,90.0,284.0,0.0,17.0,3.2,47.3,15.0,2.0,,1990
Rick Fenney,26.0,MIN,FB,12.0,5.0,87.0,376.0,2.0,27.0,4.3,31.3,7.3,3.0,,1990
Timm Rosenbach,24.0,PHO,QB,16.0,16.0,86.0,470.0,3.0,25.0,5.5,29.4,5.4,10.0,,1990
Lewis Tillman,24.0,NYG,RB,16.0,3.0,84.0,231.0,1.0,17.0,2.8,14.4,5.3,0.0,,1990
Harold Green,22.0,CIN,FB,12.0,9.0,83.0,353.0,1.0,39.0,4.3,29.4,6.9,2.0,,1990
Steve Smith,26.0,RAI,FB,16.0,15.0,81.0,327.0,2.0,17.0,4.0,20.4,5.1,3.0,,1990
Eric Metcalf,22.0,CLE,RB,16.0,10.0,80.0,248.0,1.0,17.0,3.1,15.5,5.0,8.0,,1990
Marc Logan,25.0,MIA,RB,16.0,0.0,79.0,317.0,2.0,17.0,4.0,19.8,4.9,4.0,,1990
Darrell Thompson,23.0,GNB,RB,16.0,0.0,76.0,264.0,1.0,37.0,3.5,16.5,4.8,1.0,,1990
Gill Fenerty,27.0,NOR,RB,15.0,0.0,73.0,355.0,2.0,60.0,4.9,23.7,4.9,4.0,,1990
Gaston Green,24.0,RAM,RB,15.0,3.0,68.0,261.0,0.0,31.0,3.8,17.4,4.5,1.0,,1990
Warren Williams,25.0,PIT,RB,14.0,4.0,68.0,389.0,3.0,70.0,5.7,27.8,4.9,5.0,,1990
Ronnie Harmon,26.0,SDG,RB,16.0,2.0,66.0,363.0,0.0,41.0,5.5,22.7,4.1,1.0,,1990
Allen Pinkett,26.0,HOU,RB,15.0,0.0,66.0,268.0,0.0,19.0,4.1,17.9,4.4,0.0,,1990
Kenneth Davis,28.0,BUF,RB,16.0,0.0,64.0,302.0,4.0,47.0,4.7,18.9,4.0,1.0,,1990
Ickey Woods,24.0,CIN,FB,10.0,6.0,64.0,268.0,6.0,32.0,4.2,26.8,6.4,1.0,,1990
Marvin Allen,25.0,NWE,RB,8.0,3.0,63.0,237.0,1.0,29.0,3.8,29.6,7.9,1.0,,1990
Alfred Anderson,29.0,MIN,FB,11.0,6.0,59.0,207.0,2.0,14.0,3.5,18.8,5.4,1.0,,1990
Jamie Mueller,26.0,BUF,FB,16.0,8.0,59.0,207.0,2.0,20.0,3.5,12.9,3.7,1.0,,1990
Leroy Hoard,22.0,CLE,RB,14.0,5.0,58.0,149.0,3.0,42.0,2.6,10.6,4.1,6.0,,1990
Thomas Sanders,28.0,PHI,RB,10.0,0.0,56.0,208.0,1.0,39.0,3.7,20.8,5.6,0.0,,1990
Warren Moon,34.0,HOU,QB,15.0,15.0,55.0,215.0,2.0,17.0,3.9,14.3,3.7,18.0,"PB,AP-2,AP MVP-3,AP OPoY-1",1990
Tommie Agee,26.0,DAL,FB,16.0,11.0,53.0,213.0,0.0,28.0,4.0,13.3,3.3,0.0,,1990
Rich Gannon,25.0,MIN,QB,14.0,12.0,52.0,268.0,1.0,27.0,5.2,19.1,3.7,10.0,,1990
Jim Harbaugh,27.0,CHI,QB,14.0,14.0,51.0,321.0,4.0,21.0,6.3,22.9,3.6,8.0,,1990
Craig Taylor,24.0,CIN,RB,12.0,1.0,51.0,216.0,2.0,24.0,4.2,18.0,4.3,0.0,,1990
John Elway,30.0,DEN,QB,16.0,16.0,50.0,258.0,3.0,21.0,5.2,16.1,3.1,8.0,,1990
Boomer Esiason,29.0,CIN,QB,16.0,16.0,49.0,157.0,0.0,21.0,3.2,9.8,3.1,11.0,,1990
Keith Jones,24.0,ATL,FB,15.0,10.0,49.0,185.0,0.0,22.0,3.8,12.3,3.3,2.0,,1990
Curt Warner,29.0,RAM,RB,7.0,2.0,49.0,139.0,1.0,9.0,2.8,19.9,7.0,1.0,,1990
Greg Bell,28.0,RAI,RB,6.0,0.0,47.0,164.0,1.0,21.0,3.5,27.3,7.8,0.0,,1990
Rodney Peete,24.0,DET,QB,11.0,11.0,47.0,363.0,6.0,37.0,7.7,33.0,4.3,9.0,,1990
Bob Gagliano,32.0,DET,QB,9.0,4.0,46.0,145.0,0.0,22.0,3.2,16.1,5.1,5.0,,1990
Keith Woodside,26.0,GNB,RB,16.0,13.0,46.0,182.0,1.0,21.0,4.0,11.4,2.9,2.0,,1990
Brent Fullwood,27.0,GNB,RB,5.0,4.0,44.0,124.0,1.0,16.0,2.8,24.8,8.8,1.0,,1990
Buford McGee,30.0,RAM,FB,16.0,15.0,44.0,234.0,1.0,19.0,5.3,14.6,2.8,0.0,,1990
Sammy Winder,31.0,DEN,RB,15.0,2.0,42.0,120.0,2.0,19.0,2.9,8.0,2.8,2.0,,1990
Troy Aikman,24.0,DAL,QB,15.0,15.0,40.0,172.0,1.0,20.0,4.3,11.5,2.7,5.0,,1990
Joe Montana,34.0,SFO,QB,15.0,15.0,40.0,162.0,1.0,20.0,4.1,10.8,2.7,4.0,"PB,AP-1,AP MVP-1,AP OPoY-3",1990
Jeff Hostetler,29.0,NYG,QB,16.0,2.0,39.0,190.0,2.0,30.0,4.9,11.9,2.4,4.0,,1990
Vinny Testaverde,27.0,TAM,QB,14.0,13.0,38.0,280.0,1.0,48.0,7.4,20.0,2.7,10.0,,1990
Keith Byars,27.0,PHI,RB,16.0,15.0,37.0,141.0,0.0,23.0,3.8,8.8,2.3,4.0,,1990
Jay Schroeder,29.0,RAI,QB,16.0,16.0,37.0,81.0,0.0,17.0,2.2,5.1,2.3,11.0,,1990
Troy Stradford,26.0,MIA,RB,14.0,0.0,37.0,138.0,1.0,15.0,3.7,9.9,2.6,5.0,,1990
Maurice Carthon,29.0,NYG,FB,16.0,13.0,36.0,143.0,0.0,12.0,4.0,8.9,2.3,1.0,,1990
Barry Foster,22.0,PIT,RB,16.0,1.0,36.0,203.0,1.0,38.0,5.6,12.7,2.3,2.0,,1990
Harry Sydney,31.0,SFO,RB,16.0,0.0,35.0,166.0,2.0,19.0,4.7,10.4,2.2,1.0,,1990
Dave Krieg,32.0,SEA,QB,16.0,16.0,32.0,115.0,0.0,25.0,3.6,7.2,2.0,16.0,,1990
Tony Paige,28.0,MIA,FB,13.0,13.0,32.0,95.0,2.0,11.0,3.0,7.3,2.5,1.0,,1990
Bob Perryman,26.0,NWE,FB,8.0,7.0,32.0,97.0,1.0,13.0,3.0,12.1,4.0,2.0,,1990
Derrick Gainer,24.0,CLE,RB,16.0,1.0,30.0,81.0,1.0,9.0,2.7,5.1,1.9,0.0,,1990
Tracy Johnson,24.0,ATL,RB,16.0,5.0,30.0,106.0,3.0,12.0,3.5,6.6,1.9,1.0,,1990
Don Majkowski,26.0,GNB,QB,9.0,8.0,29.0,186.0,1.0,24.0,6.4,20.7,3.2,6.0,,1990
George Adams,28.0,NWE,FB,16.0,7.0,28.0,111.0,0.0,13.0,4.0,6.9,1.8,1.0,,1990
Mel Bratton,25.0,DEN,RB,16.0,3.0,27.0,82.0,3.0,10.0,3.0,5.1,1.7,3.0,,1990
Mark Green,23.0,CHI,RB,12.0,1.0,27.0,126.0,0.0,14.0,4.7,10.5,2.3,0.0,,1990
John Harvey,24.0,TAM,RB,16.0,1.0,27.0,113.0,0.0,14.0,4.2,7.1,1.7,2.0,,1990
Johnny Bailey,23.0,CHI,RB,16.0,1.0,26.0,86.0,0.0,9.0,3.3,5.4,1.6,8.0,,1990
Chris Miller,25.0,ATL,QB,12.0,12.0,26.0,99.0,1.0,18.0,3.8,8.3,2.2,11.0,,1990
Bubby Brister,28.0,PIT,QB,16.0,16.0,25.0,64.0,0.0,11.0,2.6,4.0,1.6,9.0,,1990
Blake Ezor,24.0,DEN,RB,9.0,0.0,23.0,81.0,0.0,15.0,3.5,9.0,2.6,1.0,,1990
Stan Humphries,25.0,WAS,QB,7.0,5.0,23.0,106.0,2.0,17.0,4.6,15.1,3.3,0.0,,1990
Eric Ball,24.0,CIN,RB,13.0,1.0,22.0,72.0,1.0,15.0,3.3,5.5,1.7,1.0,,1990
Jim Kelly,30.0,BUF,QB,14.0,14.0,22.0,63.0,0.0,15.0,2.9,4.5,1.6,4.0,"PB,AP MVP-5,AP OPoY-6",1990
Dave Meggett,24.0,NYG,RB,16.0,1.0,22.0,164.0,0.0,51.0,7.5,10.3,1.4,3.0,AP-2,1990
Allen Rice,28.0,MIN,RB,15.0,0.0,22.0,74.0,0.0,13.0,3.4,4.9,1.5,1.0,,1990
Steve DeBerg,36.0,KAN,QB,16.0,16.0,21.0,-5.0,0.0,6.0,-0.2,-0.3,1.3,9.0,AP MVP-6,1990
Anthony Dilweg,25.0,GNB,QB,9.0,7.0,21.0,114.0,0.0,22.0,5.4,12.7,2.3,10.0,,1990
Ken O'Brien,30.0,NYJ,QB,16.0,16.0,21.0,72.0,0.0,15.0,3.4,4.5,1.3,5.0,,1990
Phil Simms,35.0,NYG,QB,14.0,14.0,21.0,61.0,1.0,20.0,2.9,4.4,1.5,7.0,,1990
Jim Everett,27.0,RAM,QB,16.0,16.0,20.0,31.0,1.0,15.0,1.6,1.9,1.3,4.0,PB,1990
Don Smith,27.0,BUF,RB,16.0,2.0,20.0,82.0,2.0,13.0,4.1,5.1,1.3,1.0,,1990
Steve Walsh,24.0,2TM,QB,13.0,11.0,20.0,25.0,0.0,18.0,1.3,1.9,1.5,6.0,,1990
Steve Walsh,24.0,DAL,QB,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,1.0,,1990
Steve Walsh,24.0,NOR,QB,12.0,11.0,19.0,25.0,0.0,18.0,1.3,2.1,1.6,5.0,,1990
Reggie Dupard,27.0,WAS,RB,7.0,0.0,19.0,85.0,0.0,11.0,4.5,12.1,2.7,0.0,,1990
Marcus Dupree,26.0,RAM,RB,7.0,1.0,19.0,72.0,0.0,13.0,3.8,10.3,2.7,0.0,,1990
Alonzo Highsmith,25.0,DAL,FB,7.0,5.0,19.0,48.0,0.0,7.0,2.5,6.9,2.7,1.0,,1990
Herman Fontenot,27.0,GNB,RB,14.0,0.0,17.0,76.0,0.0,18.0,4.5,5.4,1.2,1.0,,1990
