Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Travis Jervey,12.0,9.0,33.0,0.0,3.7,2.8,1998
Tim Lester,13.0,9.0,46.0,0.0,5.1,3.5,1998
Fred McAfee,13.0,9.0,27.0,0.0,3.0,2.1,1998
Jerald Moore,12.0,9.0,60.0,0.0,6.7,5.0,1998
James Allen,14.0,8.0,77.0,1.0,9.6,5.5,1998
Brandon Bennett,12.0,8.0,153.0,0.0,19.1,12.8,1998
Tim Biakabutuka,10.0,8.0,138.0,1.0,17.3,13.8,1998
Mack Strong,14.0,8.0,48.0,2.0,6.0,3.4,1998
Larry Bowie,10.0,7.0,53.0,1.0,7.6,5.3,1998
Ki-Jana Carter,6.0,6.0,25.0,0.0,4.2,4.2,1998
Curtis Enis,8.0,6.0,20.0,0.0,3.3,2.5,1998
Robert Holcombe,11.0,6.0,34.0,0.0,5.7,3.1,1998
Sedrick Shaw,11.0,6.0,30.0,0.0,5.0,2.7,1998
James Stewart,8.0,6.0,42.0,1.0,7.0,5.3,1998
Rodney Thomas,8.0,6.0,55.0,0.0,9.2,6.9,1998
Mike Archie,5.0,5.0,25.0,0.0,5.0,5.0,1998
Jay Graham,10.0,5.0,41.0,0.0,8.2,4.1,1998
Lorenzo Neal,8.0,5.0,14.0,1.0,2.8,1.8,1998
Antowain Smith,11.0,5.0,11.0,0.0,2.2,1.0,1998
Tavian Banks,4.0,4.0,20.0,0.0,5.0,5.0,1998
Steve Broussard,7.0,4.0,21.0,0.0,5.3,3.0,1998
Kenny Bynum,5.0,4.0,27.0,0.0,6.8,5.4,1998
Gary Downs,6.0,4.0,31.0,0.0,7.8,5.2,1998
Skip Hicks,8.0,4.0,23.0,0.0,5.8,2.9,1998
Glyn Milburn,6.0,4.0,37.0,0.0,9.3,6.2,1998
Richie Anderson,5.0,3.0,12.0,0.0,4.0,2.4,1998
Ahman Green,5.0,3.0,2.0,0.0,0.7,0.4,1998
Richard Huntley,6.0,3.0,18.0,0.0,6.0,3.0,1998
Randy Jordan,3.0,3.0,2.0,0.0,0.7,0.7,1998
Ron Rivers,3.0,3.0,58.0,0.0,19.3,19.3,1998
Cory Schlesinger,6.0,3.0,16.0,1.0,5.3,2.7,1998
Detron Smith,6.0,3.0,24.0,0.0,8.0,4.0,1998
Michael Blair,3.0,3.0,20.0,0.0,6.7,6.7,1998
Michael Blair,1.0,1.0,7.0,0.0,7.0,7.0,1998
Michael Blair,2.0,2.0,13.0,0.0,6.5,6.5,1998
Harold Green,2.0,2.0,34.0,0.0,17.0,17.0,1998
Vaughn Hebron,3.0,2.0,5.0,0.0,2.5,1.7,1998
Derek Loville,2.0,2.0,29.0,0.0,14.5,14.5,1998
Tony Richardson,3.0,2.0,13.0,0.0,6.5,4.3,1998
Tremayne Stephens,6.0,2.0,9.0,0.0,4.5,1.5,1998
Corey Walker,2.0,2.0,35.0,0.0,17.5,17.5,1998
Zack Crockett,4.0,2.0,5.0,0.0,2.5,1.3,1998
Zack Crockett,2.0,1.0,1.0,0.0,1.0,0.5,1998
Zack Crockett,2.0,1.0,4.0,0.0,4.0,2.0,1998
Mario Bates,1.0,1.0,14.0,0.0,14.0,14.0,1998
