Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Steven Jackson,110.0,90.0,806.0,3.0,9.0,7.3,2006
Reggie Bush,121.0,88.0,742.0,2.0,8.4,6.1,2006
Brian Westbrook,105.0,77.0,699.0,4.0,9.1,6.7,2006
Frank Gore,86.0,61.0,485.0,1.0,8.0,5.6,2006
Kevin Jones,78.0,61.0,520.0,2.0,8.5,6.7,2006
Tiki Barber,75.0,58.0,465.0,0.0,8.0,6.2,2006
LaDainian Tomlinson,80.0,56.0,508.0,3.0,9.1,6.4,2006
Ladell Betts,64.0,53.0,445.0,1.0,8.4,7.0,2006
Michael Pittman,76.0,47.0,405.0,0.0,8.6,5.3,2006
Ahman Green,63.0,46.0,373.0,1.0,8.1,5.9,2006
Maurice Jones-Drew,62.0,46.0,436.0,2.0,9.5,7.0,2006
Mewelde Moore,62.0,46.0,468.0,1.0,10.2,7.5,2006
Kevin Faulk,56.0,43.0,356.0,2.0,8.3,6.4,2006
Chester Taylor,51.0,42.0,288.0,0.0,6.9,5.6,2006
Larry Johnson,66.0,41.0,410.0,2.0,10.0,6.2,2006
Joseph Addai,50.0,40.0,325.0,1.0,8.1,6.5,2006
Edgerrin James,61.0,38.0,217.0,0.0,5.7,3.6,2006
Thomas Jones,47.0,36.0,154.0,0.0,4.3,3.3,2006
Dominic Rhodes,47.0,36.0,251.0,0.0,7.0,5.3,2006
Ronnie Brown,38.0,33.0,276.0,0.0,8.4,7.3,2006
Wali Lundy,39.0,33.0,204.0,0.0,6.2,5.2,2006
DeAngelo Williams,36.0,33.0,313.0,1.0,9.5,8.7,2006
DeShaun Foster,46.0,32.0,159.0,0.0,5.0,3.5,2006
Willie Parker,42.0,31.0,222.0,3.0,7.2,5.3,2006
Deuce McAllister,36.0,30.0,198.0,0.0,6.6,5.5,2006
Cadillac Williams,44.0,30.0,196.0,0.0,6.5,4.5,2006
Noah Herron,35.0,29.0,211.0,2.0,7.3,6.0,2006
Mack Strong,44.0,29.0,159.0,0.0,5.5,3.6,2006
Reuben Droughns,33.0,27.0,169.0,0.0,6.3,5.1,2006
Jason McKie,38.0,25.0,162.0,0.0,6.5,4.3,2006
Leon Washington,31.0,25.0,270.0,0.0,10.8,8.7,2006
Tatum Bell,31.0,24.0,115.0,0.0,4.8,3.7,2006
Correll Buckhalter,28.0,24.0,256.0,1.0,10.7,9.1,2006
Marion Barber III,32.0,23.0,196.0,2.0,8.5,6.1,2006
Justin Griffith,28.0,23.0,168.0,3.0,7.3,6.0,2006
Rudi Johnson,31.0,23.0,124.0,0.0,5.4,4.0,2006
Fred Taylor,28.0,23.0,242.0,1.0,10.5,8.6,2006
Kenny Watson,32.0,23.0,213.0,0.0,9.3,6.7,2006
Warrick Dunn,28.0,22.0,170.0,1.0,7.7,6.1,2006
Laurence Maroney,30.0,22.0,194.0,1.0,8.8,6.5,2006
Musa Smith,23.0,22.0,135.0,0.0,6.1,5.9,2006
Anthony Thomas,24.0,22.0,139.0,0.0,6.3,5.8,2006
Mike Alstott,38.0,21.0,85.0,0.0,4.0,2.2,2006
Sammy Morris,35.0,21.0,162.0,0.0,7.7,4.6,2006
Ovie Mughelli,24.0,21.0,182.0,2.0,8.7,7.6,2006
Mike Bell,27.0,20.0,158.0,0.0,7.9,5.9,2006
Brad Hoover,29.0,20.0,122.0,0.0,6.1,4.2,2006
ReShard Lee,25.0,20.0,138.0,0.0,6.9,5.5,2006
Aaron Stecker,28.0,19.0,190.0,0.0,10.0,6.8,2006
Jameel Cook,26.0,18.0,107.0,0.0,5.9,4.1,2006
Arlen Harris,25.0,18.0,132.0,0.0,7.3,5.3,2006
Verron Haynes,22.0,18.0,95.0,0.0,5.3,4.3,2006
Travis Henry,25.0,18.0,78.0,0.0,4.3,3.1,2006
Jamal Lewis,26.0,18.0,115.0,0.0,6.4,4.4,2006
Willis McGahee,28.0,18.0,156.0,0.0,8.7,5.6,2006
Mike Sellers,21.0,18.0,105.0,1.0,5.8,5.0,2006
Obafemi Ayanbadejo,19.0,17.0,139.0,0.0,8.2,7.3,2006
Lorenzo Neal,26.0,17.0,83.0,0.0,4.9,3.2,2006
Clinton Portis,26.0,17.0,170.0,0.0,10.0,6.5,2006
Samkon Gado,23.0,17.0,85.0,0.0,5.0,3.7,2006
Samkon Gado,1.0,1.0,5.0,0.0,5.0,5.0,2006
Samkon Gado,22.0,16.0,80.0,0.0,5.0,3.6,2006
Vernand Morency,19.0,17.0,118.0,0.0,6.9,6.2,2006
Vernand Morency,1.0,1.0,6.0,0.0,6.0,6.0,2006
Vernand Morency,18.0,16.0,112.0,0.0,7.0,6.2,2006
Thomas Tapeh,21.0,16.0,85.0,1.0,5.3,4.0,2006
Najeh Davenport,21.0,15.0,193.0,1.0,12.9,9.2,2006
Corey Dillon,16.0,15.0,147.0,0.0,9.8,9.2,2006
Ahmard Hall,21.0,15.0,138.0,0.0,9.2,6.6,2006
Mike Karney,20.0,15.0,96.0,2.0,6.4,4.8,2006
Kris Wilson,24.0,15.0,132.0,3.0,8.8,5.5,2006
Ron Dayne,18.0,14.0,77.0,0.0,5.5,4.3,2006
Tony Fisher,18.0,14.0,159.0,0.0,11.4,8.8,2006
LenDale White,20.0,14.0,60.0,0.0,4.3,3.0,2006
Justin Fargas,21.0,13.0,91.0,0.0,7.0,4.3,2006
Maurice Hicks,15.0,13.0,137.0,1.0,10.5,9.1,2006
Tony Richardson,14.0,13.0,111.0,0.0,8.5,7.9,2006
Shaun Alexander,16.0,12.0,48.0,0.0,4.0,3.0,2006
Stephen Davis,17.0,12.0,90.0,1.0,7.5,5.3,2006
William Henderson,18.0,12.0,62.0,0.0,5.2,3.4,2006
