Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Chris Johnson,24.0,TEN,RB,16.0,16.0,358.0,2006.0,14.0,80.0,43.6,91.0,5.6,125.4,22.4,3.0,"PB,AP-1,AP OPoY-1",2009
Thomas Jones,31.0,NYJ,RB,16.0,16.0,331.0,1402.0,14.0,66.0,42.6,71.0,4.2,87.6,20.7,2.0,,2009
Steven Jackson,26.0,STL,RB,15.0,15.0,324.0,1416.0,4.0,59.0,45.4,58.0,4.4,94.4,21.6,2.0,"PB,AP-2",2009
Adrian Peterson,24.0,MIN,RB,16.0,15.0,314.0,1383.0,18.0,76.0,44.6,64.0,4.4,86.4,19.6,7.0,"PB,AP-1",2009
Maurice Jones-Drew,24.0,JAX,RB,16.0,16.0,312.0,1391.0,15.0,69.0,48.1,80.0,4.5,86.9,19.5,2.0,PB,2009
Cedric Benson,27.0,CIN,RB,13.0,13.0,301.0,1251.0,6.0,57.0,41.9,42.0,4.2,96.2,23.2,1.0,AP CPoY-4,2009
Ryan Grant,27.0,GNB,RB,16.0,16.0,282.0,1253.0,11.0,64.0,46.5,62.0,4.4,78.3,17.6,1.0,,2009
Matt Forte,24.0,CHI,RB,16.0,16.0,258.0,929.0,4.0,41.0,41.1,61.0,3.6,58.1,16.1,6.0,,2009
Ray Rice,22.0,BAL,RB,16.0,15.0,254.0,1339.0,7.0,53.0,48.8,59.0,5.3,83.7,15.9,3.0,"PB,AP-2",2009
Knowshon Moreno,22.0,DEN,RB,16.0,9.0,247.0,947.0,7.0,53.0,48.2,36.0,3.8,59.2,15.4,4.0,AP ORoY-3,2009
Rashard Mendenhall,22.0,PIT,RB,16.0,12.0,242.0,1108.0,7.0,50.0,45.5,60.0,4.6,69.3,15.1,3.0,,2009
Ricky Williams,32.0,MIA,RB,16.0,7.0,241.0,1121.0,11.0,55.0,53.9,68.0,4.7,70.1,15.1,5.0,,2009
Fred Jackson,28.0,BUF,RB,16.0,11.0,237.0,1062.0,2.0,44.0,46.4,43.0,4.5,66.4,14.8,4.0,,2009
Frank Gore,26.0,SFO,RB,14.0,14.0,229.0,1120.0,10.0,47.0,39.3,80.0,4.9,80.0,16.4,4.0,PB,2009
Brandon Jacobs,27.0,NYG,RB,15.0,15.0,224.0,835.0,5.0,44.0,44.2,31.0,3.7,55.7,14.9,2.0,,2009
LaDainian Tomlinson,30.0,SDG,RB,14.0,14.0,223.0,730.0,12.0,40.0,42.2,36.0,3.3,52.1,15.9,2.0,,2009
Jonathan Stewart,22.0,CAR,RB,16.0,3.0,221.0,1133.0,10.0,54.0,48.9,67.0,5.1,70.8,13.8,3.0,,2009
Joseph Addai,26.0,IND,RB,15.0,15.0,219.0,828.0,10.0,44.0,50.7,21.0,3.8,55.2,14.6,1.0,,2009
Kevin Smith,23.0,DET,RB,13.0,13.0,217.0,747.0,4.0,41.0,45.2,31.0,3.4,57.5,16.7,3.0,,2009
DeAngelo Williams,26.0,CAR,RB,13.0,13.0,216.0,1117.0,7.0,51.0,44.0,77.0,5.2,85.9,16.6,3.0,PB,2009
Marion Barber III,26.0,DAL,RB,15.0,15.0,214.0,932.0,7.0,60.0,50.0,35.0,4.4,62.1,14.3,2.0,,2009
Cadillac Williams,27.0,TAM,RB,16.0,15.0,211.0,823.0,4.0,43.0,38.4,35.0,3.9,51.4,13.2,1.0,AP CPoY-2,2009
Jerome Harrison,26.0,CLE,RB,14.0,7.0,194.0,862.0,5.0,39.0,46.4,71.0,4.4,61.6,13.9,2.0,,2009
Laurence Maroney,24.0,NWE,RB,15.0,5.0,194.0,757.0,9.0,45.0,51.5,45.0,3.9,50.5,12.9,4.0,,2009
Jamaal Charles,23.0,KAN,RB,15.0,10.0,190.0,1120.0,7.0,54.0,54.2,76.0,5.9,74.7,12.7,4.0,,2009
Michael Turner,27.0,ATL,RB,11.0,11.0,178.0,871.0,10.0,43.0,48.9,58.0,4.9,79.2,16.2,4.0,,2009
Larry Johnson,30.0,2TM,RB,14.0,7.0,178.0,581.0,0.0,28.0,38.2,27.0,3.3,41.5,12.7,2.0,,2009
Larry Johnson,30.0,KAN,RB,7.0,7.0,132.0,377.0,0.0,17.0,34.8,19.0,2.9,53.9,18.9,2.0,,2009
Larry Johnson,30.0,CIN,RB,7.0,0.0,46.0,204.0,0.0,11.0,47.8,27.0,4.4,29.1,6.6,0.0,,2009
Julius Jones,28.0,SEA,RB,14.0,14.0,177.0,663.0,2.0,33.0,42.9,62.0,3.7,47.4,12.6,0.0,,2009
Beanie Wells,21.0,ARI,RB,16.0,0.0,176.0,793.0,7.0,39.0,51.1,33.0,4.5,49.6,11.0,4.0,,2009
Mike Bell,26.0,NOR,RB,13.0,3.0,172.0,654.0,5.0,34.0,49.4,35.0,3.8,50.3,13.2,2.0,,2009
Ahmad Bradshaw,23.0,NYG,RB,15.0,1.0,163.0,778.0,7.0,47.0,51.5,38.0,4.8,51.9,10.9,3.0,,2009
LeSean McCoy,21.0,PHI,RB,16.0,4.0,155.0,637.0,4.0,29.0,42.6,66.0,4.1,39.8,9.7,2.0,,2009
Ronnie Brown,28.0,MIA,RB,9.0,9.0,147.0,648.0,8.0,32.0,50.3,45.0,4.4,72.0,16.3,1.0,,2009
Pierre Thomas,25.0,NOR,RB,14.0,6.0,147.0,793.0,6.0,37.0,54.4,34.0,5.4,56.6,10.5,2.0,,2009
Tim Hightower,23.0,ARI,RB,16.0,16.0,143.0,598.0,8.0,33.0,39.9,50.0,4.2,37.4,8.9,5.0,,2009
Jamal Lewis,30.0,CLE,RB,9.0,8.0,143.0,500.0,0.0,18.0,37.8,18.0,3.5,55.6,15.9,0.0,,2009
Jason Snelling,26.0,ATL,RB,14.0,2.0,142.0,613.0,4.0,39.0,46.5,31.0,4.3,43.8,10.1,2.0,,2009
Steve Slaton,23.0,HOU,RB,11.0,10.0,131.0,437.0,3.0,27.0,33.6,32.0,3.3,39.7,11.9,7.0,,2009
Justin Fargas,29.0,OAK,FB,12.0,4.0,129.0,491.0,3.0,25.0,38.0,35.0,3.8,40.9,10.8,1.0,,2009
