Tm,G,PA,Ply,Y/P,Year
Green Bay Packers,16.0,210.0,981.0,4.2,1996
Carolina Panthers,16.0,218.0,990.0,4.8,1996
Dallas Cowboys,16.0,250.0,958.0,4.6,1996
San Francisco 49ers,16.0,257.0,1021.0,4.6,1996
Pittsburgh Steelers,16.0,257.0,1009.0,4.3,1996
Buffalo Bills,16.0,266.0,1105.0,4.3,1996
Denver Broncos,16.0,275.0,951.0,4.7,1996
Tampa Bay Buccaneers,16.0,293.0,976.0,4.9,1996
Oakland Raiders,16.0,293.0,1010.0,4.7,1996
New York Giants,16.0,297.0,1050.0,4.8,1996
Kansas City Chiefs,16.0,300.0,1008.0,5.2,1996
Chicago Bears,16.0,305.0,981.0,5.0,1996
Washington Redskins,16.0,312.0,1114.0,5.1,1996
New England Patriots,16.0,313.0,1063.0,5.0,1996
Minnesota Vikings,16.0,315.0,1025.0,5.0,1996
Houston Oilers,16.0,319.0,956.0,4.8,1996
Miami Dolphins,16.0,325.0,987.0,5.3,1996
Indianapolis Colts,16.0,334.0,1022.0,5.3,1996
Jacksonville Jaguars,16.0,335.0,992.0,5.1,1996
New Orleans Saints,16.0,339.0,1027.0,4.8,1996
Philadelphia Eagles,16.0,341.0,961.0,4.7,1996
Detroit Lions,16.0,368.0,1044.0,5.1,1996
Cincinnati Bengals,16.0,369.0,1047.0,5.2,1996
San Diego Chargers,16.0,376.0,1100.0,4.9,1996
Seattle Seahawks,16.0,376.0,1066.0,5.1,1996
Arizona Cardinals,16.0,397.0,1062.0,5.0,1996
St. Louis Rams,16.0,409.0,1068.0,5.2,1996
Baltimore Ravens,16.0,441.0,1075.0,5.5,1996
New York Jets,16.0,454.0,1023.0,5.4,1996
Atlanta Falcons,16.0,461.0,994.0,5.8,1996
Avg Team,,326.8,1022.2,5.0,1996
League Total,,9805.0,30666.0,5.0,1996
Avg Tm/G,,20.4,63.9,5.0,1996
