Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Jerome Bettis,25.0,PIT,RB,15.0,15.0,375.0,1665.0,7.0,94.0,51.7,34.0,4.4,111.0,25.0,6.0,"PB,AP-2,AP MVP-5",1997
Terrell Davis,25.0,DEN,RB,15.0,15.0,369.0,1750.0,15.0,99.0,54.2,50.0,4.7,116.7,24.6,4.0,"PB,AP-1,AP MVP-3,AP OPoY-2",1997
Eddie George,24.0,TEN,RB,16.0,16.0,357.0,1399.0,6.0,65.0,46.2,30.0,3.9,87.4,22.3,4.0,PB,1997
Barry Sanders,29.0,DET,RB,16.0,16.0,335.0,2053.0,11.0,86.0,45.1,82.0,6.1,128.3,20.9,3.0,"PB,AP-1,AP MVP-1,AP OPoY-1",1997
Dorsey Levens,27.0,GNB,RB,16.0,16.0,329.0,1435.0,7.0,71.0,42.2,52.0,4.4,89.7,20.6,5.0,PB,1997
Adrian Murrell,27.0,NYJ,RB,16.0,15.0,300.0,1086.0,7.0,61.0,41.0,43.0,3.6,67.9,18.8,4.0,,1997
Jamal Anderson,25.0,ATL,RB,16.0,15.0,290.0,1002.0,7.0,53.0,43.8,39.0,3.5,62.6,18.1,4.0,,1997
Ricky Watters,28.0,PHI,RB,16.0,16.0,285.0,1110.0,7.0,53.0,43.9,28.0,3.9,69.4,17.8,3.0,,1997
Karim Abdul-Jabbar,23.0,MIA,RB,16.0,14.0,283.0,892.0,15.0,66.0,44.9,22.0,3.2,55.8,17.7,3.0,,1997
Raymont Harris,27.0,CHI,RB,13.0,13.0,275.0,1033.0,10.0,53.0,42.9,68.0,3.8,79.5,21.2,1.0,,1997
Curtis Martin,24.0,NWE,RB,13.0,13.0,274.0,1160.0,4.0,47.0,44.2,70.0,4.2,89.2,21.1,3.0,,1997
Napoleon Kaufman,24.0,OAK,RB,16.0,16.0,272.0,1294.0,6.0,55.0,38.6,83.0,4.8,80.9,17.0,7.0,,1997
Marshall Faulk,24.0,IND,RB,16.0,16.0,264.0,1054.0,7.0,64.0,48.1,45.0,4.0,65.9,16.5,5.0,,1997
Emmitt Smith,28.0,DAL,RB,16.0,16.0,261.0,1074.0,4.0,52.0,44.4,44.0,4.1,67.1,16.3,1.0,,1997
Gary Brown,28.0,SDG,RB,15.0,14.0,253.0,945.0,4.0,47.0,41.9,32.0,3.7,63.0,16.9,2.0,,1997
Natrone Means,25.0,JAX,RB,14.0,11.0,244.0,823.0,9.0,46.0,49.2,20.0,3.4,58.8,17.4,5.0,,1997
Garrison Hearst,26.0,SFO,RB,13.0,13.0,234.0,1019.0,4.0,41.0,42.7,51.0,4.4,78.4,18.0,2.0,,1997
Corey Dillon,23.0,CIN,RB,16.0,6.0,233.0,1129.0,10.0,58.0,48.1,75.0,4.8,70.6,14.6,1.0,AP ORoY-2,1997
Robert Smith,25.0,MIN,RB,14.0,14.0,232.0,1266.0,6.0,45.0,46.1,78.0,5.5,90.4,16.6,0.0,,1997
Warrick Dunn,22.0,TAM,RB,16.0,10.0,224.0,978.0,4.0,37.0,37.1,76.0,4.4,61.1,14.0,4.0,"PB,AP ORoY-1",1997
Terry Allen,29.0,WAS,RB,10.0,10.0,210.0,724.0,4.0,31.0,38.6,34.0,3.4,72.4,21.0,2.0,,1997
Bam Morris,25.0,BAL,RB,11.0,8.0,204.0,774.0,4.0,45.0,49.0,25.0,3.8,70.4,18.5,4.0,,1997
Lawrence Phillips,22.0,2TM,RB,12.0,9.0,201.0,677.0,8.0,40.0,41.3,28.0,3.4,56.4,16.8,3.0,,1997
Lawrence Phillips,22.0,STL,RB,10.0,9.0,183.0,633.0,8.0,39.0,41.0,28.0,3.5,63.3,18.3,3.0,,1997
Lawrence Phillips,22.0,MIA,RB,2.0,0.0,18.0,44.0,0.0,1.0,44.4,8.0,2.4,22.0,9.0,0.0,,1997
Chris Warren,29.0,SEA,RB,15.0,13.0,200.0,847.0,4.0,40.0,46.5,36.0,4.2,56.5,13.3,2.0,,1997
Antowain Smith,25.0,BUF,RB,16.0,0.0,194.0,840.0,8.0,46.0,44.3,56.0,4.3,52.5,12.1,4.0,AP ORoY-4,1997
Fred Lane,22.0,CAR,RB,13.0,7.0,182.0,809.0,7.0,41.0,51.1,50.0,4.4,62.2,14.0,4.0,,1997
Mike Alstott,24.0,TAM,FB,15.0,15.0,176.0,665.0,7.0,35.0,42.6,47.0,3.8,44.3,11.7,5.0,"PB,AP-1",1997
Greg Hill,25.0,KAN,RB,16.0,16.0,157.0,550.0,0.0,23.0,36.3,38.0,3.5,34.4,9.8,1.0,,1997
Ray Zellars,24.0,NOR,FB,16.0,16.0,156.0,552.0,4.0,30.0,40.4,27.0,3.5,34.5,9.8,6.0,,1997
Thurman Thomas,31.0,BUF,RB,16.0,16.0,154.0,643.0,1.0,33.0,41.6,24.0,4.2,40.2,9.6,2.0,,1997
Tyrone Wheatley,25.0,NYG,RB,14.0,7.0,152.0,583.0,4.0,34.0,42.1,38.0,3.8,41.6,10.9,3.0,,1997
Charles Way,25.0,NYG,FB,16.0,16.0,151.0,698.0,4.0,38.0,50.3,42.0,4.6,43.6,9.4,3.0,AP-2,1997
Stephen Davis,23.0,WAS,RB,14.0,6.0,141.0,567.0,3.0,30.0,51.1,18.0,4.0,40.5,10.1,1.0,,1997
Tiki Barber,22.0,NYG,RB,12.0,6.0,136.0,511.0,3.0,32.0,42.6,42.0,3.8,42.6,11.3,3.0,AP ORoY-4,1997
James Stewart,26.0,JAX,RB,16.0,5.0,136.0,555.0,8.0,39.0,47.8,33.0,4.1,34.7,8.5,0.0,,1997
Leeland McElroy,23.0,ARI,RB,14.0,8.0,135.0,424.0,2.0,22.0,38.5,18.0,3.1,30.3,9.6,3.0,,1997
Ki-Jana Carter,24.0,CIN,RB,15.0,10.0,128.0,464.0,7.0,22.0,39.8,79.0,3.6,30.9,8.5,3.0,,1997
Terry Kirby,27.0,SFO,RB,16.0,3.0,125.0,418.0,6.0,25.0,38.4,38.0,3.3,26.1,7.8,3.0,,1997
Marcus Allen,37.0,KAN,RB,16.0,0.0,124.0,505.0,11.0,42.0,60.5,30.0,4.1,31.6,7.8,4.0,,1997
Sherman Williams,24.0,DAL,RB,16.0,0.0,121.0,468.0,2.0,25.0,43.0,18.0,3.9,29.3,7.6,5.0,,1997
Mario Bates,24.0,NOR,RB,12.0,7.0,119.0,440.0,4.0,24.0,40.3,74.0,3.7,36.7,9.9,2.0,,1997
Charlie Garner,25.0,PHI,RB,16.0,2.0,116.0,547.0,3.0,32.0,51.7,26.0,4.7,34.2,7.3,1.0,,1997
Darnell Autry,21.0,CHI,RB,13.0,3.0,112.0,319.0,1.0,13.0,31.3,17.0,2.8,24.5,8.6,2.0,,1997
Jerald Moore,23.0,STL,RB,9.0,5.0,104.0,380.0,3.0,22.0,42.3,26.0,3.7,42.2,11.6,4.0,,1997
Larry Centers,29.0,ARI,FB,15.0,14.0,101.0,276.0,1.0,19.0,33.7,14.0,2.7,18.4,6.7,1.0,,1997
Steve McNair,24.0,TEN,QB,16.0,16.0,101.0,674.0,8.0,50.0,58.4,47.0,6.7,42.1,6.3,16.0,,1997
Anthony Johnson,30.0,CAR,RB,16.0,7.0,97.0,358.0,0.0,11.0,40.2,20.0,3.7,22.4,6.1,2.0,,1997
Zack Crockett,25.0,IND,FB,16.0,11.0,95.0,300.0,1.0,18.0,45.3,20.0,3.2,18.8,5.9,3.0,,1997
Donnell Bennett,25.0,KAN,RB,14.0,1.0,94.0,369.0,1.0,19.0,53.2,14.0,3.9,26.4,6.7,0.0,,1997
Lamar Smith,27.0,SEA,RB,12.0,2.0,91.0,392.0,2.0,25.0,45.1,35.0,4.3,32.7,7.6,0.0,,1997
Kordell Stewart,25.0,PIT,QB,16.0,16.0,88.0,476.0,11.0,42.0,61.4,74.0,5.4,29.8,5.5,6.0,,1997
Earnest Byner,35.0,BAL,RB,16.0,5.0,84.0,313.0,0.0,18.0,51.2,19.0,3.7,19.6,5.3,2.0,,1997
Jay Graham,22.0,BAL,RB,13.0,3.0,81.0,299.0,2.0,23.0,48.1,19.0,3.7,23.0,6.2,2.0,,1997
Ronald Moore,27.0,2TM,RB,13.0,4.0,81.0,278.0,1.0,14.0,33.3,27.0,3.4,21.4,6.2,0.0,,1997
Ronald Moore,27.0,STL,RB,7.0,2.0,24.0,103.0,1.0,5.0,33.3,27.0,4.3,14.7,3.4,0.0,,1997
Ronald Moore,27.0,ARI,RB,6.0,2.0,57.0,175.0,0.0,9.0,33.3,16.0,3.1,29.2,9.5,0.0,,1997
Leroy Hoard,29.0,MIN,RB,12.0,1.0,80.0,235.0,4.0,16.0,40.0,20.0,2.9,19.6,6.7,0.0,,1997
Kimble Anders,31.0,KAN,FB,15.0,14.0,79.0,397.0,0.0,17.0,50.6,43.0,5.0,26.5,5.3,3.0,PB,1997
William Floyd,25.0,SFO,FB,15.0,15.0,78.0,231.0,3.0,18.0,37.2,22.0,3.0,15.4,5.2,2.0,,1997
Tim Biakabutuka,23.0,CAR,RB,8.0,2.0,75.0,299.0,2.0,12.0,45.3,26.0,4.0,37.4,9.4,1.0,,1997
Troy Davis,22.0,NOR,RB,16.0,7.0,75.0,271.0,0.0,11.0,40.0,20.0,3.6,16.9,4.7,3.0,,1997
George Jones,24.0,PIT,RB,16.0,1.0,72.0,235.0,1.0,12.0,27.8,32.0,3.3,14.7,4.5,3.0,,1997
Steve Broussard,30.0,SEA,RB,16.0,1.0,70.0,418.0,5.0,24.0,51.4,77.0,6.0,26.1,4.4,0.0,,1997
Rodney Thomas,24.0,TEN,RB,16.0,1.0,67.0,310.0,3.0,16.0,44.8,25.0,4.6,19.4,4.2,1.0,,1997
Irving Spikes,27.0,MIA,RB,12.0,1.0,63.0,180.0,2.0,9.0,33.3,14.0,2.9,15.0,5.3,3.0,,1997
Brett Favre,28.0,GNB,QB,16.0,16.0,58.0,187.0,1.0,17.0,37.9,16.0,3.2,11.7,3.6,7.0,"PB,AP-1,AP MVP-1,AP OPoY-3",1997
Byron Hanspard,21.0,ATL,RB,16.0,0.0,53.0,335.0,0.0,9.0,34.0,77.0,6.3,20.9,3.3,3.0,,1997
Terrell Fletcher,24.0,SDG,RB,13.0,1.0,51.0,161.0,0.0,6.0,33.3,13.0,3.2,12.4,3.9,4.0,,1997
John Elway,37.0,DEN,QB,16.0,16.0,50.0,218.0,1.0,15.0,42.0,23.0,4.4,13.6,3.1,11.0,PB,1997
Steve Young,36.0,SFO,QB,15.0,15.0,50.0,199.0,3.0,17.0,36.0,13.0,4.0,13.3,3.3,4.0,"PB,AP-2,AP MVP-4",1997
Vaughn Hebron,27.0,DEN,RB,16.0,1.0,49.0,222.0,1.0,12.0,46.9,46.0,4.5,13.9,3.1,1.0,,1997
Mark Brunell,27.0,JAX,QB,14.0,14.0,48.0,257.0,2.0,16.0,56.3,15.0,5.4,18.4,3.4,4.0,PB,1997
Leon Johnson,23.0,NYJ,RB,16.0,1.0,48.0,158.0,2.0,13.0,35.4,20.0,3.3,9.9,3.0,5.0,,1997
Tony Banks,24.0,STL,QB,16.0,16.0,47.0,186.0,1.0,9.0,38.3,23.0,4.0,11.6,2.9,15.0,,1997
Jeff Blake,27.0,CIN,QB,11.0,11.0,45.0,234.0,3.0,19.0,57.8,16.0,5.2,21.3,4.1,7.0,,1997
Scott Greene,25.0,CAR,FB,16.0,14.0,45.0,157.0,1.0,16.0,57.8,10.0,3.5,9.8,2.8,1.0,,1997
Chris Chandler,32.0,ATL,QB,14.0,14.0,43.0,158.0,0.0,13.0,39.5,19.0,3.7,11.3,3.1,9.0,PB,1997
Charles Evans,30.0,MIN,FB,16.0,13.0,43.0,157.0,2.0,0.0,0.0,13.0,3.7,9.8,2.7,0.0,,1997
Jake Plummer,23.0,ARI,QB,10.0,9.0,39.0,216.0,2.0,15.0,43.6,31.0,5.5,21.6,3.9,6.0,AP ORoY-3,1997
Scott Mitchell,29.0,DET,QB,16.0,16.0,37.0,83.0,1.0,13.0,37.8,13.0,2.2,5.2,2.3,15.0,,1997
Harold Green,29.0,ATL,RB,16.0,1.0,36.0,78.0,1.0,7.0,25.0,22.0,2.2,4.9,2.3,0.0,,1997
Jim Harbaugh,34.0,IND,QB,12.0,11.0,36.0,206.0,0.0,13.0,52.8,18.0,5.7,17.2,3.0,4.0,,1997
Brad Johnson,29.0,MIN,QB,13.0,13.0,35.0,139.0,0.0,14.0,48.6,28.0,4.0,10.7,2.7,4.0,,1997
