Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Troy Drayton,23.0,RAM,TE,16.0,2.0,1.0,7.0,0.0,7.0,7.0,0.4,0.1,1.0,,1993
John Fina,24.0,BUF,LT,16.0,16.0,1.0,-2.0,0.0,-2.0,-2.0,-0.1,0.1,0.0,,1993
Stan Gelbaugh,31.0,SEA,QB,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,,1993
Jeff Gossett,36.0,RAI,P,16.0,0.0,1.0,-10.0,0.0,-10.0,-10.0,-0.6,0.1,0.0,,1993
Steve Hendrickson,27.0,SDG,LLB,16.0,10.0,1.0,0.0,0.0,,0.0,0.0,0.1,0.0,,1993
Michael Jackson,24.0,CLE,WR,15.0,11.0,1.0,1.0,0.0,1.0,1.0,0.1,0.1,1.0,,1993
James Jett,23.0,RAI,WR,16.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.1,1.0,,1993
Ernie Jones,29.0,RAM,WR,10.0,0.0,1.0,4.0,0.0,4.0,4.0,0.4,0.1,0.0,,1993
Kelvin Martin,28.0,SEA,WR,16.0,14.0,1.0,0.0,0.0,,0.0,0.0,0.1,1.0,,1993
Tony Martin,28.0,MIA,WR,12.0,0.0,1.0,6.0,0.0,6.0,6.0,0.5,0.1,1.0,,1993
Le'Shai Maston,23.0,HOU,RB,10.0,0.0,1.0,10.0,0.0,10.0,10.0,1.0,0.1,1.0,,1993
Rueben Mayes,30.0,SEA,RB,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,,1993
O.J. McDuffie,24.0,MIA,WR,16.0,0.0,1.0,-4.0,0.0,-4.0,-4.0,-0.3,0.1,4.0,,1993
Dan McGwire,26.0,SEA,QB,2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-0.5,0.5,0.0,,1993
Anthony Miller,28.0,SDG,WR,16.0,16.0,1.0,0.0,0.0,,0.0,0.0,0.1,0.0,PB,1993
David Mims,23.0,ATL,WR,15.0,2.0,1.0,3.0,0.0,3.0,3.0,0.2,0.1,0.0,,1993
Art Monk,36.0,WAS,WR,16.0,5.0,1.0,-1.0,0.0,-1.0,-1.0,-0.1,0.1,0.0,,1993
Rob Moore,25.0,NYJ,WR,13.0,13.0,1.0,-6.0,0.0,-6.0,-6.0,-0.5,0.1,2.0,,1993
Jay Novacek,31.0,DAL,TE,16.0,16.0,1.0,2.0,1.0,2.0,2.0,0.1,0.1,3.0,PB,1993
Patrick Robinson,24.0,CIN,WR,15.0,3.0,1.0,6.0,0.0,6.0,6.0,0.4,0.1,2.0,,1993
Reggie Roby,32.0,WAS,P,15.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.1,0.0,,1993
Tom Rouen,25.0,DEN,P,16.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.1,0.0,,1993
Ricky Sanders,33.0,WAS,WR,16.0,11.0,1.0,7.0,0.0,7.0,7.0,0.4,0.1,1.0,,1993
Rohn Stark,34.0,IND,P,16.0,0.0,1.0,11.0,0.0,11.0,11.0,0.7,0.1,0.0,,1993
Doug Thomas,24.0,SEA,WR,16.0,0.0,1.0,4.0,0.0,4.0,4.0,0.3,0.1,0.0,,1993
Rod Woodson,28.0,PIT,LCB,16.0,16.0,1.0,0.0,0.0,,0.0,0.0,0.1,2.0,"PB,AP-1,AP DPoY-1",1993
Scott Zolak,26.0,NWE,QB,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.3,0.0,,1993
