Tm,G,PA,Ply,Y/P,Year
Baltimore Ravens,17.0,280.0,1109.0,4.6,2023
Kansas City Chiefs,17.0,294.0,1045.0,4.7,2023
San Francisco 49ers,17.0,298.0,1038.0,5.0,2023
Buffalo Bills,17.0,311.0,1015.0,5.1,2023
Dallas Cowboys,17.0,315.0,1014.0,5.0,2023
Pittsburgh Steelers,17.0,324.0,1074.0,5.4,2023
Tampa Bay Buccaneers,17.0,325.0,1081.0,5.4,2023
New Orleans Saints,17.0,327.0,1054.0,5.3,2023
Las Vegas Raiders,17.0,331.0,1089.0,5.2,2023
Green Bay Packers,17.0,350.0,1061.0,5.4,2023
Houston Texans,17.0,353.0,1079.0,5.2,2023
New York Jets,17.0,355.0,1087.0,4.6,2023
Minnesota Vikings,17.0,362.0,1095.0,5.2,2023
Cleveland Browns,17.0,362.0,1004.0,4.6,2023
New England Patriots,17.0,366.0,1091.0,4.7,2023
Tennessee Titans,17.0,367.0,1096.0,5.2,2023
Jacksonville Jaguars,17.0,371.0,1078.0,5.4,2023
Atlanta Falcons,17.0,373.0,1090.0,5.0,2023
Los Angeles Rams,17.0,377.0,1078.0,5.3,2023
Chicago Bears,17.0,379.0,1035.0,5.3,2023
Cincinnati Bengals,17.0,384.0,1055.0,6.0,2023
Miami Dolphins,17.0,391.0,1057.0,5.1,2023
Detroit Lions,17.0,395.0,1037.0,5.5,2023
Los Angeles Chargers,17.0,398.0,1113.0,5.5,2023
Seattle Seahawks,17.0,402.0,1147.0,5.5,2023
New York Giants,17.0,407.0,1091.0,5.6,2023
Denver Broncos,17.0,413.0,1083.0,5.8,2023
Indianapolis Colts,17.0,415.0,1137.0,5.2,2023
Carolina Panthers,17.0,416.0,1016.0,4.9,2023
Philadelphia Eagles,17.0,428.0,1105.0,5.5,2023
Arizona Cardinals,17.0,455.0,1060.0,5.7,2023
Washington Commanders,17.0,518.0,1117.0,5.9,2023
Avg Team,,370.1,1072.8,5.3,2023
League Total,,11842.0,34331.0,5.3,2023
Avg Tm/G,,21.8,63.1,5.3,2023
