Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Edgerrin James,21.0,IND,RB,16.0,16.0,369.0,1553.0,13.0,86.0,42.3,72.0,4.2,97.1,23.1,8.0,"PB,AP-1,AP MVP-4,AP OPoY-3,AP ORoY-1",1999
Curtis Martin,26.0,NYJ,RB,16.0,16.0,367.0,1464.0,5.0,87.0,44.7,50.0,4.0,91.5,22.9,2.0,AP-2,1999
Emmitt Smith,30.0,DAL,RB,15.0,15.0,329.0,1397.0,11.0,86.0,48.6,63.0,4.2,93.1,21.9,5.0,PB,1999
Duce Staley,24.0,PHI,RB,16.0,16.0,325.0,1273.0,4.0,50.0,38.8,29.0,3.9,79.6,20.3,5.0,,1999
Ricky Watters,30.0,SEA,RB,16.0,16.0,325.0,1210.0,5.0,51.0,38.8,45.0,3.7,75.6,20.3,4.0,,1999
Eddie George,26.0,TEN,RB,16.0,16.0,320.0,1304.0,9.0,71.0,44.7,40.0,4.1,81.5,20.0,5.0,"PB,AP-2",1999
Jerome Bettis,27.0,PIT,RB,16.0,16.0,299.0,1091.0,7.0,64.0,46.2,35.0,3.6,68.2,18.7,2.0,,1999
Stephen Davis,25.0,WAS,RB,14.0,14.0,290.0,1405.0,17.0,88.0,57.9,76.0,4.8,100.4,20.7,4.0,"PB,AP-2,AP CPoY-9",1999
Curtis Enis,23.0,CHI,RB,15.0,12.0,287.0,916.0,3.0,58.0,43.2,19.0,3.2,61.1,19.1,4.0,,1999
Dorsey Levens,29.0,GNB,RB,14.0,14.0,279.0,1034.0,9.0,58.0,43.0,36.0,3.7,73.9,19.9,5.0,,1999
Olandis Gary,24.0,DEN,RB,12.0,12.0,276.0,1159.0,7.0,61.0,42.4,71.0,4.2,96.6,23.0,2.0,,1999
Corey Dillon,25.0,CIN,RB,15.0,15.0,263.0,1200.0,5.0,64.0,43.0,50.0,4.6,80.0,17.5,3.0,PB,1999
Terry Allen,31.0,NWE,RB,16.0,13.0,254.0,896.0,8.0,45.0,39.4,39.0,3.5,56.0,15.9,8.0,,1999
Marshall Faulk,26.0,STL,RB,16.0,16.0,253.0,1381.0,7.0,70.0,48.2,58.0,5.5,86.3,15.8,2.0,"PB,AP-1,AP MVP-2,AP OPoY-1",1999
Ricky Williams,22.0,NOR,RB,12.0,12.0,253.0,884.0,2.0,51.0,41.9,25.0,3.5,73.7,21.1,6.0,,1999
James Stewart,28.0,JAX,RB,14.0,7.0,249.0,931.0,13.0,55.0,46.2,44.0,3.7,66.5,17.8,4.0,,1999
Mike Alstott,26.0,TAM,FB,16.0,16.0,242.0,949.0,7.0,48.0,36.8,30.0,3.9,59.3,15.1,6.0,"PB,AP-1",1999
Tyrone Wheatley,27.0,OAK,RB,16.0,9.0,242.0,936.0,8.0,43.0,45.0,30.0,3.9,58.5,15.1,3.0,AP CPoY-7,1999
Charlie Garner,27.0,SFO,RB,16.0,15.0,241.0,1229.0,4.0,54.0,43.6,53.0,5.1,76.8,15.1,4.0,,1999
Errict Rhett,29.0,BAL,RB,16.0,10.0,236.0,852.0,5.0,40.0,43.6,52.0,3.6,53.3,14.8,0.0,,1999
Robert Smith,27.0,MIN,RB,13.0,12.0,221.0,1015.0,2.0,41.0,47.1,70.0,4.6,78.1,17.0,1.0,,1999
Jonathan Linton,25.0,BUF,RB,16.0,2.0,205.0,695.0,5.0,44.0,42.4,18.0,3.4,43.4,12.8,4.0,,1999
Warrick Dunn,24.0,TAM,RB,15.0,15.0,195.0,616.0,0.0,31.0,31.3,33.0,3.2,41.1,13.0,3.0,,1999
Adrian Murrell,29.0,ARI,RB,16.0,12.0,193.0,553.0,0.0,27.0,32.1,22.0,2.9,34.6,12.1,4.0,,1999
Antowain Smith,27.0,BUF,RB,14.0,11.0,165.0,614.0,6.0,28.0,38.2,52.0,3.7,43.9,11.8,4.0,,1999
J.J. Johnson,25.0,MIA,RB,13.0,4.0,164.0,558.0,4.0,26.0,40.2,34.0,3.4,42.9,12.6,2.0,,1999
Donnell Bennett,27.0,KAN,RB,15.0,1.0,161.0,627.0,8.0,40.0,41.0,44.0,3.9,41.8,10.7,1.0,,1999
Fred Taylor,23.0,JAX,RB,10.0,9.0,159.0,732.0,6.0,40.0,41.5,52.0,4.6,73.2,15.9,0.0,,1999
Greg Hill,27.0,DET,RB,14.0,8.0,144.0,542.0,2.0,21.0,36.1,45.0,3.8,38.7,10.3,1.0,,1999
Karim Abdul-Jabbar,25.0,2TM,RB,13.0,9.0,143.0,445.0,1.0,21.0,38.5,21.0,3.1,34.2,11.0,0.0,,1999
Karim Abdul-Jabbar,25.0,MIA,RB,3.0,3.0,28.0,95.0,1.0,5.0,42.9,12.0,3.4,31.7,9.3,0.0,,1999
Karim Abdul-Jabbar,25.0,CLE,RB,10.0,6.0,115.0,350.0,0.0,16.0,37.4,21.0,3.0,35.0,11.5,0.0,,1999
Ken Oxendine,24.0,ATL,RB,12.0,9.0,141.0,452.0,1.0,25.0,48.9,20.0,3.2,37.7,11.8,5.0,,1999
Tim Biakabutuka,25.0,CAR,RB,11.0,11.0,138.0,718.0,6.0,27.0,39.9,67.0,5.2,65.3,12.5,3.0,,1999
Leroy Hoard,31.0,MIN,RB,15.0,3.0,138.0,555.0,10.0,40.0,47.8,53.0,4.0,37.0,9.2,4.0,,1999
Napoleon Kaufman,26.0,OAK,RB,16.0,5.0,138.0,714.0,2.0,33.0,44.9,75.0,5.2,44.6,8.6,3.0,,1999
Byron Hanspard,23.0,ATL,RB,12.0,4.0,136.0,383.0,1.0,20.0,38.2,15.0,2.8,31.9,11.3,1.0,,1999
Cecil Collins,23.0,MIA,RB,8.0,6.0,131.0,414.0,2.0,21.0,37.4,25.0,3.2,51.8,16.4,2.0,,1999
Terry Kirby,29.0,CLE,RB,16.0,10.0,130.0,452.0,6.0,26.0,42.3,28.0,3.5,28.3,8.1,4.0,,1999
Bam Morris,27.0,KAN,RB,12.0,8.0,120.0,414.0,3.0,16.0,35.0,24.0,3.5,34.5,10.0,3.0,,1999
Fred Lane,24.0,CAR,RB,15.0,5.0,115.0,475.0,1.0,29.0,51.3,41.0,4.1,31.7,7.7,1.0,,1999
Joe Montgomery,23.0,NYG,RB,7.0,5.0,115.0,348.0,3.0,22.0,38.3,14.0,3.0,49.7,16.4,2.0,,1999
Natrone Means,27.0,SDG,RB,7.0,5.0,112.0,277.0,4.0,16.0,33.9,15.0,2.5,39.6,16.0,0.0,,1999
Chris Warren,31.0,DAL,RB,16.0,1.0,99.0,403.0,2.0,27.0,39.4,25.0,4.1,25.2,6.2,4.0,,1999
Richard Huntley,27.0,PIT,RB,16.0,2.0,93.0,567.0,5.0,29.0,55.9,52.0,6.1,35.4,5.8,3.0,,1999
Kenny Bynum,25.0,SDG,RB,16.0,5.0,92.0,287.0,1.0,18.0,39.1,25.0,3.1,17.9,5.8,3.0,,1999
Jermaine Fazande,24.0,SDG,RB,7.0,3.0,91.0,365.0,2.0,20.0,46.2,54.0,4.0,52.1,13.0,2.0,,1999
Priest Holmes,26.0,BAL,RB,9.0,4.0,89.0,506.0,1.0,20.0,52.8,72.0,5.7,56.2,9.9,0.0,,1999
Doug Flutie,37.0,BUF,QB,15.0,15.0,88.0,476.0,1.0,35.0,48.9,24.0,5.4,31.7,5.9,6.0,,1999
Tony Richardson,28.0,KAN,FB,16.0,16.0,84.0,387.0,1.0,28.0,50.0,26.0,4.6,24.2,5.3,1.0,,1999
Ron Rivers,28.0,DET,RB,7.0,6.0,82.0,295.0,0.0,16.0,40.2,37.0,3.6,42.1,11.7,0.0,,1999
Skip Hicks,25.0,WAS,RB,10.0,2.0,78.0,257.0,3.0,14.0,41.0,24.0,3.3,25.7,7.8,1.0,,1999
Robert Holcombe,24.0,STL,FB,15.0,7.0,78.0,294.0,4.0,18.0,39.7,34.0,3.8,19.6,5.2,4.0,,1999
Mario Bates,26.0,ARI,RB,16.0,2.0,72.0,202.0,9.0,23.0,44.4,16.0,2.8,12.6,4.5,2.0,,1999
Steve McNair,26.0,TEN,QB,11.0,11.0,72.0,337.0,8.0,36.0,56.9,38.0,4.7,30.6,6.5,3.0,,1999
Terrell Davis,27.0,DEN,RB,4.0,4.0,67.0,211.0,2.0,11.0,37.3,26.0,3.1,52.8,16.8,1.0,,1999
Kevin Faulk,23.0,NWE,RB,11.0,2.0,67.0,227.0,1.0,7.0,34.3,43.0,3.4,20.6,6.1,3.0,,1999
Rashaan Shehee,24.0,KAN,RB,9.0,5.0,65.0,238.0,1.0,12.0,30.8,18.0,3.7,26.4,7.2,1.0,,1999
Michael Pittman,24.0,ARI,RB,10.0,2.0,64.0,289.0,2.0,12.0,37.5,58.0,4.5,28.9,6.4,3.0,,1999
Jeff Blake,29.0,CIN,QB,14.0,12.0,63.0,332.0,2.0,27.0,55.6,16.0,5.3,23.7,4.5,12.0,,1999
Tiki Barber,24.0,NYG,RB,16.0,1.0,62.0,258.0,0.0,13.0,41.9,30.0,4.2,16.1,3.9,5.0,,1999
Michael Basnight,22.0,CIN,RB,13.0,1.0,62.0,308.0,0.0,12.0,37.1,46.0,5.0,23.7,4.8,1.0,,1999
LeShon Johnson,28.0,NYG,RB,16.0,4.0,61.0,143.0,2.0,9.0,36.1,17.0,2.3,8.9,3.8,2.0,,1999
Lamar Smith,29.0,NOR,RB,13.0,2.0,60.0,205.0,0.0,13.0,45.0,24.0,3.4,15.8,4.6,1.0,,1999
Fred Beasley,25.0,SFO,FB,13.0,11.0,58.0,276.0,4.0,18.0,51.7,44.0,4.8,21.2,4.5,2.0,,1999
Kordell Stewart,27.0,PIT,QB,16.0,12.0,56.0,258.0,2.0,13.0,50.0,21.0,4.6,16.1,3.5,4.0,,1999
Gary Brown,30.0,NYG,RB,3.0,2.0,55.0,177.0,0.0,12.0,34.5,28.0,3.2,59.0,18.3,1.0,,1999
Charles Way,27.0,NYG,FB,11.0,8.0,49.0,141.0,2.0,10.0,40.8,17.0,2.9,12.8,4.5,0.0,,1999
Terrell Fletcher,26.0,SDG,RB,15.0,2.0,48.0,126.0,0.0,5.0,33.3,16.0,2.6,8.4,3.2,1.0,,1999
Wilmont Perry,24.0,NOR,RB,7.0,3.0,48.0,180.0,0.0,8.0,39.6,22.0,3.8,25.7,6.9,0.0,,1999
Mark Brunell,29.0,JAX,QB,15.0,15.0,47.0,208.0,1.0,24.0,51.1,15.0,4.4,13.9,3.1,6.0,PB,1999
Donovan McNabb,23.0,PHI,QB,12.0,6.0,47.0,313.0,0.0,18.0,42.6,27.0,6.7,26.1,3.9,8.0,,1999
Stanley Pritchett,26.0,MIA,FB,14.0,7.0,47.0,158.0,1.0,11.0,36.2,25.0,3.4,11.3,3.4,0.0,,1999
Justin Watson,24.0,STL,RB,8.0,0.0,47.0,179.0,0.0,9.0,29.8,21.0,3.8,22.4,5.9,2.0,,1999
Rich Gannon,34.0,OAK,QB,16.0,16.0,46.0,298.0,2.0,16.0,45.7,39.0,6.5,18.6,2.9,8.0,PB,1999
Brian Griese,24.0,DEN,QB,14.0,13.0,46.0,138.0,2.0,19.0,37.0,23.0,3.0,9.9,3.3,16.0,,1999
Zack Crockett,27.0,OAK,FB,13.0,1.0,45.0,91.0,4.0,17.0,53.3,7.0,2.0,7.0,3.5,0.0,,1999
Jeff Garcia,29.0,SFO,QB,13.0,10.0,45.0,231.0,2.0,18.0,48.9,25.0,5.1,17.8,3.5,5.0,,1999
Cory Schlesinger,27.0,DET,FB,16.0,11.0,43.0,124.0,0.0,10.0,32.6,16.0,2.9,7.8,2.7,4.0,,1999
Rodney Thomas,26.0,TEN,RB,16.0,0.0,43.0,164.0,1.0,9.0,44.2,22.0,3.8,10.3,2.7,0.0,,1999
Drew Bledsoe,27.0,NWE,QB,16.0,16.0,42.0,101.0,0.0,12.0,31.0,25.0,2.4,6.3,2.6,8.0,,1999
Ray Lucas,27.0,NYJ,QB,9.0,9.0,41.0,144.0,1.0,9.0,29.3,21.0,3.5,16.0,4.6,8.0,,1999
Tim Couch,22.0,CLE,QB,15.0,14.0,40.0,267.0,1.0,19.0,55.0,40.0,6.7,17.8,2.7,14.0,,1999
