Tm,G,PA,Ply,Y/P,Year
New England Patriots,16.0,250.0,998.0,5.2,2016
New York Giants,16.0,284.0,1062.0,5.1,2016
Seattle Seahawks,16.0,292.0,1020.0,5.0,2016
Denver Broncos,16.0,297.0,1076.0,4.7,2016
Dallas Cowboys,16.0,306.0,1009.0,5.5,2016
Minnesota Vikings,16.0,307.0,993.0,5.1,2016
Kansas City Chiefs,16.0,311.0,1063.0,5.5,2016
Cincinnati Bengals,16.0,315.0,1038.0,5.4,2016
Baltimore Ravens,16.0,321.0,993.0,5.2,2016
Pittsburgh Steelers,16.0,327.0,997.0,5.5,2016
Houston Texans,16.0,328.0,950.0,5.1,2016
Philadelphia Eagles,16.0,331.0,978.0,5.6,2016
Detroit Lions,16.0,358.0,964.0,5.9,2016
Arizona Cardinals,16.0,362.0,1019.0,4.8,2016
Tampa Bay Buccaneers,16.0,369.0,1013.0,5.8,2016
Tennessee Titans,16.0,378.0,1031.0,5.5,2016
Buffalo Bills,16.0,378.0,1019.0,5.6,2016
Miami Dolphins,16.0,380.0,1088.0,5.6,2016
Washington Redskins,16.0,383.0,1050.0,5.8,2016
Oakland Raiders,16.0,385.0,987.0,6.1,2016
Green Bay Packers,16.0,388.0,987.0,5.9,2016
Indianapolis Colts,16.0,392.0,1024.0,6.0,2016
Los Angeles Rams,16.0,394.0,1037.0,5.2,2016
Chicago Bears,16.0,399.0,1012.0,5.5,2016
Jacksonville Jaguars,16.0,400.0,1030.0,5.0,2016
Carolina Panthers,16.0,402.0,1035.0,5.6,2016
Atlanta Falcons,16.0,406.0,1059.0,5.6,2016
New York Jets,16.0,409.0,1000.0,5.5,2016
San Diego Chargers,16.0,423.0,1025.0,5.4,2016
Cleveland Browns,16.0,452.0,1067.0,5.9,2016
New Orleans Saints,16.0,454.0,1008.0,6.0,2016
San Francisco 49ers,16.0,480.0,1102.0,5.9,2016
Avg Team,,364.4,1022.9,5.5,2016
League Total,,11661.0,32734.0,5.5,2016
Avg Tm/G,,22.8,63.9,5.5,2016
