Tm,G,PA,Ply,Y/P,Year
Chicago Bears,16.0,203.0,1023.0,4.9,2001
Philadelphia Eagles,16.0,208.0,1017.0,4.6,2001
Pittsburgh Steelers,16.0,212.0,919.0,4.5,2001
Baltimore Ravens,16.0,265.0,1010.0,4.4,2001
Green Bay Packers,16.0,266.0,1041.0,4.7,2001
New England Patriots,16.0,272.0,1016.0,5.3,2001
St. Louis Rams,16.0,273.0,952.0,4.7,2001
Tampa Bay Buccaneers,16.0,280.0,950.0,4.9,2001
San Francisco 49ers,16.0,282.0,988.0,5.0,2001
Jacksonville Jaguars,16.0,286.0,1056.0,4.8,2001
Miami Dolphins,16.0,290.0,957.0,4.8,2001
New York Jets,16.0,295.0,1030.0,5.0,2001
Washington Redskins,16.0,303.0,982.0,4.9,2001
Cincinnati Bengals,16.0,309.0,1013.0,4.8,2001
Cleveland Browns,16.0,319.0,1089.0,4.9,2001
San Diego Chargers,16.0,321.0,1025.0,4.8,2001
New York Giants,16.0,321.0,995.0,5.0,2001
Seattle Seahawks,16.0,324.0,1028.0,5.1,2001
Oakland Raiders,16.0,327.0,1002.0,5.1,2001
Dallas Cowboys,16.0,338.0,985.0,4.7,2001
Denver Broncos,16.0,339.0,960.0,5.0,2001
Arizona Cardinals,16.0,343.0,1071.0,5.3,2001
Kansas City Chiefs,16.0,344.0,1003.0,5.3,2001
Atlanta Falcons,16.0,377.0,957.0,6.1,2001
Tennessee Titans,16.0,388.0,996.0,5.5,2001
Minnesota Vikings,16.0,390.0,985.0,5.8,2001
New Orleans Saints,16.0,409.0,948.0,5.3,2001
Carolina Panthers,16.0,410.0,1057.0,5.6,2001
Buffalo Bills,16.0,420.0,969.0,5.5,2001
Detroit Lions,16.0,424.0,1015.0,5.4,2001
Indianapolis Colts,16.0,486.0,1004.0,5.7,2001
Avg Team,,323.4,1001.4,5.1,2001
League Total,,10024.0,31043.0,5.1,2001
Avg Tm/G,,20.2,62.6,5.1,2001
