Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Curtis Martin,31.0,NYJ,RB,16.0,16.0,371.0,1697.0,12.0,93.0,52.6,25.0,4.6,106.1,23.2,2.0,"PB,AP-1,AP OPoY-4",2004
Rudi Johnson,25.0,CIN,RB,16.0,16.0,361.0,1454.0,12.0,74.0,46.0,52.0,4.0,90.9,22.6,4.0,PB,2004
Shaun Alexander,27.0,SEA,RB,16.0,16.0,353.0,1696.0,16.0,78.0,44.8,44.0,4.8,106.0,22.1,5.0,"PB,AP-2",2004
Corey Dillon,30.0,NWE,RB,15.0,14.0,345.0,1635.0,12.0,84.0,53.0,44.0,4.7,109.0,23.0,5.0,"PB,AP CPoY-5",2004
Clinton Portis,23.0,WAS,RB,15.0,15.0,343.0,1315.0,5.0,67.0,44.3,64.0,3.8,87.7,22.9,5.0,,2004
LaDainian Tomlinson,25.0,SDG,RB,15.0,15.0,339.0,1335.0,17.0,74.0,43.4,42.0,3.9,89.0,22.6,6.0,"PB,AP-1,AP OPoY-5",2004
Edgerrin James,26.0,IND,RB,16.0,16.0,334.0,1548.0,9.0,78.0,56.0,40.0,4.6,96.8,20.9,6.0,"PB,AP-2",2004
Tiki Barber,29.0,NYG,RB,16.0,14.0,322.0,1518.0,13.0,82.0,47.2,72.0,4.7,94.9,20.1,5.0,PB,2004
Domanick Williams,24.0,HOU,RB,15.0,15.0,302.0,1188.0,13.0,57.0,42.7,44.0,3.9,79.2,20.1,4.0,,2004
Willis McGahee,23.0,BUF,RB,16.0,11.0,284.0,1128.0,13.0,65.0,45.1,41.0,4.0,70.5,17.8,4.0,AP CPoY-3,2004
Reuben Droughns,26.0,DEN,RB,16.0,15.0,275.0,1240.0,6.0,72.0,49.1,51.0,4.5,77.5,17.2,5.0,,2004
Deuce McAllister,26.0,NOR,RB,14.0,14.0,269.0,1074.0,9.0,54.0,40.9,71.0,4.0,76.7,19.2,5.0,,2004
Emmitt Smith,35.0,ARI,RB,15.0,15.0,267.0,937.0,9.0,43.0,38.2,29.0,3.5,62.5,17.8,4.0,,2004
Warrick Dunn,29.0,ATL,RB,16.0,16.0,265.0,1106.0,9.0,47.0,41.1,60.0,4.2,69.1,16.6,3.0,,2004
Fred Taylor,28.0,JAX,RB,14.0,14.0,260.0,1224.0,2.0,49.0,42.7,46.0,4.7,87.4,18.6,3.0,,2004
Ahman Green,27.0,GNB,RB,15.0,15.0,259.0,1163.0,7.0,58.0,49.8,90.0,4.5,77.5,17.3,7.0,PB,2004
Jerome Bettis,32.0,PIT,RB,15.0,6.0,250.0,941.0,13.0,50.0,48.0,29.0,3.8,62.7,16.7,1.0,"PB,AP CPoY-4",2004
Kevan Barlow,25.0,SFO,RB,15.0,14.0,244.0,822.0,7.0,45.0,38.9,60.0,3.4,54.8,16.3,2.0,,2004
Kevin Jones,22.0,DET,RB,15.0,14.0,241.0,1133.0,5.0,59.0,46.9,74.0,4.7,75.5,16.1,2.0,,2004
Thomas Jones,26.0,CHI,RB,14.0,14.0,240.0,948.0,7.0,49.0,45.8,54.0,4.0,67.7,17.1,2.0,,2004
Jamal Lewis,25.0,BAL,RB,12.0,12.0,235.0,1006.0,7.0,51.0,45.1,75.0,4.3,83.8,19.6,2.0,,2004
Chris Brown,23.0,TEN,RB,11.0,11.0,220.0,1067.0,6.0,40.0,43.2,52.0,4.9,97.0,20.0,6.0,,2004
