Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Richie Anderson,125.0,88.0,853.0,2.0,9.7,6.8,2000
Larry Centers,93.0,81.0,600.0,3.0,7.4,6.5,2000
Marshall Faulk,113.0,81.0,830.0,8.0,10.2,7.3,2000
Ahman Green,99.0,73.0,559.0,3.0,7.7,5.6,2000
Michael Pittman,91.0,73.0,579.0,2.0,7.9,6.4,2000
Tiki Barber,95.0,70.0,719.0,1.0,10.3,7.6,2000
Curtis Martin,96.0,70.0,508.0,2.0,7.3,5.3,2000
Charlie Garner,94.0,68.0,647.0,3.0,9.5,6.9,2000
Edgerrin James,87.0,63.0,594.0,5.0,9.4,6.8,2000
Ricky Watters,92.0,63.0,613.0,2.0,9.7,6.7,2000
Tony Richardson,75.0,58.0,468.0,3.0,8.1,6.2,2000
Kevin Faulk,68.0,51.0,465.0,1.0,9.1,6.8,2000
Eddie George,65.0,50.0,453.0,2.0,9.1,7.0,2000
Terrell Fletcher,71.0,48.0,355.0,1.0,7.4,5.0,2000
Bob Christian,63.0,44.0,315.0,0.0,7.2,5.0,2000
Warrick Dunn,69.0,44.0,422.0,1.0,9.6,6.1,2000
Ricky Williams,55.0,44.0,409.0,1.0,9.3,7.4,2000
Jamal Anderson,58.0,42.0,382.0,0.0,9.1,6.6,2000
James Allen,60.0,39.0,291.0,1.0,7.5,4.9,2000
Sammy Morris,48.0,37.0,268.0,1.0,7.2,5.6,2000
Travis Prentice,43.0,37.0,191.0,1.0,5.2,4.4,2000
Greg Comella,50.0,36.0,274.0,0.0,7.6,5.5,2000
Robert Smith,44.0,36.0,348.0,3.0,9.7,7.9,2000
Fred Taylor,53.0,36.0,240.0,2.0,6.7,4.5,2000
William Henderson,45.0,35.0,234.0,1.0,6.7,5.2,2000
Tim Biakabutuka,58.0,34.0,341.0,2.0,10.0,5.9,2000
Stephen Davis,49.0,33.0,313.0,0.0,9.5,6.4,2000
Shawn Bryson,46.0,32.0,271.0,2.0,8.5,5.9,2000
Priest Holmes,46.0,32.0,221.0,0.0,6.9,4.8,2000
Thomas Jones,46.0,32.0,208.0,0.0,6.5,4.5,2000
James Stewart,48.0,32.0,287.0,1.0,9.0,6.0,2000
Chris Warren,43.0,32.0,303.0,1.0,9.5,7.0,2000
Chris Warren,42.0,31.0,302.0,1.0,9.7,7.2,2000
Chris Warren,1.0,1.0,1.0,0.0,1.0,1.0,2000
Fred Beasley,51.0,31.0,233.0,3.0,7.5,4.6,2000
Cecil Martin,39.0,31.0,219.0,0.0,7.1,5.6,2000
Lamar Smith,38.0,31.0,201.0,2.0,6.5,5.3,2000
Chad Morton,37.0,30.0,213.0,0.0,7.1,5.8,2000
Randy Jordan,32.0,27.0,299.0,1.0,11.1,9.3,2000
Jamal Lewis,36.0,27.0,296.0,0.0,11.0,8.2,2000
Jon Ritchie,33.0,26.0,173.0,0.0,6.7,5.2,2000
Stanley Pritchett,30.0,25.0,193.0,0.0,7.7,6.4,2000
Duce Staley,33.0,25.0,201.0,0.0,8.0,6.1,2000
Darnell Autry,37.0,24.0,275.0,1.0,11.5,7.4,2000
Mike Anderson,32.0,23.0,169.0,0.0,7.3,5.3,2000
Obafemi Ayanbadejo,29.0,23.0,168.0,1.0,7.3,5.8,2000
Mack Strong,30.0,23.0,141.0,1.0,6.1,4.7,2000
Robert Thomas,31.0,23.0,117.0,2.0,5.1,3.8,2000
J.R. Redmond,29.0,20.0,126.0,2.0,6.3,4.3,2000
Tyrone Wheatley,34.0,20.0,156.0,1.0,7.8,4.6,2000
Brandon Bennett,29.0,19.0,168.0,0.0,8.8,5.8,2000
Corey Dillon,26.0,18.0,158.0,0.0,8.8,6.1,2000
Fred McCrary,26.0,18.0,141.0,2.0,7.8,5.4,2000
William Floyd,27.0,17.0,114.0,1.0,6.7,4.2,2000
Marc Edwards,22.0,16.0,128.0,2.0,8.0,5.8,2000
Jermaine Fazande,18.0,16.0,104.0,0.0,6.5,5.8,2000
Howard Griffith,31.0,16.0,101.0,2.0,6.3,3.3,2000
Dorsey Levens,21.0,16.0,146.0,0.0,9.1,7.0,2000
Adrian Murrell,22.0,16.0,93.0,0.0,5.8,4.2,2000
Thurman Thomas,24.0,16.0,117.0,1.0,7.3,4.9,2000
Kimble Anders,19.0,15.0,76.0,0.0,5.1,4.0,2000
Mario Bates,21.0,15.0,109.0,0.0,7.3,5.2,2000
Brad Hoover,19.0,15.0,112.0,0.0,7.5,5.9,2000
Autry Denson,23.0,14.0,105.0,0.0,7.5,4.6,2000
Chris Hetherington,21.0,14.0,116.0,1.0,8.3,5.5,2000
Rob Konrad,24.0,14.0,83.0,0.0,5.9,3.5,2000
Errict Rhett,19.0,14.0,78.0,0.0,5.6,4.1,2000
Michael Wiley,18.0,14.0,72.0,1.0,5.1,4.0,2000
Mike Alstott,19.0,13.0,93.0,0.0,7.2,4.9,2000
Jerome Bettis,19.0,13.0,97.0,0.0,7.5,5.1,2000
