Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Michael Turner,26.0,ATL,RB,16.0,16.0,376.0,1699.0,17.0,85.0,46.5,70.0,4.5,106.2,23.5,3.0,"PB,AP-1,AP MVP-2,AP OPoY-6",2008
Adrian Peterson,23.0,MIN,RB,16.0,15.0,363.0,1760.0,10.0,82.0,45.5,67.0,4.8,110.0,22.7,9.0,"PB,AP-1,AP MVP-4,AP OPoY-2",2008
Clinton Portis,27.0,WAS,RB,16.0,16.0,342.0,1487.0,9.0,78.0,46.8,31.0,4.3,92.9,21.4,3.0,"PB,AP-2",2008
Matt Forte,23.0,CHI,RB,16.0,16.0,316.0,1238.0,8.0,65.0,40.5,50.0,3.9,77.4,19.8,1.0,AP ORoY-4,2008
Ryan Grant,26.0,GNB,RB,16.0,14.0,312.0,1203.0,4.0,54.0,44.6,57.0,3.9,75.2,19.5,4.0,,2008
LaDainian Tomlinson,29.0,SDG,RB,16.0,16.0,292.0,1110.0,11.0,52.0,43.2,45.0,3.8,69.4,18.3,1.0,,2008
Thomas Jones,30.0,NYJ,RB,16.0,14.0,290.0,1312.0,13.0,63.0,51.4,59.0,4.5,82.0,18.1,2.0,PB,2008
Jamal Lewis,29.0,CLE,RB,16.0,16.0,279.0,1002.0,4.0,43.0,38.7,29.0,3.6,62.6,17.4,2.0,,2008
DeAngelo Williams,25.0,CAR,RB,16.0,16.0,273.0,1515.0,18.0,65.0,44.3,69.0,5.5,94.7,17.1,0.0,"AP-2,AP OPoY-5",2008
Steve Slaton,22.0,HOU,RB,16.0,15.0,268.0,1282.0,9.0,62.0,43.3,71.0,4.8,80.1,16.8,3.0,,2008
Steven Jackson,25.0,STL,RB,12.0,11.0,253.0,1042.0,7.0,57.0,44.3,56.0,4.1,86.8,21.1,5.0,,2008
Chris Johnson,23.0,TEN,RB,15.0,14.0,251.0,1228.0,9.0,54.0,42.6,66.0,4.9,81.9,16.7,1.0,"PB,AP MVP-7,AP ORoY-2",2008
Marshawn Lynch,22.0,BUF,RB,15.0,15.0,250.0,1036.0,8.0,53.0,46.8,50.0,4.1,69.1,16.7,2.0,PB,2008
Frank Gore,25.0,SFO,RB,14.0,14.0,240.0,1036.0,6.0,44.0,45.8,41.0,4.3,74.0,17.1,6.0,,2008
Marion Barber III,25.0,DAL,RB,15.0,13.0,238.0,885.0,7.0,57.0,39.5,35.0,3.7,59.0,15.9,7.0,,2008
