Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Darren Sproles,111.0,86.0,710.0,7.0,8.3,6.4,2011
Ray Rice,104.0,76.0,704.0,3.0,9.3,6.8,2011
Chris Johnson,79.0,57.0,418.0,0.0,7.3,5.3,2011
Mike Tolbert,79.0,54.0,433.0,2.0,8.0,5.5,2011
Arian Foster,72.0,53.0,617.0,2.0,11.6,8.6,2011
Matt Forte,76.0,52.0,490.0,1.0,9.4,6.4,2011
Ryan Mathews,59.0,50.0,455.0,0.0,9.1,7.7,2011
Pierre Thomas,59.0,50.0,425.0,1.0,8.5,7.2,2011
Roy Helu,59.0,49.0,379.0,1.0,7.7,6.4,2011
LeSean McCoy,69.0,48.0,315.0,3.0,6.6,4.6,2011
Jonathan Stewart,61.0,47.0,413.0,1.0,8.8,6.8,2011
Reggie Bush,52.0,43.0,296.0,1.0,6.9,5.7,2011
Maurice Jones-Drew,64.0,43.0,374.0,3.0,8.7,5.8,2011
Steven Jackson,58.0,42.0,333.0,1.0,7.9,5.7,2011
LaDainian Tomlinson,61.0,42.0,449.0,2.0,10.7,7.4,2011
Kregg Lumpkin,53.0,41.0,291.0,0.0,7.1,5.5,2011
Fred Jackson,50.0,39.0,442.0,0.0,11.3,8.8,2011
C.J. Spiller,54.0,39.0,269.0,2.0,6.9,5.0,2011
Michael Bush,47.0,37.0,418.0,1.0,11.3,8.9,2011
Ahmad Bradshaw,44.0,34.0,267.0,2.0,7.9,6.1,2011
Felix Jones,45.0,33.0,221.0,0.0,6.7,4.9,2011
Shonn Greene,41.0,30.0,211.0,0.0,7.0,5.1,2011
James Starks,37.0,29.0,216.0,0.0,7.4,5.8,2011
Lance Kendricks,58.0,28.0,352.0,0.0,12.6,6.1,2011
Marshawn Lynch,41.0,28.0,212.0,1.0,7.6,5.2,2011
Javon Ringer,36.0,28.0,187.0,0.0,6.7,5.2,2011
Jahvid Best,40.0,27.0,287.0,1.0,10.6,7.2,2011
Marcel Reece,36.0,27.0,301.0,2.0,11.1,8.4,2011
Danny Ware,37.0,27.0,170.0,0.0,6.3,4.6,2011
Earnest Graham,31.0,26.0,163.0,0.0,6.3,5.3,2011
Maurice Morris,35.0,26.0,230.0,1.0,8.8,6.6,2011
DeMarco Murray,35.0,26.0,183.0,0.0,7.0,5.2,2011
Jason Snelling,32.0,26.0,179.0,1.0,6.9,5.6,2011
Justin Forsett,34.0,23.0,128.0,0.0,5.6,3.8,2011
Toby Gerhart,28.0,23.0,190.0,3.0,8.3,6.8,2011
Chris Ogbonnaya,31.0,23.0,165.0,0.0,7.2,5.3,2011
Chris Ogbonnaya,0.0,0.0,0.0,0.0,0.0,0.0,2011
Chris Ogbonnaya,31.0,23.0,165.0,0.0,7.2,5.3,2011
Peyton Hillis,34.0,22.0,130.0,0.0,5.9,3.8,2011
Brian Leonard,31.0,22.0,210.0,0.0,9.5,6.8,2011
Kevin Smith,28.0,22.0,179.0,3.0,8.1,6.4,2011
Jacquizz Rodgers,27.0,21.0,188.0,1.0,9.0,7.0,2011
Kahlil Bell,23.0,19.0,133.0,1.0,7.0,5.8,2011
Ryan Grant,24.0,19.0,268.0,1.0,14.1,11.2,2011
Darren McFadden,23.0,19.0,154.0,1.0,8.1,6.7,2011
Delanie Walker,35.0,19.0,198.0,3.0,10.4,5.7,2011
Tashard Choice,30.0,19.0,124.0,0.0,6.5,4.1,2011
Tashard Choice,14.0,11.0,71.0,0.0,6.5,5.1,2011
Tashard Choice,1.0,1.0,2.0,0.0,2.0,2.0,2011
Tashard Choice,15.0,7.0,51.0,0.0,7.3,3.4,2011
James Casey,24.0,18.0,260.0,1.0,14.4,10.8,2011
Rashard Mendenhall,28.0,18.0,154.0,0.0,8.6,5.5,2011
Adrian Peterson,24.0,18.0,139.0,1.0,7.7,5.8,2011
Isaac Redman,22.0,18.0,78.0,0.0,4.3,3.5,2011
Danny Woodhead,31.0,18.0,157.0,0.0,8.7,5.1,2011
Frank Gore,31.0,17.0,114.0,0.0,6.7,3.7,2011
Michael Turner,26.0,17.0,168.0,0.0,9.9,6.5,2011
Lance Ball,32.0,16.0,148.0,1.0,9.3,4.6,2011
Donald Brown,19.0,16.0,86.0,0.0,5.4,4.5,2011
Charles Clay,25.0,16.0,233.0,3.0,14.6,9.3,2011
Kendall Hunter,26.0,16.0,195.0,0.0,12.2,7.5,2011
DeAngelo Williams,25.0,16.0,135.0,0.0,8.4,5.4,2011
Joseph Addai,22.0,15.0,93.0,0.0,6.2,4.2,2011
Cedric Benson,22.0,15.0,82.0,0.0,5.5,3.7,2011
LeGarrette Blount,25.0,15.0,148.0,0.0,9.9,5.9,2011
Brandon Jacobs,23.0,15.0,128.0,1.0,8.5,5.6,2011
John Kuhn,18.0,15.0,77.0,2.0,5.1,4.3,2011
Vonta Leach,27.0,15.0,69.0,0.0,4.6,2.6,2011
Darrel Young,19.0,15.0,146.0,0.0,9.7,7.7,2011
Montario Hardesty,21.0,14.0,122.0,0.0,8.7,5.8,2011
Deji Karim,19.0,14.0,120.0,0.0,8.6,6.3,2011
Le'Ron McClain,22.0,14.0,82.0,1.0,5.9,3.7,2011
Chester Taylor,24.0,14.0,91.0,0.0,6.5,3.8,2011
Cadillac Williams,23.0,14.0,93.0,0.0,6.6,4.0,2011
Joe McKnight,18.0,13.0,139.0,0.0,10.7,7.7,2011
Bernard Scott,17.0,13.0,38.0,0.0,2.9,2.2,2011
LaRod Stephens-Howling,17.0,13.0,234.0,2.0,18.0,13.8,2011
Ben Tate,19.0,13.0,98.0,0.0,7.5,5.2,2011
Ricky Williams,20.0,13.0,83.0,0.0,6.4,4.2,2011
Jacob Hester,18.0,12.0,48.0,1.0,4.0,2.7,2011
Henry Hynoski,16.0,12.0,83.0,0.0,6.9,5.2,2011
Willis McGahee,20.0,12.0,51.0,1.0,4.3,2.6,2011
Luke Stocker,17.0,12.0,92.0,0.0,7.7,5.4,2011
Daniel Thomas,16.0,12.0,72.0,1.0,6.0,4.5,2011
Jed Collins,14.0,11.0,50.0,2.0,4.5,3.6,2011
Mark Ingram,13.0,11.0,46.0,0.0,4.2,3.5,2011
Bruce Miller,15.0,11.0,83.0,1.0,7.5,5.5,2011
Mewelde Moore,14.0,11.0,104.0,1.0,9.5,7.4,2011
Knowshon Moreno,15.0,11.0,101.0,1.0,9.2,6.7,2011
Tim Hightower,15.0,10.0,78.0,1.0,7.8,5.2,2011
Mossis Madu,12.0,10.0,72.0,0.0,7.2,6.0,2011
Brandon Saine,12.0,10.0,69.0,0.0,6.9,5.8,2011
Leon Washington,14.0,10.0,48.0,0.0,4.8,3.4,2011
Beanie Wells,16.0,10.0,52.0,0.0,5.2,3.3,2011
Jackie Battle,13.0,9.0,68.0,0.0,7.6,5.2,2011
BenJarvus Green-Ellis,13.0,9.0,159.0,0.0,17.7,12.2,2011
Ahmard Hall,14.0,9.0,46.0,0.0,5.1,3.3,2011
Spencer Larsen,9.0,9.0,76.0,0.0,8.4,8.4,2011
Michael Robinson,14.0,9.0,74.0,1.0,8.2,5.3,2011
Evan Royster,14.0,9.0,68.0,0.0,7.6,4.9,2011
Lorenzo Booker,14.0,8.0,82.0,0.0,10.3,5.9,2011
Tyler Clutts,10.0,8.0,48.0,0.0,6.0,4.8,2011
Anthony Sherman,9.0,8.0,72.0,0.0,9.0,8.0,2011
Keiland Williams,8.0,8.0,62.0,0.0,7.8,7.8,2011
Curtis Brinkley,9.0,7.0,41.0,0.0,5.9,4.6,2011
Kevin Faulk,9.0,7.0,34.0,0.0,4.9,3.8,2011
Jeremiah Johnson,9.0,7.0,62.0,0.0,8.9,6.9,2011
Erik Lorig,9.0,6.0,53.0,0.0,8.8,5.9,2011
Ryan Torain,9.0,6.0,23.0,0.0,3.8,2.6,2011
Marion Barber III,9.0,5.0,50.0,0.0,10.0,5.6,2011
Delone Carter,8.0,5.0,18.0,0.0,3.6,2.3,2011
Jamaal Charles,6.0,5.0,9.0,1.0,1.8,1.5,2011
Lex Hilliard,7.0,5.0,49.0,0.0,9.8,7.0,2011
Thomas Jones,7.0,5.0,43.0,0.0,8.6,6.1,2011
Owen Marecic,7.0,5.0,31.0,0.0,6.2,4.4,2011
Sammy Morris,7.0,5.0,13.0,0.0,2.6,1.9,2011
Rock Cartwright,6.0,4.0,24.0,0.0,6.0,4.0,2011
Jamie Harper,6.0,4.0,32.0,0.0,8.0,5.3,2011
Greg Jones,9.0,4.0,19.0,0.0,4.8,2.1,2011
Ovie Mughelli,8.0,4.0,25.0,2.0,6.3,3.1,2011
Lawrence Vickers,8.0,4.0,29.0,0.0,7.3,3.6,2011
Jerome Felton,7.0,4.0,40.0,0.0,10.0,5.7,2011
Jerome Felton,5.0,2.0,24.0,0.0,12.0,4.8,2011
Jerome Felton,2.0,2.0,16.0,0.0,8.0,8.0,2011
Tony Fiammetta,5.0,3.0,39.0,0.0,13.0,7.8,2011
Quinn Johnson,3.0,3.0,30.0,0.0,10.0,10.0,2011
Chris Pressley,5.0,3.0,19.0,0.0,6.3,3.8,2011
Stevan Ridley,5.0,3.0,13.0,0.0,4.3,2.6,2011
Owen Schmitt,7.0,3.0,32.0,0.0,10.7,4.6,2011
Alfonso Smith,5.0,3.0,21.0,0.0,7.0,4.2,2011
Manase Tonga,4.0,3.0,18.0,0.0,6.0,4.5,2011
Steve Slaton,4.0,3.0,3.0,0.0,1.0,0.8,2011
Steve Slaton,2.0,1.0,6.0,0.0,6.0,3.0,2011
Steve Slaton,2.0,2.0,-3.0,0.0,-1.5,-1.5,2011
Brock Bolen,5.0,2.0,6.0,0.0,3.0,1.2,2011
John Conner,5.0,2.0,9.0,0.0,4.5,1.8,2011
Mike Cox,3.0,2.0,8.0,0.0,4.0,2.7,2011
Taiwan Jones,3.0,2.0,25.0,0.0,12.5,8.3,2011
Montell Owens,3.0,2.0,2.0,0.0,1.0,0.7,2011
Da'Rel Scott,2.0,2.0,13.0,0.0,6.5,6.5,2011
Phillip Tanner,2.0,2.0,19.0,0.0,9.5,9.5,2011
Chauncey Washington,3.0,2.0,13.0,0.0,6.5,4.3,2011
Aaron Brown,1.0,1.0,9.0,0.0,9.0,9.0,2011
Shaun Chapas,1.0,1.0,9.0,0.0,9.0,9.0,2011
Thomas Clayton,1.0,1.0,3.0,0.0,3.0,3.0,2011
