Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Amp Lee,93.0,61.0,825.0,3.0,13.5,8.9,1997
Kimble Anders,72.0,59.0,453.0,2.0,7.7,6.3,1997
Larry Centers,75.0,54.0,409.0,1.0,7.6,5.5,1997
Dorsey Levens,67.0,53.0,370.0,5.0,7.0,5.5,1997
Kevin Turner,62.0,48.0,443.0,3.0,9.2,7.1,1997
Ricky Watters,73.0,48.0,440.0,0.0,9.2,6.0,1997
Marshall Faulk,73.0,47.0,471.0,1.0,10.0,6.5,1997
Chris Warren,54.0,45.0,257.0,0.0,5.7,4.8,1997
Terrell Davis,58.0,42.0,287.0,0.0,6.8,4.9,1997
William Henderson,48.0,41.0,367.0,1.0,9.0,7.6,1997
Curtis Martin,51.0,41.0,296.0,1.0,7.2,5.8,1997
James Stewart,49.0,41.0,336.0,1.0,8.2,6.9,1997
Scott Greene,57.0,40.0,277.0,1.0,6.9,4.9,1997
Napoleon Kaufman,50.0,40.0,403.0,2.0,10.1,8.1,1997
Emmitt Smith,48.0,40.0,234.0,0.0,5.9,4.9,1997
Warrick Dunn,56.0,39.0,462.0,3.0,11.8,8.3,1997
Terrell Fletcher,48.0,39.0,292.0,0.0,7.5,6.1,1997
William Floyd,54.0,37.0,321.0,1.0,8.7,5.9,1997
Robert Smith,44.0,37.0,197.0,1.0,5.3,4.5,1997
Charles Way,51.0,37.0,304.0,1.0,8.2,6.0,1997
Brian Mitchell,50.0,36.0,438.0,1.0,12.2,8.8,1997
Tiki Barber,54.0,34.0,299.0,1.0,8.8,5.5,1997
Larry Bowie,40.0,34.0,388.0,2.0,11.4,9.7,1997
Jerris McPhail,48.0,34.0,262.0,1.0,7.7,5.5,1997
Barry Sanders,50.0,33.0,305.0,3.0,9.2,6.1,1997
Eric Bieniemy,37.0,31.0,249.0,0.0,8.0,6.7,1997
Ray Zellars,43.0,31.0,263.0,0.0,8.5,6.1,1997
Thurman Thomas,43.0,30.0,208.0,0.0,6.9,4.8,1997
Karim Abdul-Jabbar,49.0,29.0,261.0,1.0,9.0,5.3,1997
Jamal Anderson,37.0,29.0,284.0,3.0,9.8,7.7,1997
Harold Green,36.0,29.0,360.0,0.0,12.4,10.0,1997
Bam Morris,38.0,29.0,176.0,0.0,6.1,4.6,1997
Raymont Harris,41.0,28.0,115.0,0.0,4.1,2.8,1997
Bernie Parmalee,35.0,28.0,301.0,1.0,10.8,8.6,1997
Antowain Smith,47.0,28.0,177.0,0.0,6.3,3.8,1997
Corey Dillon,33.0,27.0,259.0,0.0,9.6,7.8,1997
Adrian Murrell,41.0,27.0,106.0,0.0,3.9,2.6,1997
Richie Anderson,35.0,26.0,150.0,1.0,5.8,4.3,1997
Steve Broussard,30.0,24.0,143.0,1.0,6.0,4.8,1997
Tony Carter,34.0,24.0,152.0,0.0,6.3,4.5,1997
Charlie Garner,34.0,24.0,225.0,0.0,9.4,6.6,1997
Mike Alstott,33.0,23.0,178.0,3.0,7.7,5.4,1997
Terry Kirby,34.0,23.0,279.0,1.0,12.1,8.2,1997
Brian Milne,32.0,23.0,138.0,0.0,6.0,4.3,1997
Lamar Smith,28.0,23.0,183.0,0.0,8.0,6.5,1997
Bob Christian,31.0,22.0,154.0,1.0,7.0,5.0,1997
Sam Gash,29.0,22.0,154.0,3.0,7.0,5.3,1997
Gary Brown,30.0,21.0,137.0,0.0,6.5,4.6,1997
Earnest Byner,31.0,21.0,128.0,0.0,6.1,4.1,1997
Ki-Jana Carter,31.0,21.0,157.0,0.0,7.5,5.1,1997
Charles Evans,30.0,21.0,152.0,0.0,7.2,5.1,1997
Garrison Hearst,27.0,21.0,194.0,2.0,9.2,7.2,1997
Anthony Johnson,33.0,21.0,158.0,1.0,7.5,4.8,1997
Sherman Williams,28.0,21.0,159.0,0.0,7.6,5.7,1997
Erric Pegram,29.0,21.0,90.0,0.0,4.3,3.1,1997
Erric Pegram,2.0,2.0,7.0,0.0,3.5,3.5,1997
Erric Pegram,27.0,19.0,83.0,0.0,4.4,3.1,1997
Terry Allen,29.0,20.0,172.0,1.0,8.6,5.9,1997
Keith Byars,40.0,20.0,189.0,3.0,9.5,4.7,1997
Lamont Warren,26.0,20.0,192.0,0.0,9.6,7.4,1997
Dave Meggett,24.0,19.0,203.0,1.0,10.7,8.5,1997
Stephen Davis,24.0,18.0,134.0,0.0,7.4,5.6,1997
Ty Hallock,23.0,18.0,131.0,1.0,7.3,5.7,1997
Daryl Johnston,29.0,18.0,166.0,1.0,9.2,5.7,1997
Ronnie Harmon,21.0,18.0,197.0,0.0,10.9,9.4,1997
Ronnie Harmon,19.0,16.0,189.0,0.0,11.8,9.9,1997
Ronnie Harmon,2.0,2.0,8.0,0.0,4.0,4.0,1997
Leon Johnson,21.0,16.0,142.0,0.0,8.9,6.8,1997
George Jones,18.0,16.0,96.0,1.0,6.0,5.3,1997
Tommy Vardell,30.0,16.0,218.0,0.0,13.6,7.3,1997
Tyrone Wheatley,25.0,16.0,140.0,0.0,8.8,5.6,1997
Harvey Williams,39.0,16.0,147.0,2.0,9.2,3.8,1997
