Tm,G,PA,Ply,Y/P,Year
New York Giants,16.0,205.0,950.0,4.9,1993
Dallas Cowboys,16.0,229.0,1012.0,4.7,1993
Chicago Bears,16.0,230.0,1026.0,4.5,1993
Houston Oilers,16.0,238.0,1003.0,4.9,1993
Buffalo Bills,16.0,242.0,1119.0,5.0,1993
New York Jets,16.0,247.0,949.0,5.0,1993
Phoenix Cardinals,16.0,269.0,962.0,5.4,1993
Pittsburgh Steelers,16.0,281.0,962.0,4.7,1993
Green Bay Packers,16.0,282.0,999.0,4.5,1993
Denver Broncos,16.0,284.0,1005.0,5.1,1993
New England Patriots,16.0,286.0,1013.0,4.7,1993
San Diego Chargers,16.0,290.0,1002.0,5.1,1993
Minnesota Vikings,16.0,290.0,938.0,4.7,1993
Kansas City Chiefs,16.0,291.0,1013.0,4.7,1993
Detroit Lions,16.0,292.0,990.0,4.7,1993
San Francisco 49ers,16.0,295.0,1012.0,4.9,1993
Cleveland Browns,16.0,307.0,1040.0,4.6,1993
Seattle Seahawks,16.0,314.0,1085.0,4.9,1993
Philadelphia Eagles,16.0,315.0,966.0,5.2,1993
Cincinnati Bengals,16.0,319.0,1000.0,5.0,1993
Los Angeles Raiders,16.0,326.0,996.0,4.7,1993
New Orleans Saints,16.0,343.0,1008.0,4.7,1993
Washington Redskins,16.0,345.0,1027.0,5.4,1993
Miami Dolphins,16.0,351.0,1061.0,4.9,1993
Los Angeles Rams,16.0,367.0,1003.0,5.4,1993
Tampa Bay Buccaneers,16.0,376.0,1011.0,5.2,1993
Indianapolis Colts,16.0,378.0,1050.0,5.4,1993
Atlanta Falcons,16.0,385.0,951.0,5.7,1993
Avg Team,,299.2,1005.5,4.9,1993
League Total,,8377.0,28153.0,4.9,1993
Avg Tm/G,,18.7,62.8,4.9,1993
