Tm,G,PA,Ply,Y/P,Year
Seattle Seahawks,16.0,231.0,990.0,4.4,2013
Carolina Panthers,16.0,241.0,975.0,4.9,2013
San Francisco 49ers,16.0,272.0,1020.0,5.0,2013
New Orleans Saints,16.0,304.0,943.0,5.2,2013
Cincinnati Bengals,16.0,305.0,1042.0,4.7,2013
Kansas City Chiefs,16.0,305.0,1067.0,5.5,2013
Arizona Cardinals,16.0,324.0,1042.0,4.9,2013
Miami Dolphins,16.0,335.0,1106.0,5.2,2013
Indianapolis Colts,16.0,336.0,1026.0,5.6,2013
New England Patriots,16.0,338.0,1118.0,5.3,2013
San Diego Chargers,16.0,348.0,959.0,6.1,2013
Baltimore Ravens,16.0,352.0,1032.0,5.2,2013
St. Louis Rams,16.0,364.0,1014.0,5.4,2013
Pittsburgh Steelers,16.0,370.0,1036.0,5.2,2013
Detroit Lions,16.0,376.0,982.0,5.6,2013
Tennessee Titans,16.0,381.0,1027.0,5.3,2013
Philadelphia Eagles,16.0,382.0,1150.0,5.5,2013
New York Giants,16.0,383.0,1089.0,4.9,2013
New York Jets,16.0,387.0,1048.0,5.1,2013
Buffalo Bills,16.0,388.0,1089.0,4.9,2013
Tampa Bay Buccaneers,16.0,389.0,1020.0,5.5,2013
Denver Broncos,16.0,399.0,1074.0,5.3,2013
Cleveland Browns,16.0,406.0,1107.0,4.8,2013
Houston Texans,16.0,428.0,970.0,5.2,2013
Green Bay Packers,16.0,428.0,1015.0,5.9,2013
Dallas Cowboys,16.0,432.0,1094.0,6.1,2013
Atlanta Falcons,16.0,443.0,1003.0,6.1,2013
Jacksonville Jaguars,16.0,449.0,1089.0,5.6,2013
Oakland Raiders,16.0,453.0,1029.0,5.7,2013
Washington Redskins,16.0,478.0,993.0,5.7,2013
Chicago Bears,16.0,478.0,1021.0,6.2,2013
Minnesota Vikings,16.0,480.0,1132.0,5.6,2013
Avg Team,,374.5,1040.7,5.4,2013
League Total,,11985.0,33302.0,5.4,2013
Avg Tm/G,,23.4,65.0,5.4,2013
