Tm,G,PA,Ply,Y/P,Year
Seattle Seahawks,16.0,254.0,924.0,4.6,2014
Kansas City Chiefs,16.0,281.0,1024.0,5.2,2014
Detroit Lions,16.0,282.0,984.0,4.9,2014
Buffalo Bills,16.0,289.0,1027.0,4.9,2014
Arizona Cardinals,16.0,299.0,1010.0,5.8,2014
Baltimore Ravens,16.0,302.0,1034.0,5.2,2014
Houston Texans,16.0,307.0,1077.0,5.2,2014
New England Patriots,16.0,313.0,1033.0,5.3,2014
Cleveland Browns,16.0,337.0,1118.0,5.2,2014
San Francisco 49ers,16.0,340.0,989.0,5.2,2014
Minnesota Vikings,16.0,343.0,1025.0,5.4,2014
Cincinnati Bengals,16.0,344.0,1067.0,5.4,2014
San Diego Chargers,16.0,348.0,988.0,5.5,2014
Green Bay Packers,16.0,348.0,1054.0,5.3,2014
Dallas Cowboys,16.0,352.0,978.0,5.8,2014
Denver Broncos,16.0,354.0,1031.0,4.7,2014
St. Louis Rams,16.0,354.0,1005.0,5.6,2014
Pittsburgh Steelers,16.0,368.0,944.0,6.0,2014
Indianapolis Colts,16.0,369.0,1007.0,5.4,2014
Miami Dolphins,16.0,373.0,1029.0,5.3,2014
Carolina Panthers,16.0,374.0,999.0,5.4,2014
Philadelphia Eagles,16.0,400.0,1113.0,5.4,2014
New York Giants,16.0,400.0,1007.0,6.0,2014
New York Jets,16.0,401.0,976.0,5.4,2014
Tampa Bay Buccaneers,16.0,410.0,1067.0,5.5,2014
Jacksonville Jaguars,16.0,412.0,1085.0,5.5,2014
Atlanta Falcons,16.0,417.0,1038.0,6.1,2014
New Orleans Saints,16.0,424.0,1022.0,6.0,2014
Washington Redskins,16.0,438.0,976.0,5.9,2014
Tennessee Titans,16.0,438.0,1099.0,5.4,2014
Chicago Bears,16.0,442.0,1008.0,6.0,2014
Oakland Raiders,16.0,452.0,1041.0,5.5,2014
Avg Team,,361.4,1024.3,5.4,2014
League Total,,11565.0,32779.0,5.4,2014
Avg Tm/G,,22.6,64.0,5.4,2014
