Tm,G,PA,Ply,Y/P,Year
New England Patriots,16.0,225.0,948.0,4.7,2019
Buffalo Bills,16.0,259.0,985.0,4.8,2019
Baltimore Ravens,16.0,282.0,921.0,5.2,2019
Chicago Bears,16.0,298.0,1017.0,5.1,2019
Minnesota Vikings,16.0,303.0,1053.0,5.2,2019
Pittsburgh Steelers,16.0,303.0,1030.0,4.7,2019
Kansas City Chiefs,16.0,308.0,1043.0,5.4,2019
San Francisco 49ers,16.0,310.0,968.0,4.7,2019
Green Bay Packers,16.0,313.0,998.0,5.7,2019
Denver Broncos,16.0,316.0,1003.0,5.4,2019
Dallas Cowboys,16.0,321.0,1015.0,5.2,2019
Tennessee Titans,16.0,331.0,1056.0,5.4,2019
New Orleans Saints,16.0,341.0,999.0,5.3,2019
Los Angeles Chargers,16.0,345.0,923.0,5.4,2019
Philadelphia Eagles,16.0,354.0,967.0,5.5,2019
New York Jets,16.0,359.0,1037.0,5.0,2019
Los Angeles Rams,16.0,364.0,1056.0,5.1,2019
Indianapolis Colts,16.0,373.0,986.0,5.6,2019
Houston Texans,16.0,385.0,1020.0,6.1,2019
Cleveland Browns,16.0,393.0,1014.0,5.7,2019
Jacksonville Jaguars,16.0,397.0,999.0,6.0,2019
Seattle Seahawks,16.0,398.0,1014.0,6.0,2019
Atlanta Falcons,16.0,399.0,985.0,5.8,2019
Oakland Raiders,16.0,419.0,963.0,5.9,2019
Cincinnati Bengals,16.0,420.0,1034.0,6.1,2019
Detroit Lions,16.0,423.0,1094.0,5.9,2019
Washington Redskins,16.0,435.0,1079.0,5.7,2019
Arizona Cardinals,16.0,442.0,1080.0,6.0,2019
Tampa Bay Buccaneers,16.0,449.0,1073.0,5.1,2019
New York Giants,16.0,451.0,1061.0,5.7,2019
Carolina Panthers,16.0,470.0,1042.0,5.8,2019
Miami Dolphins,16.0,494.0,1053.0,6.0,2019
Avg Team,,365.0,1016.1,5.5,2019
League Total,,11680.0,32516.0,5.5,2019
Avg Tm/G,,22.8,63.5,5.5,2019
