Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Pierre Thomas,84.0,77.0,513.0,3.0,6.7,6.1,2013
Danny Woodhead,88.0,76.0,605.0,6.0,8.0,6.9,2013
Matt Forte,95.0,74.0,594.0,3.0,8.0,6.3,2013
Darren Sproles,89.0,71.0,604.0,2.0,8.5,6.8,2013
Jamaal Charles,104.0,70.0,693.0,7.0,9.9,6.7,2013
Knowshon Moreno,74.0,60.0,548.0,3.0,9.1,7.4,2013
Ray Rice,72.0,58.0,321.0,0.0,5.5,4.5,2013
Giovani Bernard,71.0,56.0,514.0,3.0,9.2,7.2,2013
Reggie Bush,80.0,54.0,506.0,3.0,9.4,6.3,2013
Joique Bell,69.0,53.0,547.0,0.0,10.3,7.9,2013
DeMarco Murray,66.0,53.0,350.0,1.0,6.6,5.3,2013
LeSean McCoy,64.0,52.0,539.0,2.0,10.4,8.4,2013
Jacquizz Rodgers,63.0,52.0,341.0,2.0,6.6,5.4,2013
Chris Ogbonnaya,74.0,48.0,343.0,2.0,7.1,4.6,2013
Fred Jackson,65.0,47.0,387.0,1.0,8.2,6.0,2013
Shane Vereen,69.0,47.0,427.0,3.0,9.1,6.2,2013
Le'Veon Bell,66.0,45.0,399.0,0.0,8.9,6.0,2013
Maurice Jones-Drew,60.0,43.0,314.0,0.0,7.3,5.2,2013
Chris Johnson,52.0,42.0,345.0,4.0,8.2,6.6,2013
Andre Ellington,57.0,39.0,371.0,1.0,9.5,6.5,2013
Rashad Jennings,48.0,36.0,292.0,0.0,8.1,6.1,2013
Marshawn Lynch,44.0,36.0,316.0,2.0,8.8,7.2,2013
Bilal Powell,57.0,36.0,272.0,0.0,7.6,4.8,2013
Eddie Lacy,44.0,35.0,257.0,0.0,7.3,5.8,2013
Trent Richardson,52.0,35.0,316.0,1.0,9.0,6.1,2013
Trent Richardson,11.0,7.0,51.0,0.0,7.3,4.6,2013
Trent Richardson,41.0,28.0,265.0,1.0,9.5,6.5,2013
Ben Tate,49.0,34.0,140.0,0.0,4.1,2.9,2013
Steven Jackson,49.0,33.0,191.0,1.0,5.8,3.9,2013
C.J. Spiller,41.0,33.0,185.0,0.0,5.6,4.5,2013
Marcel Reece,54.0,32.0,331.0,2.0,10.3,6.1,2013
Roy Helu,42.0,31.0,251.0,0.0,8.1,6.0,2013
Brian Leonard,37.0,29.0,179.0,0.0,6.2,4.8,2013
Adrian Peterson,40.0,29.0,171.0,1.0,5.9,4.3,2013
Jason Snelling,34.0,29.0,216.0,3.0,7.4,6.4,2013
Donald Brown,35.0,27.0,214.0,2.0,7.9,6.1,2013
Mike Tolbert,33.0,27.0,184.0,2.0,6.8,5.6,2013
Ryan Mathews,33.0,26.0,189.0,1.0,7.3,5.7,2013
