Tm,G,PA,Ply,Y/P,Year
Buffalo Bills,17.0,289.0,1014.0,4.6,2021
New England Patriots,17.0,303.0,1038.0,5.1,2021
Denver Broncos,17.0,322.0,1039.0,5.3,2021
New Orleans Saints,17.0,335.0,1064.0,5.1,2021
Tampa Bay Buccaneers,17.0,353.0,1093.0,5.2,2021
Tennessee Titans,17.0,354.0,1039.0,5.4,2021
Dallas Cowboys,17.0,358.0,1082.0,5.5,2021
Kansas City Chiefs,17.0,364.0,1060.0,5.9,2021
San Francisco 49ers,17.0,365.0,1032.0,5.1,2021
Indianapolis Colts,17.0,365.0,1050.0,5.6,2021
Arizona Cardinals,17.0,366.0,1028.0,5.4,2021
Seattle Seahawks,17.0,366.0,1201.0,5.4,2021
Green Bay Packers,17.0,371.0,1037.0,5.4,2021
Cleveland Browns,17.0,371.0,1056.0,5.0,2021
Los Angeles Rams,17.0,372.0,1118.0,5.2,2021
Miami Dolphins,17.0,373.0,1081.0,5.3,2021
Cincinnati Bengals,17.0,376.0,1075.0,5.5,2021
Philadelphia Eagles,17.0,385.0,1076.0,5.2,2021
Baltimore Ravens,17.0,392.0,1033.0,6.0,2021
Pittsburgh Steelers,17.0,398.0,1116.0,5.5,2021
Carolina Panthers,17.0,404.0,1028.0,5.1,2021
Chicago Bears,17.0,407.0,1009.0,5.3,2021
New York Giants,17.0,416.0,1137.0,5.3,2021
Minnesota Vikings,17.0,426.0,1152.0,5.7,2021
Washington Football Team,17.0,434.0,1065.0,5.7,2021
Las Vegas Raiders,17.0,439.0,1103.0,5.2,2021
Houston Texans,17.0,452.0,1101.0,5.9,2021
Jacksonville Jaguars,17.0,457.0,1068.0,5.6,2021
Atlanta Falcons,17.0,459.0,1114.0,5.6,2021
Los Angeles Chargers,17.0,459.0,1103.0,5.6,2021
Detroit Lions,17.0,467.0,1092.0,5.9,2021
New York Jets,17.0,504.0,1145.0,5.9,2021
Avg Team,,390.7,1076.5,5.4,2021
League Total,,12502.0,34449.0,5.4,2021
Avg Tm/G,,23.0,63.3,5.4,2021
