Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
LaDainian Tomlinson,137.0,100.0,725.0,4.0,7.3,5.3,2003
Michael Pittman,121.0,75.0,597.0,2.0,8.0,4.9,2003
Priest Holmes,90.0,74.0,690.0,0.0,9.3,7.7,2003
Richie Anderson,87.0,69.0,493.0,4.0,7.1,5.7,2003
Tiki Barber,98.0,69.0,461.0,1.0,6.7,4.7,2003
Deuce McAllister,87.0,69.0,516.0,0.0,7.5,5.9,2003
Moe Williams,87.0,65.0,644.0,3.0,9.9,7.4,2003
Shawn Bryson,72.0,54.0,340.0,0.0,6.3,4.7,2003
Edgerrin James,71.0,51.0,292.0,0.0,5.7,4.1,2003
Ahman Green,60.0,50.0,367.0,5.0,7.3,6.1,2003
Ricky Williams,62.0,50.0,351.0,1.0,7.0,5.7,2003
Kevin Faulk,67.0,48.0,440.0,0.0,9.2,6.6,2003
Charlie Garner,70.0,48.0,386.0,1.0,8.0,5.5,2003
Fred Taylor,74.0,48.0,370.0,1.0,7.7,5.0,2003
Jerald Sowell,60.0,47.0,436.0,1.0,9.3,7.3,2003
Domanick Williams,68.0,47.0,351.0,0.0,7.5,5.2,2003
Jamel White,69.0,46.0,303.0,1.0,6.6,4.4,2003
Marshall Faulk,61.0,45.0,290.0,1.0,6.4,4.8,2003
Shaun Alexander,59.0,42.0,295.0,2.0,7.0,5.0,2003
Curtis Martin,53.0,42.0,262.0,0.0,6.2,4.9,2003
Amos Zereoue,52.0,40.0,310.0,0.0,7.8,6.0,2003
Clinton Portis,51.0,38.0,314.0,0.0,8.3,6.2,2003
Warrick Dunn,52.0,37.0,336.0,2.0,9.1,6.5,2003
Brian Westbrook,48.0,37.0,332.0,4.0,9.0,6.9,2003
Duce Staley,47.0,36.0,382.0,2.0,10.6,8.1,2003
Kevan Barlow,44.0,35.0,307.0,1.0,8.8,7.0,2003
Cory Schlesinger,49.0,34.0,247.0,2.0,7.3,5.0,2003
Marc Edwards,43.0,31.0,226.0,0.0,7.3,5.3,2003
Marcel Shipp,37.0,30.0,184.0,0.0,6.1,5.0,2003
Mack Strong,33.0,29.0,216.0,0.0,7.4,6.5,2003
Travis Henry,40.0,28.0,158.0,1.0,5.6,4.0,2003
DeShaun Foster,35.0,26.0,207.0,2.0,8.0,5.9,2003
Jamal Lewis,38.0,26.0,205.0,0.0,7.9,5.4,2003
Brandon Bennett,32.0,25.0,176.0,1.0,7.0,5.5,2003
Garrison Hearst,38.0,25.0,211.0,1.0,8.4,5.6,2003
William Henderson,34.0,24.0,214.0,3.0,8.9,6.3,2003
Thomas Jones,31.0,24.0,180.0,0.0,7.5,5.8,2003
Eddie George,31.0,22.0,163.0,0.0,7.4,5.3,2003
Ricky Williams,29.0,22.0,157.0,1.0,7.1,5.4,2003
Tony Fisher,25.0,21.0,206.0,2.0,9.8,8.2,2003
Justin Griffith,34.0,21.0,122.0,2.0,5.8,3.6,2003
Rudi Johnson,23.0,21.0,146.0,0.0,7.0,6.3,2003
Jameel Cook,30.0,20.0,120.0,1.0,6.0,4.0,2003
Chester Taylor,27.0,20.0,132.0,0.0,6.6,4.9,2003
Fred Beasley,28.0,19.0,184.0,1.0,9.7,6.6,2003
Larry Centers,34.0,19.0,106.0,1.0,5.6,3.1,2003
Robert Holcombe,25.0,19.0,121.0,1.0,6.4,4.8,2003
Rock Cartwright,28.0,18.0,176.0,0.0,9.8,6.3,2003
Stanley Pritchett,27.0,18.0,83.0,0.0,4.6,3.1,2003
Aveion Cason,20.0,17.0,142.0,0.0,8.4,7.1,2003
Troy Hambrick,24.0,17.0,99.0,0.0,5.8,4.1,2003
