Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Arian Foster,26.0,HOU,RB,16.0,16.0,351.0,1424.0,15.0,78.0,44.4,46.0,4.1,89.0,21.9,3.0,PB,2012
Adrian Peterson,27.0,MIN,RB,16.0,16.0,348.0,2097.0,12.0,88.0,46.8,82.0,6.0,131.1,21.8,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1,AP CPoY-2",2012
Alfred Morris,24.0,WAS,RB,16.0,16.0,335.0,1613.0,13.0,86.0,50.1,39.0,4.8,100.8,20.9,4.0,AP-2,2012
Doug Martin,23.0,TAM,RB,16.0,16.0,319.0,1454.0,11.0,64.0,44.8,70.0,4.6,90.9,19.9,1.0,PB,2012
Marshawn Lynch,26.0,SEA,RB,16.0,15.0,315.0,1590.0,11.0,70.0,48.6,77.0,5.0,99.4,19.7,5.0,"PB,AP-1",2012
Stevan Ridley,23.0,NWE,RB,16.0,12.0,290.0,1263.0,12.0,83.0,52.8,41.0,4.4,78.9,18.1,4.0,,2012
Jamaal Charles,26.0,KAN,RB,16.0,15.0,285.0,1509.0,5.0,63.0,46.7,91.0,5.3,94.3,17.8,5.0,"PB,AP-2,AP CPoY-3",2012
BenJarvus Green-Ellis,27.0,CIN,RB,15.0,15.0,278.0,1094.0,6.0,55.0,46.0,48.0,3.9,72.9,18.5,3.0,,2012
Shonn Greene,27.0,NYJ,RB,16.0,14.0,276.0,1063.0,8.0,52.0,51.1,36.0,3.9,66.4,17.3,4.0,,2012
Chris Johnson,27.0,TEN,RB,16.0,15.0,276.0,1243.0,6.0,46.0,41.7,94.0,4.5,77.7,17.3,5.0,,2012
Trent Richardson,22.0,CLE,RB,15.0,15.0,267.0,950.0,11.0,38.0,42.3,32.0,3.6,63.3,17.8,3.0,,2012
Frank Gore,29.0,SFO,RB,16.0,16.0,258.0,1214.0,8.0,68.0,47.7,37.0,4.7,75.9,16.1,2.0,PB,2012
Steven Jackson,29.0,STL,RB,16.0,16.0,258.0,1045.0,4.0,49.0,45.3,46.0,4.1,65.3,16.1,0.0,,2012
Ray Rice,25.0,BAL,RB,16.0,16.0,257.0,1143.0,9.0,52.0,43.2,46.0,4.4,71.4,16.1,1.0,PB,2012
Matt Forte,27.0,CHI,RB,15.0,15.0,248.0,1094.0,5.0,45.0,41.5,46.0,4.4,72.9,16.5,2.0,,2012
Reggie Bush,27.0,MIA,RB,16.0,16.0,227.0,986.0,6.0,43.0,50.2,65.0,4.3,61.6,14.2,4.0,,2012
Michael Turner,30.0,ATL,RB,16.0,16.0,222.0,800.0,10.0,40.0,41.0,43.0,3.6,50.0,13.9,3.0,,2012
Ahmad Bradshaw,26.0,NYG,RB,14.0,12.0,221.0,1015.0,6.0,58.0,50.7,37.0,4.6,72.5,15.8,3.0,,2012
Darren McFadden,25.0,OAK,RB,12.0,12.0,216.0,707.0,2.0,35.0,35.2,64.0,3.3,58.9,18.0,2.0,,2012
Mikel Leshoure,22.0,DET,RB,14.0,14.0,215.0,798.0,9.0,47.0,45.6,16.0,3.7,57.0,15.4,3.0,,2012
Vick Ballard,22.0,IND,RB,16.0,12.0,211.0,814.0,2.0,52.0,46.0,26.0,3.9,50.9,13.2,3.0,,2012
C.J. Spiller,25.0,BUF,RB,16.0,9.0,207.0,1244.0,6.0,53.0,53.6,62.0,6.0,77.8,12.9,3.0,PB,2012
LeSean McCoy,24.0,PHI,RB,12.0,12.0,200.0,840.0,2.0,45.0,49.5,34.0,4.2,70.0,16.7,4.0,,2012
Ryan Mathews,25.0,SDG,RB,12.0,9.0,184.0,707.0,1.0,35.0,47.3,31.0,3.8,58.9,15.3,2.0,,2012
DeAngelo Williams,29.0,CAR,RB,16.0,10.0,173.0,737.0,5.0,34.0,42.8,65.0,4.3,46.1,10.8,2.0,,2012
Willis McGahee,31.0,DEN,RB,10.0,9.0,167.0,731.0,4.0,44.0,56.3,31.0,4.4,73.1,16.7,5.0,,2012
DeMarco Murray,24.0,DAL,RB,10.0,10.0,161.0,663.0,4.0,39.0,53.4,48.0,4.1,66.3,16.1,3.0,,2012
Jonathan Dwyer,23.0,PIT,RB,13.0,6.0,156.0,623.0,2.0,29.0,41.7,34.0,4.0,47.9,12.0,2.0,,2012
Mark Ingram,23.0,NOR,RB,16.0,5.0,156.0,602.0,5.0,29.0,47.4,31.0,3.9,37.6,9.8,0.0,,2012
Knowshon Moreno,25.0,DEN,RB,8.0,6.0,138.0,525.0,4.0,32.0,53.6,20.0,3.8,65.6,17.3,1.0,,2012
Alex Green,24.0,GNB,RB,12.0,4.0,135.0,464.0,0.0,17.0,37.8,41.0,3.4,38.7,11.3,1.0,,2012
Cam Newton,23.0,CAR,QB,16.0,16.0,127.0,741.0,8.0,52.0,52.0,72.0,5.8,46.3,7.9,10.0,,2012
Robert Griffin III,22.0,WAS,QB,15.0,15.0,120.0,815.0,7.0,45.0,56.7,76.0,6.8,54.3,8.0,12.0,"PB,AP ORoY-1",2012
Bryce Brown,21.0,PHI,RB,16.0,4.0,115.0,564.0,4.0,33.0,39.1,65.0,4.9,35.3,7.2,4.0,,2012
Fred Jackson,31.0,BUF,RB,10.0,8.0,115.0,437.0,3.0,26.0,47.0,15.0,3.8,43.7,11.5,5.0,,2012
Michael Bush,28.0,CHI,RB,13.0,1.0,114.0,411.0,5.0,28.0,46.5,20.0,3.6,31.6,8.8,1.0,,2012
Felix Jones,25.0,DAL,RB,16.0,7.0,111.0,402.0,3.0,24.0,47.7,22.0,3.6,25.1,6.9,2.0,,2012
