Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Emmitt Smith,22.0,DAL,RB,16.0,16.0,365.0,1563.0,12.0,75.0,4.3,97.7,22.8,8.0,"PB,AP-2",1991
Barry Sanders,23.0,DET,RB,15.0,15.0,342.0,1548.0,16.0,69.0,4.5,103.2,22.8,5.0,"PB,AP-1,AP MVP-3,AP OPoY-3",1991
Thurman Thomas,25.0,BUF,RB,15.0,15.0,288.0,1407.0,7.0,33.0,4.9,93.8,19.2,5.0,"PB,AP-1,AP MVP-1,AP OPoY-1",1991
Earnest Byner,29.0,WAS,RB,16.0,16.0,274.0,1048.0,5.0,32.0,3.8,65.5,17.1,3.0,"PB,AP-2",1991
Leonard Russell,22.0,NWE,RB,16.0,15.0,266.0,959.0,4.0,24.0,3.6,59.9,16.6,8.0,AP ORoY-1,1991
Gaston Green,25.0,DEN,RB,13.0,12.0,261.0,1037.0,4.0,63.0,4.0,79.8,20.1,4.0,PB,1991
Rodney Hampton,22.0,NYG,RB,14.0,14.0,256.0,1059.0,10.0,44.0,4.1,75.6,18.3,5.0,,1991
Mark Higgs,25.0,MIA,RB,14.0,10.0,231.0,905.0,4.0,24.0,3.9,64.6,16.5,3.0,,1991
Christian Okoye,30.0,KAN,FB,14.0,12.0,225.0,1031.0,9.0,48.0,4.6,73.6,16.1,5.0,PB,1991
Robert Delpino,26.0,RAM,RB,16.0,15.0,214.0,688.0,9.0,36.0,3.2,43.0,13.4,3.0,,1991
Neal Anderson,27.0,CHI,RB,13.0,12.0,210.0,747.0,6.0,42.0,3.6,57.5,16.2,5.0,PB,1991
Herschel Walker,29.0,MIN,RB,15.0,15.0,198.0,825.0,10.0,71.0,4.2,55.0,13.2,2.0,,1991
Kevin Mack,29.0,CLE,FB,14.0,11.0,197.0,726.0,8.0,51.0,3.7,51.9,14.1,1.0,,1991
Reggie Cobb,23.0,TAM,RB,16.0,11.0,196.0,752.0,7.0,59.0,3.8,47.0,12.3,3.0,,1991
Johnny Johnson,23.0,PHO,RB,15.0,13.0,196.0,666.0,4.0,21.0,3.4,44.4,13.1,2.0,,1991
Marion Butts,25.0,SDG,RB,16.0,8.0,193.0,834.0,6.0,44.0,4.3,52.1,12.1,3.0,PB,1991
Blair Thomas,24.0,NYJ,RB,16.0,12.0,189.0,728.0,3.0,25.0,3.9,45.5,11.8,3.0,,1991
John Williams,27.0,SEA,FB,16.0,16.0,188.0,741.0,4.0,42.0,3.9,46.3,11.8,2.0,PB,1991
Brad Baxter,24.0,NYJ,FB,16.0,14.0,184.0,666.0,11.0,31.0,3.6,41.6,11.5,6.0,,1991
Allen Pinkett,27.0,HOU,RB,16.0,16.0,171.0,720.0,9.0,32.0,4.2,45.0,10.7,2.0,,1991
Eric Dickerson,31.0,IND,RB,10.0,9.0,167.0,536.0,2.0,28.0,3.2,53.6,16.7,6.0,,1991
Merril Hoge,26.0,PIT,FB,16.0,16.0,165.0,610.0,2.0,24.0,3.7,38.1,10.3,3.0,,1991
Roger Craig,31.0,RAI,RB,15.0,13.0,162.0,590.0,1.0,15.0,3.6,39.3,10.8,2.0,,1991
Barry Word,28.0,KAN,RB,16.0,3.0,160.0,684.0,4.0,37.0,4.3,42.8,10.0,1.0,,1991
Rod Bernstine,26.0,SDG,RB,13.0,8.0,159.0,766.0,8.0,63.0,4.8,58.9,12.2,1.0,,1991
Harold Green,23.0,CIN,FB,14.0,10.0,158.0,731.0,2.0,75.0,4.6,52.2,11.3,2.0,,1991
James Brooks,33.0,CIN,RB,15.0,12.0,152.0,571.0,2.0,25.0,3.8,38.1,10.1,5.0,,1991
Ricky Ervins,23.0,WAS,RB,15.0,0.0,145.0,680.0,3.0,65.0,4.7,45.3,9.7,1.0,AP ORoY-2,1991
Darrell Thompson,24.0,GNB,FB,13.0,13.0,141.0,471.0,1.0,40.0,3.3,36.2,10.8,1.0,,1991
Gill Fenerty,28.0,NOR,RB,16.0,12.0,139.0,477.0,3.0,54.0,3.4,29.8,8.7,1.0,,1991
