Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Marshall Faulk,104.0,83.0,765.0,9.0,9.2,7.4,2001
Larry Centers,105.0,80.0,620.0,2.0,7.8,5.9,2001
Tiki Barber,98.0,72.0,577.0,0.0,8.0,5.9,2001
Charlie Garner,91.0,72.0,578.0,2.0,8.0,6.4,2001
Warrick Dunn,97.0,68.0,557.0,3.0,8.2,5.7,2001
Duce Staley,91.0,63.0,626.0,2.0,9.9,6.9,2001
Ahman Green,82.0,62.0,594.0,2.0,9.6,7.2,2001
Priest Holmes,75.0,62.0,614.0,2.0,9.9,8.2,2001
Cory Schlesinger,85.0,60.0,466.0,0.0,7.8,5.5,2001
Ricky Williams,88.0,60.0,511.0,1.0,8.5,5.8,2001
LaDainian Tomlinson,74.0,59.0,367.0,0.0,6.2,5.0,2001
Curtis Martin,63.0,53.0,320.0,0.0,6.0,5.1,2001
Bob Christian,60.0,45.0,392.0,2.0,8.7,6.5,2001
Shaun Alexander,59.0,44.0,343.0,2.0,7.8,5.8,2001
Jamel White,60.0,44.0,418.0,1.0,9.5,7.0,2001
Michael Pittman,66.0,42.0,264.0,0.0,6.3,4.0,2001
Garrison Hearst,55.0,41.0,347.0,1.0,8.5,6.3,2001
Richie Anderson,57.0,40.0,252.0,2.0,6.3,4.4,2001
Lamont Warren,60.0,40.0,336.0,1.0,8.4,5.6,2001
Greg Comella,55.0,39.0,253.0,1.0,6.5,4.6,2001
Eddie George,51.0,37.0,279.0,0.0,7.5,5.5,2001
Mike Alstott,50.0,35.0,231.0,1.0,6.6,4.6,2001
Corey Dillon,61.0,34.0,228.0,3.0,6.7,3.7,2001
Dominic Rhodes,55.0,34.0,224.0,0.0,6.6,4.1,2001
James Allen,43.0,30.0,203.0,1.0,6.8,4.7,2001
Kevin Faulk,36.0,30.0,189.0,2.0,6.3,5.3,2001
Tony Richardson,40.0,30.0,265.0,0.0,8.8,6.6,2001
Lamar Smith,35.0,30.0,234.0,2.0,7.8,6.7,2001
Michael Bennett,38.0,29.0,226.0,1.0,7.8,5.9,2001
Travis Minor,37.0,29.0,263.0,1.0,9.1,7.1,2001
Stephen Davis,37.0,28.0,205.0,0.0,7.3,5.5,2001
Brad Hoover,47.0,26.0,185.0,0.0,7.1,3.9,2001
Marc Edwards,39.0,25.0,166.0,2.0,6.6,4.3,2001
Obafemi Ayanbadejo,33.0,24.0,121.0,1.0,5.0,3.7,2001
Edgerrin James,29.0,24.0,193.0,0.0,8.0,6.7,2001
Jim Kleinsasser,28.0,24.0,184.0,0.0,7.7,6.6,2001
Dorsey Levens,35.0,24.0,159.0,1.0,6.6,4.5,2001
Cecil Martin,34.0,24.0,124.0,2.0,5.2,3.6,2001
Terrell Fletcher,29.0,23.0,184.0,0.0,8.0,6.3,2001
Chris Hetherington,35.0,23.0,124.0,0.0,5.4,3.5,2001
Stacey Mack,34.0,23.0,165.0,1.0,7.2,4.9,2001
James Stewart,26.0,23.0,242.0,1.0,10.5,9.3,2001
Moe Williams,35.0,23.0,210.0,0.0,9.1,6.0,2001
Kevan Barlow,28.0,22.0,247.0,1.0,11.2,8.8,2001
Travis Henry,27.0,22.0,179.0,0.0,8.1,6.6,2001
Anthony Thomas,30.0,22.0,178.0,0.0,8.1,5.9,2001
William Henderson,28.0,21.0,193.0,0.0,9.2,6.9,2001
Richard Huntley,32.0,21.0,101.0,1.0,4.8,3.2,2001
Thomas Jones,24.0,21.0,151.0,0.0,7.2,6.3,2001
Brandon Bennett,26.0,20.0,150.0,0.0,7.5,5.8,2001
Lorenzo Neal,27.0,19.0,101.0,1.0,5.3,3.7,2001
Jon Ritchie,27.0,19.0,154.0,2.0,8.1,5.7,2001
Antowain Smith,28.0,19.0,192.0,1.0,10.1,6.9,2001
Maurice Smith,27.0,19.0,230.0,1.0,12.1,8.5,2001
Elvis Joseph,24.0,18.0,183.0,2.0,10.2,7.6,2001
Terry Allen,20.0,17.0,68.0,0.0,4.0,3.4,2001
Trung Canidate,23.0,17.0,154.0,0.0,9.1,6.7,2001
Jameel Cook,23.0,17.0,89.0,0.0,5.2,3.9,2001
Emmitt Smith,21.0,17.0,116.0,0.0,6.8,5.5,2001
Mack Strong,29.0,17.0,141.0,0.0,8.3,4.9,2001
Fred Beasley,28.0,16.0,99.0,0.0,6.2,3.5,2001
Doug Chapman,19.0,16.0,135.0,1.0,8.4,7.1,2001
Chris Fuamatu-Ma'afala,20.0,16.0,127.0,1.0,7.9,6.4,2001
Joel Makovicka,28.0,16.0,95.0,1.0,5.9,3.4,2001
Michael Wiley,27.0,16.0,99.0,1.0,6.2,3.7,2001
Donnell Bennett,25.0,15.0,112.0,0.0,7.5,4.5,2001
Patrick Hape,19.0,15.0,96.0,3.0,6.4,5.1,2001
Deuce McAllister,20.0,15.0,166.0,1.0,11.1,8.3,2001
Correll Buckhalter,21.0,13.0,130.0,0.0,10.0,6.2,2001
Ki-Jana Carter,21.0,13.0,83.0,0.0,6.4,4.0,2001
Fred McCrary,23.0,13.0,71.0,0.0,5.5,3.1,2001
Harold Morrow,18.0,13.0,142.0,0.0,10.9,7.9,2001
J.R. Redmond,21.0,13.0,132.0,0.0,10.2,6.3,2001
Amos Zereoue,14.0,13.0,154.0,1.0,11.8,11.0,2001
Tim Biakabutuka,17.0,12.0,121.0,0.0,10.1,7.1,2001
Terrell Davis,21.0,12.0,69.0,0.0,5.8,3.3,2001
Mike Green,13.0,12.0,64.0,1.0,5.3,4.9,2001
Terry Jackson,14.0,12.0,91.0,2.0,7.6,6.5,2001
Daimon Shelton,18.0,12.0,76.0,1.0,6.3,4.2,2001
Tyrone Wheatley,16.0,12.0,61.0,1.0,5.1,3.8,2001
Tony Carter,14.0,11.0,83.0,0.0,7.5,5.9,2001
Ricky Watters,22.0,11.0,107.0,0.0,9.7,4.9,2001
Aaron Stecker,13.0,10.0,101.0,1.0,10.1,7.8,2001
Shawn Bryson,11.0,9.0,59.0,0.0,6.6,5.4,2001
Sam Gash,14.0,9.0,80.0,1.0,8.9,5.7,2001
Bryan Johnson,11.0,9.0,129.0,0.0,14.3,11.7,2001
Randy Jordan,15.0,9.0,63.0,0.0,7.0,4.2,2001
Terry Kirby,9.0,9.0,62.0,0.0,6.9,6.9,2001
Mike Anderson,12.0,8.0,46.0,0.0,5.8,3.8,2001
Jerome Bettis,10.0,8.0,48.0,0.0,6.0,4.8,2001
Ron Dayne,11.0,8.0,67.0,0.0,8.4,6.1,2001
Nick Goings,9.0,8.0,39.0,0.0,4.9,4.3,2001
James Jackson,10.0,7.0,56.0,0.0,8.0,5.6,2001
LaMont Jordan,10.0,7.0,44.0,1.0,6.3,4.4,2001
Sammy Morris,9.0,7.0,36.0,0.0,5.1,4.0,2001
Jason Brookins,9.0,6.0,45.0,0.0,7.5,5.0,2001
KaRon Coleman,11.0,6.0,45.0,0.0,7.5,4.1,2001
