Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Christian McCaffrey,124.0,107.0,867.0,6.0,8.1,7.0,2018
Saquon Barkley,121.0,91.0,721.0,4.0,7.9,6.0,2018
James White,123.0,87.0,751.0,7.0,8.6,6.1,2018
Alvin Kamara,105.0,81.0,709.0,4.0,8.8,6.8,2018
Ezekiel Elliott,95.0,77.0,567.0,3.0,7.4,6.0,2018
Tarik Cohen,91.0,71.0,725.0,5.0,10.2,8.0,2018
Jalen Richard,81.0,68.0,607.0,0.0,8.9,7.5,2018
Nyheim Hines,81.0,63.0,425.0,2.0,6.7,5.2,2018
Theo Riddick,74.0,61.0,384.0,0.0,6.3,5.2,2018
Todd Gurley,81.0,59.0,580.0,4.0,9.8,7.2,2018
Dion Lewis,67.0,59.0,400.0,1.0,6.8,6.0,2018
James Conner,71.0,55.0,497.0,1.0,9.0,7.0,2018
T.J. Yeldon,78.0,55.0,487.0,4.0,8.9,6.2,2018
Kenyan Drake,73.0,53.0,477.0,5.0,9.0,6.5,2018
Melvin Gordon,66.0,50.0,490.0,4.0,9.8,7.4,2018
David Johnson,76.0,50.0,446.0,3.0,8.9,5.9,2018
Duke Johnson,62.0,47.0,429.0,3.0,9.1,6.9,2018
Joe Mixon,55.0,43.0,296.0,1.0,6.9,5.4,2018
Chris Thompson,55.0,41.0,268.0,1.0,6.5,4.9,2018
Dalvin Cook,49.0,40.0,305.0,2.0,7.6,6.2,2018
Austin Ekeler,53.0,39.0,404.0,3.0,10.4,7.6,2018
Devontae Booker,51.0,38.0,275.0,0.0,7.2,5.4,2018
Jacquizz Rodgers,45.0,38.0,304.0,0.0,8.0,6.8,2018
Javorius Allen,43.0,35.0,196.0,2.0,5.6,4.6,2018
Giovani Bernard,48.0,35.0,218.0,0.0,6.2,4.5,2018
Phillip Lindsay,47.0,35.0,241.0,1.0,6.9,5.1,2018
Mike Davis,42.0,34.0,214.0,1.0,6.3,5.1,2018
LeSean McCoy,46.0,34.0,238.0,0.0,7.0,5.2,2018
Tevin Coleman,44.0,32.0,276.0,5.0,8.6,6.3,2018
Kerryon Johnson,39.0,32.0,213.0,1.0,6.7,5.5,2018
Kyle Juszczyk,41.0,30.0,324.0,1.0,10.8,7.9,2018
Wendell Smallwood,35.0,28.0,230.0,2.0,8.2,6.6,2018
Matt Breida,31.0,27.0,261.0,2.0,9.7,8.4,2018
