Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Derrick Henry,29.0,TEN,RB,17.0,17.0,280.0,1167.0,12.0,63.0,46.1,69.0,4.2,68.6,16.5,0.0,PB,2023
Christian McCaffrey,27.0,SFO,RB,16.0,16.0,272.0,1459.0,14.0,83.0,54.0,72.0,5.4,91.2,17.0,3.0,"PB,AP-1,AP MVP-3,AP OPoY-1",2023
Rachaad White,24.0,TAM,RB,17.0,17.0,272.0,990.0,6.0,46.0,40.8,38.0,3.6,58.2,16.0,3.0,,2023
Travis Etienne,24.0,JAX,RB,17.0,17.0,267.0,1008.0,11.0,53.0,43.1,62.0,3.8,59.3,15.7,0.0,AP OPoY-8,2023
Joe Mixon,27.0,CIN,RB,17.0,17.0,257.0,1034.0,9.0,59.0,49.4,44.0,4.0,60.8,15.1,0.0,,2023
Najee Harris,25.0,PIT,RB,17.0,17.0,255.0,1035.0,8.0,51.0,48.2,25.0,4.1,60.9,15.0,2.0,,2023
Tony Pollard,26.0,DAL,RB,17.0,17.0,252.0,1005.0,6.0,56.0,50.0,31.0,4.0,59.1,14.8,3.0,,2023
Saquon Barkley,26.0,NYG,RB,14.0,14.0,247.0,962.0,6.0,51.0,40.1,36.0,3.9,68.7,17.6,2.0,,2023
Chuba Hubbard,24.0,CAR,RB,17.0,12.0,238.0,902.0,5.0,59.0,47.5,22.0,3.8,53.1,14.0,1.0,,2023
James Cook,24.0,BUF,RB,17.0,13.0,237.0,1122.0,2.0,53.0,55.7,42.0,4.7,66.0,13.9,4.0,PB,2023
Josh Jacobs,25.0,LVR,RB,13.0,13.0,233.0,805.0,6.0,34.0,45.9,63.0,3.5,61.9,17.9,3.0,,2023
D'Andre Swift,24.0,PHI,RB,16.0,15.0,229.0,1049.0,5.0,50.0,54.1,43.0,4.6,65.6,14.3,3.0,PB,2023
Kyren Williams,23.0,LAR,RB,12.0,11.0,228.0,1144.0,12.0,62.0,59.6,56.0,5.0,95.3,19.0,3.0,"PB,AP-2",2023
Breece Hall,22.0,NYJ,RB,17.0,16.0,223.0,994.0,5.0,40.0,39.5,83.0,4.5,58.5,13.1,2.0,AP CPoY-7,2023
David Montgomery,26.0,DET,RB,14.0,14.0,219.0,1015.0,13.0,59.0,54.8,75.0,4.6,72.5,15.6,2.0,,2023
Kenneth Walker III,23.0,SEA,RB,15.0,15.0,219.0,905.0,8.0,46.0,46.6,45.0,4.1,60.3,14.6,1.0,,2023
Javonte Williams,23.0,DEN,RB,16.0,13.0,217.0,774.0,3.0,41.0,40.6,21.0,3.6,48.4,13.6,1.0,,2023
Devin Singletary,26.0,HOU,RB,17.0,10.0,216.0,898.0,4.0,41.0,47.7,24.0,4.2,52.8,12.7,1.0,,2023
Bijan Robinson,21.0,ATL,RB,17.0,16.0,214.0,976.0,4.0,50.0,43.5,38.0,4.6,57.4,12.6,4.0,AP ORoY-5,2023
Raheem Mostert,31.0,MIA,RB,15.0,15.0,209.0,1012.0,18.0,59.0,55.0,49.0,4.8,67.5,13.9,4.0,PB,2023
James Conner,28.0,ARI,RB,13.0,13.0,208.0,1040.0,7.0,57.0,49.5,44.0,5.0,80.0,16.0,0.0,,2023
Isiah Pacheco,24.0,KAN,RB,14.0,13.0,205.0,935.0,7.0,53.0,50.7,48.0,4.6,66.8,14.6,1.0,,2023
Jerome Ford,24.0,CLE,RB,17.0,12.0,204.0,813.0,4.0,33.0,39.7,69.0,4.0,47.8,12.0,1.0,,2023
Gus Edwards,28.0,BAL,RB,17.0,9.0,198.0,810.0,13.0,49.0,54.0,42.0,4.1,47.6,11.6,3.0,,2023
Tyler Allgeier,23.0,ATL,RB,17.0,3.0,186.0,683.0,4.0,39.0,48.4,31.0,3.7,40.2,10.9,0.0,,2023
Ezekiel Elliott,28.0,NWE,RB,17.0,5.0,184.0,642.0,3.0,33.0,45.1,17.0,3.5,37.8,10.8,2.0,,2023
Zack Moss,26.0,IND,RB,14.0,8.0,183.0,794.0,5.0,43.0,49.2,56.0,4.3,56.7,13.1,0.0,,2023
Jahmyr Gibbs,21.0,DET,RB,15.0,3.0,182.0,945.0,10.0,42.0,46.7,36.0,5.2,63.0,12.1,2.0,"PB,AP ORoY-4",2023
Alvin Kamara,28.0,NOR,RB,13.0,12.0,180.0,694.0,5.0,42.0,48.3,17.0,3.9,53.4,13.8,0.0,,2023
Alexander Mattison,25.0,MIN,RB,16.0,13.0,180.0,700.0,0.0,28.0,45.0,21.0,3.9,43.8,11.3,3.0,,2023
Austin Ekeler,28.0,LAC,RB,14.0,14.0,179.0,628.0,5.0,34.0,47.5,55.0,3.5,44.9,12.8,5.0,,2023
AJ Dillon,25.0,GNB,RB,15.0,6.0,178.0,613.0,2.0,32.0,50.0,40.0,3.4,40.9,11.9,0.0,,2023
Brian Robinson Jr.,24.0,WAS,RB,15.0,15.0,178.0,733.0,5.0,47.0,47.8,29.0,4.1,48.9,11.9,4.0,,2023
Jonathan Taylor,24.0,IND,RB,10.0,7.0,169.0,741.0,7.0,42.0,49.1,49.0,4.4,74.1,16.9,1.0,,2023
Jalen Hurts,25.0,PHI,QB,17.0,17.0,157.0,605.0,15.0,68.0,61.1,24.0,3.9,35.6,9.2,9.0,PB,2023
Rhamondre Stevenson,25.0,NWE,RB,12.0,12.0,156.0,619.0,4.0,36.0,49.4,64.0,4.0,51.6,13.0,1.0,,2023
Jaylen Warren,25.0,PIT,RB,17.0,0.0,149.0,784.0,4.0,36.0,49.7,74.0,5.3,46.1,8.8,4.0,,2023
Lamar Jackson,26.0,BAL,QB,16.0,16.0,148.0,821.0,5.0,48.0,54.1,30.0,5.5,51.3,9.3,11.0,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9",2023
Dameon Pierce,23.0,HOU,RB,14.0,7.0,145.0,416.0,2.0,14.0,37.9,22.0,2.9,29.7,10.4,0.0,,2023
Aaron Jones,29.0,GNB,RB,11.0,11.0,142.0,656.0,2.0,34.0,62.0,39.0,4.6,59.6,12.9,2.0,,2023
Kareem Hunt,28.0,CLE,RB,15.0,2.0,135.0,411.0,9.0,38.0,45.9,16.0,3.0,27.4,9.0,0.0,,2023
