Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Eddie George,27.0,TEN,RB,16.0,16.0,403.0,1509.0,14.0,78.0,41.4,35.0,3.7,94.3,25.2,5.0,"PB,AP-1,AP MVP-3,AP OPoY-2",2000
Edgerrin James,22.0,IND,RB,16.0,16.0,387.0,1709.0,13.0,100.0,53.0,30.0,4.4,106.8,24.2,5.0,"PB,AP-2,AP OPoY-2",2000
Jerome Bettis,28.0,PIT,RB,16.0,16.0,355.0,1341.0,8.0,72.0,47.3,30.0,3.8,83.8,22.2,1.0,,2000
James Stewart,29.0,DET,RB,16.0,16.0,339.0,1184.0,10.0,66.0,46.3,34.0,3.5,74.0,21.2,4.0,,2000
Stephen Davis,26.0,WAS,RB,15.0,15.0,332.0,1318.0,11.0,72.0,46.7,50.0,4.0,87.9,22.1,4.0,PB,2000
Curtis Martin,27.0,NYJ,RB,16.0,16.0,316.0,1204.0,9.0,64.0,38.9,55.0,3.8,75.3,19.8,2.0,,2000
Corey Dillon,26.0,CIN,RB,16.0,16.0,315.0,1435.0,7.0,71.0,44.8,80.0,4.6,89.7,19.7,4.0,PB,2000
Jamal Lewis,21.0,BAL,RB,16.0,13.0,309.0,1364.0,6.0,62.0,47.9,45.0,4.4,85.3,19.3,6.0,AP ORoY-2,2000
Lamar Smith,30.0,MIA,RB,15.0,15.0,309.0,1139.0,14.0,65.0,45.3,68.0,3.7,75.9,20.6,3.0,AP CPoY-5,2000
Mike Anderson,27.0,DEN,RB,16.0,12.0,297.0,1487.0,15.0,78.0,46.1,80.0,5.0,92.9,18.6,4.0,AP ORoY-1,2000
Robert Smith,28.0,MIN,RB,16.0,16.0,295.0,1521.0,7.0,63.0,50.5,72.0,5.2,95.1,18.4,4.0,"PB,AP-2,AP OPoY-5",2000
Emmitt Smith,31.0,DAL,RB,16.0,16.0,294.0,1203.0,9.0,66.0,46.3,52.0,4.1,75.2,18.4,6.0,,2000
