Tm,G,PA,Ply,Y/P,Year
Los Angeles Rams,16.0,296.0,989.0,4.6,2020
Baltimore Ravens,16.0,303.0,1017.0,5.2,2020
Pittsburgh Steelers,16.0,312.0,996.0,4.9,2020
Washington Football Team,16.0,329.0,1004.0,4.9,2020
New Orleans Saints,16.0,337.0,992.0,5.0,2020
Miami Dolphins,16.0,338.0,998.0,5.9,2020
New England Patriots,16.0,353.0,982.0,5.8,2020
Tampa Bay Buccaneers,16.0,355.0,1023.0,5.1,2020
New York Giants,16.0,357.0,1046.0,5.3,2020
Indianapolis Colts,16.0,362.0,992.0,5.4,2020
Kansas City Chiefs,16.0,362.0,1022.0,5.6,2020
Arizona Cardinals,16.0,367.0,1054.0,5.3,2020
Green Bay Packers,16.0,369.0,974.0,5.5,2020
Chicago Bears,16.0,370.0,1020.0,5.4,2020
Seattle Seahawks,16.0,371.0,1112.0,5.5,2020
Buffalo Bills,16.0,375.0,1025.0,5.5,2020
San Francisco 49ers,16.0,390.0,997.0,5.0,2020
Carolina Panthers,16.0,402.0,1022.0,5.6,2020
Atlanta Falcons,16.0,414.0,1034.0,6.2,2020
Philadelphia Eagles,16.0,418.0,1060.0,5.5,2020
Cleveland Browns,16.0,419.0,1035.0,5.5,2020
Cincinnati Bengals,16.0,424.0,1021.0,6.1,2020
Los Angeles Chargers,16.0,426.0,997.0,5.5,2020
Tennessee Titans,16.0,439.0,1076.0,5.9,2020
Denver Broncos,16.0,446.0,1043.0,5.6,2020
New York Jets,16.0,457.0,1081.0,5.7,2020
Houston Texans,16.0,464.0,1068.0,6.2,2020
Dallas Cowboys,16.0,473.0,1054.0,5.9,2020
Minnesota Vikings,16.0,475.0,1036.0,6.1,2020
Las Vegas Raiders,16.0,478.0,1039.0,6.0,2020
Jacksonville Jaguars,16.0,492.0,1068.0,6.3,2020
Detroit Lions,16.0,519.0,1068.0,6.3,2020
Avg Team,,396.6,1029.5,5.6,2020
League Total,,12692.0,32945.0,5.6,2020
Avg Tm/G,,24.8,64.3,5.6,2020
