Tm,G,PA,Ply,Y/P,Year
Seattle Seahawks,16.0,277.0,947.0,4.9,2015
Cincinnati Bengals,16.0,279.0,1032.0,5.3,2015
Kansas City Chiefs,16.0,287.0,1037.0,5.1,2015
Denver Broncos,16.0,296.0,1033.0,4.4,2015
Minnesota Vikings,16.0,302.0,1015.0,5.4,2015
Carolina Panthers,16.0,308.0,1058.0,4.9,2015
Arizona Cardinals,16.0,313.0,982.0,5.2,2015
Houston Texans,16.0,313.0,986.0,5.0,2015
New York Jets,16.0,314.0,1013.0,5.0,2015
New England Patriots,16.0,315.0,1042.0,5.2,2015
Pittsburgh Steelers,16.0,319.0,1055.0,5.5,2015
Green Bay Packers,16.0,323.0,1014.0,5.5,2015
St. Louis Rams,16.0,330.0,1091.0,5.4,2015
Atlanta Falcons,16.0,345.0,996.0,5.6,2015
Buffalo Bills,16.0,359.0,1017.0,5.6,2015
Dallas Cowboys,16.0,374.0,997.0,5.6,2015
Washington Redskins,16.0,379.0,1010.0,6.0,2015
San Francisco 49ers,16.0,387.0,1081.0,5.7,2015
Miami Dolphins,16.0,389.0,1076.0,5.6,2015
Chicago Bears,16.0,397.0,981.0,5.6,2015
San Diego Chargers,16.0,398.0,959.0,6.0,2015
Oakland Raiders,16.0,399.0,1085.0,5.4,2015
Detroit Lions,16.0,400.0,999.0,5.6,2015
Baltimore Ravens,16.0,401.0,1000.0,5.4,2015
Indianapolis Colts,16.0,408.0,1072.0,5.7,2015
Tampa Bay Buccaneers,16.0,417.0,1045.0,5.2,2015
Tennessee Titans,16.0,423.0,1004.0,5.5,2015
Philadelphia Eagles,16.0,430.0,1148.0,5.6,2015
Cleveland Browns,16.0,432.0,998.0,6.1,2015
New York Giants,16.0,442.0,1105.0,6.1,2015
Jacksonville Jaguars,16.0,448.0,1102.0,5.4,2015
New Orleans Saints,16.0,476.0,997.0,6.6,2015
Avg Team,,365.0,1030.4,5.5,2015
League Total,,11680.0,32973.0,5.5,2015
Avg Tm/G,,22.8,64.4,5.5,2015
