Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Jamal Anderson,26.0,ATL,RB,16.0,16.0,410.0,1846.0,14.0,94.0,48.5,48.0,4.5,115.4,25.6,5.0,"PB,AP-1,AP MVP-3,AP OPoY-4",1998
Terrell Davis,26.0,DEN,RB,16.0,16.0,392.0,2008.0,21.0,101.0,50.3,70.0,5.1,125.5,24.5,2.0,"PB,AP-1,AP MVP-1,AP OPoY-1",1998
Curtis Martin,25.0,NYJ,RB,15.0,15.0,369.0,1287.0,8.0,70.0,43.4,60.0,3.5,85.8,24.6,5.0,PB,1998
Eddie George,25.0,TEN,RB,16.0,16.0,348.0,1294.0,5.0,75.0,39.7,37.0,3.7,80.9,21.8,7.0,PB,1998
Barry Sanders,30.0,DET,RB,16.0,16.0,343.0,1491.0,4.0,65.0,38.8,73.0,4.3,93.2,21.4,3.0,"PB,AP-2",1998
Marshall Faulk,25.0,IND,RB,16.0,15.0,324.0,1319.0,6.0,62.0,43.2,68.0,4.1,82.4,20.3,3.0,"PB,AP-2,AP OPoY-4",1998
Emmitt Smith,29.0,DAL,RB,16.0,16.0,319.0,1332.0,13.0,90.0,52.7,32.0,4.2,83.3,19.9,3.0,PB,1998
Ricky Watters,29.0,SEA,RB,16.0,16.0,319.0,1239.0,9.0,76.0,45.5,39.0,3.9,77.4,19.9,4.0,,1998
Jerome Bettis,26.0,PIT,RB,15.0,15.0,316.0,1185.0,3.0,61.0,42.1,42.0,3.8,79.0,21.1,2.0,,1998
Garrison Hearst,27.0,SFO,RB,16.0,16.0,310.0,1570.0,7.0,73.0,50.3,96.0,5.1,98.1,19.4,4.0,PB,1998
Antowain Smith,26.0,BUF,RB,16.0,14.0,300.0,1124.0,8.0,61.0,45.7,30.0,3.7,70.3,18.8,5.0,,1998
Robert Edwards,24.0,NWE,RB,16.0,15.0,291.0,1115.0,9.0,50.0,46.0,53.0,3.8,69.7,18.2,5.0,,1998
Adrian Murrell,28.0,ARI,RB,15.0,14.0,274.0,1042.0,8.0,46.0,38.7,32.0,3.8,69.5,18.3,6.0,,1998
Karim Abdul-Jabbar,24.0,MIA,RB,15.0,15.0,270.0,960.0,6.0,48.0,37.4,45.0,3.6,64.0,18.0,2.0,,1998
Fred Taylor,22.0,JAX,RB,15.0,12.0,264.0,1223.0,14.0,57.0,40.9,77.0,4.6,81.5,17.6,3.0,AP ORoY-3,1998
Corey Dillon,24.0,CIN,RB,15.0,15.0,262.0,1130.0,4.0,57.0,44.3,66.0,4.3,75.3,17.5,2.0,,1998
Duce Staley,23.0,PHI,RB,16.0,13.0,258.0,1065.0,5.0,55.0,45.0,64.0,4.1,66.6,16.1,2.0,,1998
Robert Smith,26.0,MIN,RB,14.0,14.0,249.0,1187.0,6.0,46.0,39.8,74.0,4.8,84.8,17.8,1.0,PB,1998
Gary Brown,29.0,NYG,RB,16.0,11.0,247.0,1063.0,5.0,54.0,48.2,45.0,4.3,66.4,15.4,1.0,,1998
Warrick Dunn,23.0,TAM,RB,16.0,14.0,245.0,1026.0,2.0,45.0,39.2,50.0,4.2,64.1,15.3,1.0,,1998
