Player,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rec_Y/Tgt,Year
Christian McCaffrey,142.0,116.0,1005.0,4.0,8.7,7.1,2019
Austin Ekeler,108.0,92.0,993.0,8.0,10.8,9.2,2019
Alvin Kamara,97.0,81.0,533.0,1.0,6.6,5.5,2019
Tarik Cohen,104.0,79.0,456.0,3.0,5.8,4.4,2019
Leonard Fournette,100.0,76.0,522.0,0.0,6.9,5.2,2019
James White,95.0,72.0,645.0,5.0,9.0,6.8,2019
Le'Veon Bell,78.0,66.0,461.0,1.0,7.0,5.9,2019
Devonta Freeman,70.0,59.0,410.0,4.0,6.9,5.9,2019
Ezekiel Elliott,71.0,54.0,420.0,2.0,7.8,5.9,2019
Dalvin Cook,63.0,53.0,519.0,0.0,9.8,8.2,2019
Saquon Barkley,73.0,52.0,438.0,2.0,8.4,6.0,2019
Miles Sanders,63.0,50.0,509.0,3.0,10.2,8.1,2019
Kenyan Drake,68.0,50.0,345.0,0.0,6.9,5.1,2019
Kenyan Drake,33.0,22.0,174.0,0.0,7.9,5.3,2019
Kenyan Drake,35.0,28.0,171.0,0.0,6.1,4.9,2019
Aaron Jones,68.0,49.0,474.0,3.0,9.7,7.0,2019
Jaylen Samuels,57.0,47.0,305.0,1.0,6.5,5.4,2019
Nyheim Hines,58.0,44.0,320.0,0.0,7.3,5.5,2019
Duke Johnson,62.0,44.0,410.0,3.0,9.3,6.6,2019
Royce Freeman,50.0,43.0,256.0,1.0,6.0,5.1,2019
Melvin Gordon,55.0,42.0,296.0,1.0,7.0,5.4,2019
Chris Thompson,58.0,42.0,378.0,0.0,9.0,6.5,2019
Jamaal Williams,45.0,39.0,253.0,5.0,6.5,5.6,2019
Chris Carson,47.0,37.0,266.0,2.0,7.2,5.7,2019
Kareem Hunt,44.0,37.0,285.0,1.0,7.7,6.5,2019
Nick Chubb,49.0,36.0,278.0,0.0,7.7,5.7,2019
David Johnson,47.0,36.0,370.0,4.0,10.3,7.9,2019
Jalen Richard,43.0,36.0,323.0,0.0,9.0,7.5,2019
DeAndre Washington,41.0,36.0,292.0,0.0,8.1,7.1,2019
Phillip Lindsay,48.0,35.0,196.0,0.0,5.6,4.1,2019
Joe Mixon,45.0,35.0,287.0,3.0,8.2,6.4,2019
Dare Ogunbowale,46.0,35.0,286.0,0.0,8.2,6.2,2019
James Conner,38.0,34.0,251.0,3.0,7.4,6.6,2019
J.D. McKissic,42.0,34.0,233.0,1.0,6.9,5.5,2019
Latavius Murray,43.0,34.0,235.0,1.0,6.9,5.5,2019
Todd Gurley,49.0,31.0,207.0,2.0,6.7,4.2,2019
Ronald Jones II,40.0,31.0,309.0,0.0,10.0,7.7,2019
Giovani Bernard,43.0,30.0,234.0,0.0,7.8,5.4,2019
Damien Williams,37.0,30.0,213.0,2.0,7.1,5.8,2019
Devin Singletary,41.0,29.0,194.0,2.0,6.7,4.7,2019
LeSean McCoy,34.0,28.0,181.0,1.0,6.5,5.3,2019
Rex Burkhead,38.0,27.0,279.0,0.0,10.3,7.3,2019
Mark Ingram,29.0,26.0,247.0,5.0,9.5,8.5,2019
Dion Lewis,32.0,25.0,164.0,1.0,6.6,5.1,2019
David Montgomery,35.0,25.0,185.0,1.0,7.4,5.3,2019
Ty Johnson,31.0,24.0,109.0,0.0,4.5,3.5,2019
Boston Scott,26.0,24.0,204.0,0.0,8.5,7.8,2019
Patrick Laird,30.0,23.0,204.0,0.0,8.9,6.8,2019
Tevin Coleman,30.0,21.0,180.0,1.0,8.6,6.0,2019
Josh Jacobs,27.0,20.0,166.0,0.0,8.3,6.1,2019
Kyle Juszczyk,24.0,20.0,239.0,1.0,12.0,10.0,2019
Matt Breida,22.0,19.0,120.0,1.0,6.3,5.5,2019
Rhett Ellison,28.0,18.0,167.0,1.0,9.3,6.0,2019
Derrick Henry,24.0,18.0,206.0,2.0,11.4,8.6,2019
C.J. Ham,26.0,17.0,149.0,1.0,8.8,5.7,2019
Adrian Peterson,23.0,17.0,142.0,0.0,8.4,6.2,2019
Peyton Barber,24.0,16.0,115.0,1.0,7.2,4.8,2019
Ameer Abdullah,21.0,15.0,88.0,1.0,5.9,4.2,2019
Tony Pollard,20.0,15.0,107.0,1.0,7.1,5.4,2019
Mark Walton,21.0,15.0,89.0,0.0,5.9,4.2,2019
Darrel Williams,19.0,15.0,167.0,1.0,11.1,8.8,2019
Ryquell Armstead,24.0,14.0,144.0,2.0,10.3,6.0,2019
Kalen Ballage,24.0,14.0,63.0,0.0,4.5,2.6,2019
Anthony Firkser,24.0,14.0,204.0,1.0,14.6,8.5,2019
Marlon Mack,17.0,14.0,82.0,0.0,5.9,4.8,2019
Raheem Mostert,22.0,14.0,180.0,2.0,12.9,8.2,2019
Frank Gore,16.0,13.0,100.0,0.0,7.7,6.3,2019
T.J. Yeldon,15.0,13.0,124.0,0.0,9.5,8.3,2019
Chase Edmonds,21.0,12.0,105.0,1.0,8.8,5.0,2019
Dontrell Hilliard,15.0,12.0,92.0,0.0,7.7,6.1,2019
Sony Michel,20.0,12.0,94.0,0.0,7.8,4.7,2019
Wayne Gallman,15.0,11.0,102.0,1.0,9.3,6.8,2019
Travis Homer,13.0,11.0,56.0,0.0,5.1,4.3,2019
Ito Smith,14.0,11.0,87.0,0.0,7.9,6.2,2019
Brian Hill,14.0,10.0,69.0,1.0,6.9,4.9,2019
Jordan Howard,14.0,10.0,69.0,1.0,6.9,4.9,2019
Carlos Hyde,16.0,10.0,42.0,0.0,4.2,2.6,2019
Kerryon Johnson,15.0,10.0,127.0,1.0,12.7,8.5,2019
Alexander Mattison,12.0,10.0,82.0,0.0,8.2,6.8,2019
C.J. Prosise,12.0,10.0,76.0,0.0,7.6,6.3,2019
Brandon Bolden,11.0,9.0,111.0,1.0,12.3,10.1,2019
Justin Jackson,11.0,9.0,22.0,0.0,2.4,2.0,2019
Wendell Smallwood,13.0,9.0,64.0,0.0,7.1,4.9,2019
Darwin Thompson,10.0,9.0,43.0,0.0,4.8,4.3,2019
Justice Hill,15.0,8.0,70.0,0.0,8.8,4.7,2019
Rashaad Penny,11.0,8.0,83.0,1.0,10.4,7.5,2019
Patrick Ricard,11.0,8.0,47.0,1.0,5.9,4.3,2019
Mike Davis,8.0,7.0,22.0,0.0,3.1,2.8,2019
Mike Davis,8.0,7.0,22.0,0.0,3.1,2.8,2019
Mike Davis,0.0,0.0,0.0,0.0,0.0,0.0,2019
