Player,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Year
Keith Byars,62.0,564.0,3.0,9.1,1991
Thurman Thomas,62.0,631.0,5.0,10.2,1991
John Williams,61.0,499.0,1.0,8.2,1991
Ronnie Harmon,59.0,555.0,1.0,9.4,1991
Tony Paige,57.0,469.0,1.0,8.2,1991
Robert Delpino,55.0,617.0,1.0,11.2,1991
Dave Meggett,50.0,412.0,3.0,8.2,1991
Merril Hoge,49.0,379.0,1.0,7.7,1991
Emmitt Smith,49.0,258.0,1.0,5.3,1991
Leroy Hoard,48.0,567.0,9.0,11.8,1991
Neal Anderson,47.0,368.0,3.0,7.8,1991
Vince Workman,46.0,371.0,4.0,8.1,1991
Rodney Hampton,43.0,283.0,0.0,6.6,1991
Anthony Johnson,42.0,344.0,0.0,8.2,1991
Eric Dickerson,41.0,269.0,1.0,6.6,1991
Barry Sanders,41.0,307.0,1.0,7.5,1991
James Brooks,40.0,348.0,2.0,8.7,1991
Kevin Mack,40.0,255.0,2.0,6.4,1991
Steve Sewell,38.0,436.0,2.0,11.5,1991
Todd McNair,37.0,342.0,1.0,9.2,1991
Brad Muster,35.0,287.0,1.0,8.2,1991
Earnest Byner,34.0,308.0,0.0,9.1,1991
Tom Rathman,34.0,286.0,0.0,8.4,1991
Ken Clark,33.0,245.0,0.0,7.4,1991
Herschel Walker,33.0,204.0,0.0,6.2,1991
Keith Henderson,30.0,303.0,0.0,10.1,1991
Blair Thomas,30.0,195.0,1.0,6.5,1991
Johnny Johnson,29.0,225.0,2.0,7.8,1991
Eric Metcalf,29.0,294.0,0.0,10.1,1991
Allen Pinkett,29.0,228.0,1.0,7.9,1991
Daryl Johnston,28.0,244.0,1.0,8.7,1991
Lorenzo White,27.0,211.0,0.0,7.8,1991
Gill Fenerty,26.0,235.0,2.0,9.0,1991
Gary Anderson,25.0,184.0,0.0,7.4,1991
Dexter Carter,23.0,253.0,1.0,11.0,1991
Keith Woodside,22.0,185.0,0.0,8.4,1991
Dalton Hilliard,21.0,127.0,1.0,6.0,1991
Craig Taylor,21.0,122.0,0.0,5.8,1991
Kenneth Davis,20.0,118.0,1.0,5.9,1991
Buford McGee,20.0,160.0,0.0,8.0,1991
Robert Wilson,20.0,121.0,2.0,6.1,1991
Larry Centers,19.0,176.0,0.0,9.3,1991
Darrin Nelson,19.0,142.0,0.0,7.5,1991
Leonard Russell,18.0,81.0,0.0,4.5,1991
Roger Craig,17.0,136.0,0.0,8.0,1991
Bob Perryman,17.0,171.0,0.0,10.1,1991
Ricky Ervins,16.0,181.0,1.0,11.3,1991
Harold Green,16.0,136.0,0.0,8.5,1991
John Stephens,16.0,119.0,0.0,7.4,1991
Harvey Williams,16.0,147.0,2.0,9.2,1991
Marcus Allen,15.0,131.0,0.0,8.7,1991
Reggie Cobb,15.0,111.0,0.0,7.4,1991
Buford Jordan,15.0,92.0,1.0,6.1,1991
James Rouse,15.0,93.0,0.0,6.2,1991
Steve Smith,15.0,130.0,1.0,8.7,1991
Warren Williams,15.0,139.0,0.0,9.3,1991
Bill Jones,14.0,97.0,1.0,6.9,1991
Heath Sherman,14.0,59.0,0.0,4.2,1991
Sammie Smith,14.0,95.0,0.0,6.8,1991
Leroy Thompson,14.0,118.0,0.0,8.4,1991
Cleveland Gary,13.0,110.0,0.0,8.5,1991
Gaston Green,13.0,78.0,0.0,6.0,1991
Joe Morris,13.0,76.0,0.0,5.8,1991
Harry Sydney,13.0,90.0,2.0,6.9,1991
Brad Baxter,12.0,124.0,0.0,10.3,1991
Steve Broussard,12.0,120.0,1.0,10.0,1991
Ottis Anderson,11.0,41.0,0.0,3.7,1991
Rod Bernstine,11.0,124.0,0.0,11.3,1991
Derrick Fenner,11.0,72.0,0.0,6.5,1991
Mark Higgs,11.0,80.0,0.0,7.3,1991
Ivy Joe Hunter,11.0,97.0,0.0,8.8,1991
Marion Butts,10.0,91.0,1.0,9.1,1991
James Jones,10.0,103.0,0.0,10.3,1991
James Joseph,10.0,64.0,0.0,6.4,1991
Barry Foster,9.0,117.0,1.0,13.0,1991
Troy Stradford,9.0,91.0,0.0,10.1,1991
Jon Vaughn,9.0,89.0,0.0,9.9,1991
Aaron Craver,8.0,67.0,0.0,8.4,1991
Terrence Flagler,8.0,85.0,0.0,10.6,1991
Thomas Sanders,8.0,62.0,0.0,7.8,1991
Tommie Agee,7.0,43.0,0.0,6.1,1991
Albert Bentley,7.0,42.0,0.0,6.0,1991
Maurice Carthon,7.0,39.0,0.0,5.6,1991
Johnny Hector,7.0,51.0,0.0,7.3,1991
Freeman McNeil,7.0,56.0,0.0,8.0,1991
Anthony Thompson,7.0,52.0,0.0,7.4,1991
Darrell Thompson,7.0,71.0,0.0,10.1,1991
Terry Allen,6.0,49.0,1.0,8.2,1991
Nick Bell,6.0,62.0,0.0,10.3,1991
Marcus Dupree,6.0,46.0,0.0,7.7,1991
Mark Green,6.0,54.0,0.0,9.0,1991
Keith Jones,6.0,58.0,0.0,9.7,1991
James Saxon,6.0,55.0,0.0,9.2,1991
Ickey Woods,6.0,36.0,0.0,6.0,1991
Mike Dingle,5.0,23.0,1.0,4.6,1991
Lewis Tillman,5.0,30.0,0.0,6.0,1991
Craig Heyward,4.0,34.0,1.0,8.5,1991
Don Overton,4.0,38.0,0.0,9.5,1991
Eric Ball,3.0,17.0,0.0,5.7,1991
Carwell Gardner,3.0,20.0,0.0,6.7,1991
Tracy Johnson,3.0,27.0,0.0,9.0,1991
Christian Okoye,3.0,34.0,0.0,11.3,1991
Bruce Perkins,3.0,-2.0,0.0,-0.7,1991
Kimble Anders,2.0,30.0,0.0,15.0,1991
Gary Brown,2.0,1.0,0.0,0.5,1991
Jarrod Bunch,2.0,8.0,0.0,4.0,1991
Rick Fenney,2.0,11.0,0.0,5.5,1991
Greg Lewis,2.0,9.0,0.0,4.5,1991
Tim Manoa,2.0,5.0,0.0,2.5,1991
Allen Rice,2.0,10.0,0.0,5.0,1991
Lee Rouson,2.0,9.0,0.0,4.5,1991
Mike Rozier,2.0,15.0,0.0,7.5,1991
Chris Samuels,2.0,33.0,0.0,16.5,1991
Ernie Thompson,2.0,35.0,1.0,17.5,1991
Spencer Tillman,2.0,3.0,0.0,1.5,1991
Chris Warren,2.0,9.0,0.0,4.5,1991
Barry Word,2.0,13.0,0.0,6.5,1991
Marvin Allen,1.0,9.0,0.0,9.0,1991
Alfred Anderson,1.0,2.0,0.0,2.0,1991
Ricky Blake,1.0,5.0,0.0,5.0,1991
D.J. Dozier,1.0,3.0,0.0,3.0,1991
Cedric Jackson,1.0,-2.0,0.0,-2.0,1991
Fred McAfee,1.0,8.0,0.0,8.0,1991
Erric Pegram,1.0,-1.0,0.0,-1.0,1991
Gerald Riggs,1.0,5.0,0.0,5.0,1991
George Adams,0.0,0.0,0.0,0.0,1991
Johnny Bailey,0.0,0.0,0.0,0.0,1991
Eric Bieniemy,0.0,0.0,0.0,0.0,1991
A.B. Brown,0.0,0.0,0.0,0.0,1991
Pat Chaffey,0.0,0.0,0.0,0.0,1991
Robert Drummond,0.0,0.0,0.0,0.0,1991
Alonzo Highsmith,0.0,0.0,0.0,0.0,1991
Bobby Humphrey,0.0,0.0,0.0,0.0,1991
Darren Lewis,0.0,0.0,0.0,0.0,1991
Marc Logan,0.0,0.0,0.0,0.0,1991
Derek Loville,0.0,0.0,0.0,0.0,1991
Napoleon McCallum,0.0,0.0,0.0,0.0,1991
Brian Mitchell,0.0,0.0,0.0,0.0,1991
Bobby Morse,0.0,0.0,0.0,0.0,1991
Curvin Richards,0.0,0.0,0.0,0.0,1991
Reggie Rivers,0.0,0.0,0.0,0.0,1991
Marcus Wilson,0.0,0.0,0.0,0.0,1991
Tim Worley,0.0,0.0,0.0,0.0,1991
