Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Ricky Williams,26.0,MIA,RB,16.0,16.0,392.0,1372.0,9.0,68.0,36.7,45.0,3.5,85.8,24.5,7.0,,2003
Jamal Lewis,24.0,BAL,RB,16.0,16.0,387.0,2066.0,14.0,85.0,45.2,82.0,5.3,129.1,24.2,8.0,"PB,AP-1,AP MVP-4,AP OPoY-1",2003
Ahman Green,26.0,GNB,RB,16.0,16.0,355.0,1883.0,15.0,100.0,49.3,98.0,5.3,117.7,22.2,7.0,PB,2003
Deuce McAllister,25.0,NOR,RB,16.0,16.0,351.0,1641.0,8.0,69.0,40.7,76.0,4.7,102.6,21.9,6.0,"PB,AP OPoY-6",2003
Fred Taylor,27.0,JAX,RB,16.0,16.0,345.0,1572.0,6.0,79.0,46.7,62.0,4.6,98.3,21.6,6.0,,2003
Travis Henry,25.0,BUF,RB,15.0,15.0,331.0,1356.0,10.0,77.0,44.1,64.0,4.1,90.4,22.1,7.0,,2003
Shaun Alexander,26.0,SEA,RB,16.0,15.0,326.0,1435.0,14.0,81.0,46.6,55.0,4.4,89.7,20.4,4.0,PB,2003
Curtis Martin,30.0,NYJ,RB,16.0,16.0,323.0,1308.0,2.0,57.0,44.6,56.0,4.0,81.8,20.2,2.0,,2003
Priest Holmes,30.0,KAN,RB,16.0,16.0,320.0,1420.0,27.0,90.0,57.5,31.0,4.4,88.8,20.0,1.0,"PB,AP-1,AP MVP-5,AP OPoY-4,AP CPoY-11",2003
Stephen Davis,29.0,CAR,RB,14.0,14.0,318.0,1444.0,8.0,69.0,45.6,40.0,4.5,103.1,22.7,3.0,"PB,AP CPoY-4",2003
LaDainian Tomlinson,24.0,SDG,RB,16.0,16.0,313.0,1645.0,13.0,83.0,43.1,73.0,5.3,102.8,19.6,2.0,"AP-2,AP OPoY-2",2003
Eddie George,30.0,TEN,RB,16.0,16.0,312.0,1031.0,5.0,52.0,38.5,27.0,3.3,64.4,19.5,1.0,,2003
