Tm,G,PA,Ply,Y/P,Year
Kansas City Chiefs,16.0,232.0,974.0,5.0,1997
Tampa Bay Buccaneers,16.0,263.0,982.0,4.7,1997
San Francisco 49ers,16.0,265.0,949.0,4.2,1997
New York Giants,16.0,265.0,1082.0,4.7,1997
Green Bay Packers,16.0,282.0,1047.0,4.6,1997
Denver Broncos,16.0,287.0,951.0,4.9,1997
New York Jets,16.0,287.0,1057.0,5.0,1997
Washington Redskins,16.0,289.0,1058.0,4.8,1997
New England Patriots,16.0,289.0,1100.0,4.6,1997
Detroit Lions,16.0,306.0,1021.0,4.8,1997
Pittsburgh Steelers,16.0,307.0,1005.0,4.7,1997
Tennessee Oilers,16.0,310.0,992.0,5.3,1997
Carolina Panthers,16.0,314.0,1023.0,4.9,1997
Dallas Cowboys,16.0,314.0,1022.0,4.4,1997
Jacksonville Jaguars,16.0,318.0,1035.0,5.1,1997
New Orleans Saints,16.0,327.0,1073.0,4.3,1997
Miami Dolphins,16.0,327.0,1004.0,5.3,1997
Baltimore Ravens,16.0,345.0,1068.0,5.0,1997
Minnesota Vikings,16.0,359.0,1028.0,5.5,1997
St. Louis Rams,16.0,359.0,1021.0,5.0,1997
Atlanta Falcons,16.0,361.0,960.0,5.3,1997
Seattle Seahawks,16.0,362.0,959.0,5.1,1997
Buffalo Bills,16.0,367.0,1041.0,4.7,1997
Philadelphia Eagles,16.0,372.0,1009.0,4.9,1997
Arizona Cardinals,16.0,379.0,1049.0,5.2,1997
Indianapolis Colts,16.0,401.0,928.0,5.2,1997
Cincinnati Bengals,16.0,405.0,1091.0,5.2,1997
Oakland Raiders,16.0,419.0,1108.0,5.5,1997
Chicago Bears,16.0,421.0,935.0,5.2,1997
San Diego Chargers,16.0,425.0,1048.0,4.9,1997
Avg Team,,331.9,1020.7,4.9,1997
League Total,,9957.0,30620.0,4.9,1997
Avg Tm/G,,20.7,63.8,4.9,1997
