Tm,G,PA,Ply,Y/P,Year
Los Angeles Chargers,17.0,301.0,1037.0,5.3,2024
Philadelphia Eagles,17.0,303.0,999.0,4.7,2024
Denver Broncos,17.0,311.0,1093.0,4.9,2024
Kansas City Chiefs,17.0,326.0,1026.0,5.3,2024
Minnesota Vikings,17.0,332.0,1078.0,5.3,2024
Green Bay Packers,17.0,338.0,1036.0,5.2,2024
Detroit Lions,17.0,342.0,1016.0,5.7,2024
Pittsburgh Steelers,17.0,347.0,1034.0,5.4,2024
Baltimore Ravens,17.0,361.0,1062.0,5.2,2024
Miami Dolphins,17.0,364.0,1012.0,5.3,2024
Buffalo Bills,17.0,368.0,1052.0,5.5,2024
Seattle Seahawks,17.0,368.0,1065.0,5.3,2024
Chicago Bears,17.0,370.0,1028.0,5.9,2024
Houston Texans,17.0,372.0,1050.0,5.1,2024
Arizona Cardinals,17.0,379.0,1045.0,5.6,2024
Tampa Bay Buccaneers,17.0,385.0,1065.0,5.5,2024
Los Angeles Rams,17.0,386.0,1057.0,5.7,2024
Washington Commanders,17.0,391.0,1029.0,5.4,2024
New Orleans Saints,17.0,398.0,1119.0,5.8,2024
New York Jets,17.0,404.0,1068.0,5.0,2024
New York Giants,17.0,415.0,1051.0,5.6,2024
New England Patriots,17.0,417.0,1068.0,5.5,2024
Atlanta Falcons,17.0,423.0,1067.0,5.5,2024
Indianapolis Colts,17.0,427.0,1112.0,5.5,2024
Cincinnati Bengals,17.0,434.0,1088.0,5.4,2024
Las Vegas Raiders,17.0,434.0,1053.0,5.4,2024
Cleveland Browns,17.0,435.0,1040.0,5.6,2024
Jacksonville Jaguars,17.0,435.0,1125.0,5.9,2024
San Francisco 49ers,17.0,436.0,1029.0,5.2,2024
Tennessee Titans,17.0,460.0,1008.0,5.2,2024
Dallas Cowboys,17.0,468.0,1046.0,5.8,2024
Carolina Panthers,17.0,534.0,1154.0,6.0,2024
Avg Team,,389.5,1056.6,5.4,2024
League Total,,12464.0,33812.0,5.4,2024
Avg Tm/G,,22.9,62.2,5.4,2024
