Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Emmitt Smith,25.0,DAL,RB,15.0,15.0,368.0,1484.0,21.0,100.0,50.5,46.0,4.0,98.9,24.5,1.0,"PB,AP-1",1994
Natrone Means,22.0,SDG,RB,16.0,16.0,343.0,1350.0,12.0,81.0,51.3,25.0,3.9,84.4,21.4,5.0,PB,1994
Chris Warren,26.0,SEA,RB,16.0,15.0,333.0,1545.0,9.0,73.0,47.4,41.0,4.6,96.6,20.8,5.0,"PB,AP-2",1994
Barry Sanders,26.0,DET,RB,16.0,16.0,331.0,1883.0,7.0,76.0,44.7,85.0,5.7,117.7,20.7,0.0,"PB,AP-1,AP MVP-2,AP OPoY-1",1994
Rodney Hampton,25.0,NYG,RB,14.0,13.0,327.0,1075.0,6.0,60.0,42.5,27.0,3.3,76.8,23.4,0.0,,1994
Jerome Bettis,22.0,RAM,RB,16.0,16.0,319.0,1025.0,3.0,57.0,42.9,19.0,3.2,64.1,19.9,5.0,PB,1994
Marshall Faulk,21.0,IND,RB,16.0,16.0,314.0,1282.0,11.0,60.0,43.3,52.0,4.1,80.1,19.6,5.0,"PB,AP-2,AP ORoY-1",1994
Thurman Thomas,28.0,BUF,RB,15.0,15.0,287.0,1093.0,7.0,64.0,47.4,29.0,3.8,72.9,19.1,1.0,,1994
Errict Rhett,24.0,TAM,RB,16.0,8.0,284.0,1011.0,7.0,72.0,48.9,27.0,3.6,63.2,17.8,2.0,AP ORoY-2,1994
Harvey Williams,27.0,RAI,RB,16.0,10.0,282.0,983.0,4.0,45.0,41.8,28.0,3.5,61.4,17.6,4.0,,1994
Lewis Tillman,28.0,CHI,RB,16.0,15.0,275.0,899.0,7.0,45.0,39.3,25.0,3.3,56.2,17.2,1.0,,1994
Terry Allen,26.0,MIN,RB,16.0,16.0,255.0,1031.0,8.0,57.0,44.7,45.0,4.0,64.4,15.9,3.0,,1994
Marion Butts,28.0,NWE,RB,16.0,15.0,243.0,703.0,8.0,40.0,39.1,26.0,2.9,43.9,15.2,1.0,,1994
Johnny Johnson,26.0,NYJ,RB,16.0,14.0,240.0,931.0,3.0,48.0,42.9,90.0,3.9,58.2,15.0,4.0,,1994
Ricky Watters,25.0,SFO,RB,16.0,16.0,239.0,877.0,6.0,49.0,47.7,23.0,3.7,54.8,14.9,8.0,PB,1994
Ronald Moore,24.0,ARI,RB,16.0,16.0,232.0,780.0,4.0,43.0,39.2,24.0,3.4,48.8,14.5,2.0,,1994
Barry Foster,26.0,PIT,RB,11.0,10.0,216.0,851.0,5.0,46.0,47.2,29.0,3.9,77.4,19.6,0.0,,1994
Bernie Parmalee,27.0,MIA,RB,15.0,10.0,216.0,868.0,6.0,56.0,52.8,47.0,4.0,57.9,14.4,5.0,,1994
Leroy Hoard,26.0,CLE,FB,16.0,12.0,209.0,890.0,5.0,42.0,50.2,39.0,4.3,55.6,13.1,8.0,PB,1994
Bam Morris,22.0,PIT,RB,15.0,6.0,198.0,836.0,7.0,50.0,50.5,20.0,4.2,55.7,13.2,3.0,,1994
Lorenzo White,28.0,HOU,RB,15.0,8.0,191.0,757.0,3.0,37.0,45.5,33.0,4.0,50.5,12.7,2.0,,1994
Leonard Russell,25.0,DEN,RB,14.0,13.0,190.0,620.0,9.0,44.0,44.2,22.0,3.3,44.3,13.6,4.0,,1994
Marcus Allen,34.0,KAN,RB,13.0,13.0,189.0,709.0,7.0,48.0,50.8,36.0,3.8,54.5,14.5,3.0,,1994
Ricky Ervins,26.0,WAS,RB,16.0,10.0,185.0,650.0,3.0,32.0,40.0,49.0,3.5,40.6,11.6,1.0,,1994
Craig Heyward,28.0,ATL,RB,16.0,11.0,183.0,779.0,7.0,42.0,51.4,17.0,4.3,48.7,11.4,5.0,,1994
Edgar Bennett,25.0,GNB,FB,16.0,15.0,178.0,623.0,5.0,40.0,43.8,39.0,3.5,38.9,11.1,1.0,,1994
Gary Brown,25.0,HOU,RB,12.0,8.0,169.0,648.0,4.0,34.0,51.5,18.0,3.8,54.0,14.1,6.0,,1994
Reggie Cobb,26.0,GNB,RB,16.0,13.0,153.0,579.0,3.0,33.0,39.9,30.0,3.8,36.2,9.6,1.0,,1994
Mario Bates,21.0,NOR,RB,11.0,7.0,151.0,579.0,6.0,32.0,47.0,40.0,3.8,52.6,13.7,3.0,,1994
Derek Brown,23.0,NOR,RB,16.0,9.0,146.0,489.0,3.0,29.0,39.7,16.0,3.3,30.6,9.1,4.0,,1994
Derrick Fenner,27.0,CIN,FB,16.0,13.0,141.0,468.0,1.0,18.0,37.6,21.0,3.3,29.3,8.8,6.0,,1994
Greg Hill,22.0,KAN,RB,16.0,1.0,141.0,574.0,1.0,21.0,37.6,20.0,4.1,35.9,8.8,1.0,,1994
Raymont Harris,24.0,CHI,FB,16.0,11.0,123.0,464.0,1.0,26.0,56.9,13.0,3.8,29.0,7.7,1.0,,1994
