Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Barry Foster,24.0,PIT,RB,16.0,15.0,390.0,1690.0,11.0,69.0,4.3,105.6,24.4,9.0,"PB,AP-1,AP MVP-2,AP OPoY-2",1992
Emmitt Smith,23.0,DAL,RB,16.0,16.0,373.0,1713.0,18.0,68.0,4.6,107.1,23.3,4.0,"PB,AP-1,AP MVP-3,AP OPoY-3",1992
Barry Sanders,24.0,DET,RB,16.0,16.0,312.0,1352.0,9.0,55.0,4.3,84.5,19.5,6.0,"PB,AP-2",1992
Thurman Thomas,26.0,BUF,RB,16.0,16.0,312.0,1487.0,9.0,44.0,4.8,92.9,19.5,6.0,"PB,AP-2,AP OPoY-5",1992
Reggie Cobb,24.0,TAM,RB,16.0,13.0,310.0,1171.0,9.0,25.0,3.8,73.2,19.4,3.0,,1992
Cleveland Gary,26.0,RAM,RB,16.0,16.0,279.0,1125.0,7.0,63.0,4.0,70.3,17.4,9.0,,1992
Herschel Walker,30.0,PHI,RB,16.0,16.0,267.0,1070.0,8.0,38.0,4.0,66.9,16.7,6.0,,1992
Terry Allen,24.0,MIN,RB,16.0,16.0,266.0,1201.0,13.0,51.0,4.5,75.1,16.6,9.0,,1992
Harold Green,24.0,CIN,RB,16.0,15.0,265.0,1170.0,2.0,53.0,4.4,73.1,16.6,1.0,PB,1992
Lorenzo White,26.0,HOU,RB,16.0,16.0,265.0,1226.0,7.0,44.0,4.6,76.6,16.6,2.0,PB,1992
Earnest Byner,30.0,WAS,RB,16.0,16.0,262.0,998.0,6.0,23.0,3.8,62.4,16.4,1.0,,1992
Rodney Hampton,23.0,NYG,RB,16.0,16.0,257.0,1141.0,14.0,63.0,4.4,71.3,16.1,1.0,PB,1992
Mark Higgs,26.0,MIA,RB,16.0,15.0,256.0,915.0,7.0,23.0,3.6,57.2,16.0,5.0,,1992
Chris Warren,24.0,SEA,RB,16.0,16.0,223.0,1017.0,3.0,52.0,4.6,63.6,13.9,2.0,,1992
Marion Butts,26.0,SDG,RB,15.0,15.0,218.0,809.0,4.0,22.0,3.7,53.9,14.5,4.0,,1992
Ricky Watters,23.0,SFO,RB,14.0,13.0,206.0,1013.0,9.0,43.0,4.9,72.4,14.7,2.0,"PB,AP OPoY-6",1992
Eric Dickerson,32.0,RAI,RB,16.0,15.0,187.0,729.0,2.0,40.0,3.9,45.6,11.7,1.0,,1992
Anthony Johnson,25.0,IND,RB,15.0,13.0,178.0,592.0,0.0,19.0,3.3,39.5,11.9,6.0,,1992
Johnny Johnson,24.0,PHO,RB,12.0,8.0,178.0,734.0,6.0,42.0,4.1,61.2,14.8,2.0,,1992
Kevin Mack,30.0,CLE,FB,12.0,6.0,169.0,543.0,6.0,37.0,3.2,45.3,14.1,1.0,,1992
Barry Word,29.0,KAN,RB,12.0,11.0,163.0,607.0,4.0,44.0,3.7,50.6,13.6,2.0,,1992
Gaston Green,26.0,DEN,RB,14.0,13.0,161.0,648.0,2.0,67.0,4.0,46.3,11.5,0.0,,1992
Vince Workman,24.0,GNB,RB,10.0,10.0,159.0,631.0,2.0,44.0,4.0,63.1,15.9,4.0,,1992
Neal Anderson,28.0,CHI,RB,16.0,11.0,156.0,582.0,5.0,49.0,3.7,36.4,9.8,6.0,,1992
Vaughn Dunbar,24.0,NOR,RB,16.0,8.0,154.0,565.0,3.0,25.0,3.7,35.3,9.6,3.0,AP ORoY-2,1992
Brad Baxter,25.0,NYJ,FB,15.0,15.0,152.0,698.0,6.0,30.0,4.6,46.5,10.1,3.0,,1992
Ricky Ervins,24.0,WAS,RB,16.0,0.0,151.0,495.0,2.0,25.0,3.3,30.9,9.4,1.0,,1992
Christian Okoye,31.0,KAN,FB,15.0,5.0,144.0,448.0,6.0,22.0,3.1,29.9,9.6,2.0,,1992
Kenneth Davis,30.0,BUF,RB,16.0,0.0,139.0,613.0,6.0,64.0,4.4,38.3,8.7,5.0,,1992
Leonard Russell,23.0,NWE,RB,11.0,10.0,123.0,390.0,2.0,23.0,3.2,35.5,11.2,3.0,,1992
Rodney Culver,23.0,IND,RB,16.0,2.0,121.0,321.0,7.0,36.0,2.7,20.1,7.6,2.0,AP ORoY-6,1992
Dalton Hilliard,28.0,NOR,RB,16.0,4.0,115.0,445.0,3.0,22.0,3.9,27.8,7.2,6.0,,1992
John Williams,28.0,SEA,FB,16.0,16.0,114.0,339.0,1.0,14.0,3.0,21.2,7.1,4.0,,1992
Jon Vaughn,22.0,NWE,RB,16.0,5.0,113.0,451.0,1.0,36.0,4.0,28.2,7.1,6.0,,1992
Derrick Fenner,25.0,CIN,RB,16.0,1.0,112.0,500.0,7.0,35.0,4.5,31.3,7.0,1.0,,1992
Heath Sherman,25.0,PHI,FB,16.0,7.0,112.0,583.0,5.0,34.0,5.2,36.4,7.0,3.0,,1992
Rod Bernstine,27.0,SDG,RB,9.0,1.0,106.0,499.0,4.0,25.0,4.7,55.4,11.8,2.0,,1992
Roger Craig,32.0,MIN,RB,15.0,1.0,105.0,416.0,4.0,21.0,4.0,27.7,7.0,2.0,,1992
Jarrod Bunch,24.0,NYG,FB,16.0,13.0,104.0,501.0,3.0,37.0,4.8,31.3,6.5,3.0,,1992
Craig Heyward,26.0,NOR,FB,16.0,13.0,104.0,416.0,3.0,23.0,4.0,26.0,6.5,1.0,,1992
Bobby Humphrey,26.0,MIA,RB,16.0,1.0,102.0,471.0,1.0,21.0,4.6,29.4,6.4,2.0,,1992
Tommy Vardell,23.0,CLE,FB,14.0,10.0,99.0,369.0,0.0,35.0,3.7,26.4,7.1,0.0,AP ORoY-10,1992
Brad Muster,27.0,CHI,FB,16.0,16.0,98.0,414.0,3.0,35.0,4.2,25.9,6.1,2.0,,1992
