Target,R²,MAE,RMSE,MAPE,Pearson_Correlation,Pearson_P_Value,Within_20%,Relative_Bias_%
Attempts,0.3380942675342784,56.184367034834324,70.96971843384641,284.43668021105077,0.5961335789099221,3.619671746082637e-114,23.279524214103652,6.809394613695674
Yards,0.2997842665829761,261.01104502973664,334.81982879902637,651.1948896543348,0.5592398359664611,8.387595582409014e-98,22.429906542056074,4.933895464923437
Touchdowns,0.1681700855834629,2.485981308411215,3.454277143808266,98.54089081630438,0.44920071339840384,1.620174411830646e-59,17.672047578589634,-18.480492813141684
