Tm,G,PA,Ply,Y/P,Year
San Francisco 49ers,17.0,277.0,1026.0,5.0,2022
Buffalo Bills,16.0,286.0,997.0,5.1,2022
Baltimore Ravens,17.0,315.0,1047.0,5.3,2022
New York Jets,17.0,316.0,1093.0,4.8,2022
Cincinnati Bengals,16.0,322.0,996.0,5.4,2022
Dallas Cowboys,17.0,342.0,1101.0,5.1,2022
Washington Commanders,17.0,343.0,998.0,5.2,2022
Philadelphia Eagles,17.0,344.0,1072.0,4.8,2022
New Orleans Saints,17.0,345.0,1076.0,5.0,2022
Pittsburgh Steelers,17.0,346.0,1024.0,5.5,2022
New England Patriots,17.0,347.0,1091.0,5.0,2022
Jacksonville Jaguars,17.0,350.0,1106.0,5.4,2022
Tampa Bay Buccaneers,17.0,358.0,1073.0,5.1,2022
Denver Broncos,17.0,359.0,1079.0,5.0,2022
Tennessee Titans,17.0,359.0,1100.0,5.4,2022
Kansas City Chiefs,17.0,369.0,1093.0,5.1,2022
Green Bay Packers,17.0,371.0,991.0,5.8,2022
New York Giants,17.0,371.0,1078.0,5.6,2022
Carolina Panthers,17.0,374.0,1103.0,5.4,2022
Cleveland Browns,17.0,381.0,1041.0,5.4,2022
Los Angeles Chargers,17.0,384.0,1002.0,5.9,2022
Los Angeles Rams,17.0,384.0,1049.0,5.5,2022
Atlanta Falcons,17.0,386.0,1082.0,5.7,2022
Miami Dolphins,17.0,399.0,1086.0,5.3,2022
Seattle Seahawks,17.0,401.0,1117.0,5.5,2022
Las Vegas Raiders,17.0,418.0,1077.0,5.8,2022
Houston Texans,17.0,420.0,1134.0,5.7,2022
Minnesota Vikings,17.0,427.0,1118.0,5.9,2022
Detroit Lions,17.0,427.0,1076.0,6.2,2022
Indianapolis Colts,17.0,427.0,1092.0,5.2,2022
Arizona Cardinals,17.0,449.0,1075.0,5.5,2022
Chicago Bears,17.0,463.0,1043.0,6.1,2022
Avg Team,,370.6,1066.8,5.4,2022
League Total,,11860.0,34136.0,5.4,2022
Avg Tm/G,,21.9,63.0,5.4,2022
