Tm,G,PA,Ply,Y/P,Year
Cleveland Browns,16.0,204.0,1090.0,4.4,1994
Pittsburgh Steelers,16.0,234.0,1008.0,4.3,1994
Dallas Cowboys,16.0,248.0,1006.0,4.3,1994
Arizona Cardinals,16.0,267.0,909.0,4.8,1994
Green Bay Packers,16.0,287.0,1023.0,4.7,1994
San Francisco 49ers,16.0,296.0,996.0,4.9,1994
Kansas City Chiefs,16.0,298.0,989.0,5.1,1994
New York Giants,16.0,305.0,973.0,5.1,1994
San Diego Chargers,16.0,306.0,1005.0,5.0,1994
Chicago Bears,16.0,307.0,982.0,5.1,1994
Philadelphia Eagles,16.0,308.0,981.0,4.8,1994
New England Patriots,16.0,312.0,1006.0,5.2,1994
Minnesota Vikings,16.0,314.0,988.0,4.8,1994
Indianapolis Colts,16.0,320.0,1090.0,4.9,1994
New York Jets,16.0,320.0,1014.0,5.3,1994
Seattle Seahawks,16.0,323.0,1077.0,5.0,1994
Miami Dolphins,16.0,327.0,1000.0,5.2,1994
Los Angeles Raiders,16.0,327.0,1046.0,4.7,1994
Detroit Lions,16.0,342.0,1086.0,5.0,1994
Tampa Bay Buccaneers,16.0,351.0,986.0,5.4,1994
Houston Oilers,16.0,352.0,971.0,5.1,1994
Buffalo Bills,16.0,356.0,1007.0,5.1,1994
Los Angeles Rams,16.0,365.0,1063.0,4.9,1994
Atlanta Falcons,16.0,385.0,1038.0,5.6,1994
Denver Broncos,16.0,396.0,1023.0,5.8,1994
Cincinnati Bengals,16.0,406.0,1053.0,4.9,1994
New Orleans Saints,16.0,407.0,1053.0,5.3,1994
Washington Redskins,16.0,412.0,1080.0,5.2,1994
Avg Team,,324.1,1019.4,5.0,1994
League Total,,9075.0,28543.0,5.0,1994
Avg Tm/G,,20.3,63.7,5.0,1994
