Tm,G,PA,Ply,Y/P,Year
Minnesota Vikings,16.0,252.0,956.0,4.6,2017
Jacksonville Jaguars,16.0,268.0,993.0,4.6,2017
Los Angeles Chargers,16.0,272.0,997.0,5.3,2017
Philadelphia Eagles,16.0,295.0,976.0,5.0,2017
New England Patriots,16.0,296.0,1022.0,5.7,2017
Baltimore Ravens,16.0,303.0,1045.0,5.0,2017
Pittsburgh Steelers,16.0,308.0,940.0,5.2,2017
Atlanta Falcons,16.0,315.0,994.0,5.1,2017
Chicago Bears,16.0,320.0,1003.0,5.1,2017
New Orleans Saints,16.0,326.0,1002.0,5.4,2017
Carolina Panthers,16.0,327.0,953.0,5.3,2017
Los Angeles Rams,16.0,329.0,1021.0,5.3,2017
Dallas Cowboys,16.0,332.0,1000.0,5.1,2017
Seattle Seahawks,16.0,332.0,1045.0,4.9,2017
Kansas City Chiefs,16.0,339.0,1044.0,5.6,2017
Cincinnati Bengals,16.0,349.0,1091.0,5.0,2017
Tennessee Titans,16.0,356.0,1046.0,5.0,2017
Buffalo Bills,16.0,359.0,1066.0,5.3,2017
Arizona Cardinals,16.0,361.0,1008.0,4.9,2017
Oakland Raiders,16.0,373.0,994.0,5.6,2017
Detroit Lions,16.0,376.0,1037.0,5.5,2017
New York Jets,16.0,382.0,1052.0,5.4,2017
Denver Broncos,16.0,382.0,952.0,4.9,2017
Tampa Bay Buccaneers,16.0,382.0,1011.0,6.0,2017
San Francisco 49ers,16.0,383.0,1065.0,5.3,2017
Green Bay Packers,16.0,384.0,1014.0,5.5,2017
New York Giants,16.0,388.0,1052.0,5.7,2017
Washington Redskins,16.0,388.0,1045.0,5.3,2017
Miami Dolphins,16.0,393.0,989.0,5.4,2017
Indianapolis Colts,16.0,404.0,1026.0,5.7,2017
Cleveland Browns,16.0,410.0,1026.0,5.1,2017
Houston Texans,16.0,436.0,973.0,5.7,2017
Avg Team,,347.5,1013.7,5.3,2017
League Total,,11120.0,32438.0,5.3,2017
Avg Tm/G,,21.7,63.4,5.3,2017
