Tm,G,PA,Ply,Y/P,Year
New Orleans Saints,16.0,202.0,949.0,4.3,1992
Pittsburgh Steelers,16.0,225.0,949.0,4.9,1992
San Francisco 49ers,16.0,236.0,943.0,5.1,1992
San Diego Chargers,16.0,241.0,907.0,4.7,1992
Dallas Cowboys,16.0,243.0,873.0,4.5,1992
Philadelphia Eagles,16.0,245.0,959.0,4.6,1992
Minnesota Vikings,16.0,249.0,997.0,4.5,1992
Washington Redskins,16.0,255.0,911.0,4.9,1992
Houston Oilers,16.0,258.0,907.0,4.6,1992
Cleveland Browns,16.0,275.0,963.0,4.9,1992
Miami Dolphins,16.0,281.0,976.0,4.7,1992
Los Angeles Raiders,16.0,281.0,974.0,4.6,1992
Kansas City Chiefs,16.0,282.0,949.0,4.6,1992
Buffalo Bills,16.0,283.0,991.0,4.6,1992
Green Bay Packers,16.0,296.0,923.0,5.5,1992
Indianapolis Colts,16.0,302.0,1004.0,5.1,1992
Seattle Seahawks,16.0,312.0,987.0,4.6,1992
New York Jets,16.0,315.0,961.0,5.1,1992
Denver Broncos,16.0,329.0,1001.0,5.1,1992
Detroit Lions,16.0,332.0,976.0,5.2,1992
Phoenix Cardinals,16.0,332.0,915.0,5.6,1992
Chicago Bears,16.0,361.0,953.0,5.2,1992
New England Patriots,16.0,363.0,1000.0,5.0,1992
Cincinnati Bengals,16.0,364.0,1024.0,5.2,1992
Tampa Bay Buccaneers,16.0,365.0,985.0,5.3,1992
New York Giants,16.0,367.0,923.0,5.5,1992
Los Angeles Rams,16.0,383.0,1005.0,5.5,1992
Atlanta Falcons,16.0,414.0,934.0,5.9,1992
Avg Team,,299.7,958.5,5.0,1992
League Total,,8391.0,26839.0,5.0,1992
Avg Tm/G,,18.7,59.9,5.0,1992
