Tm,G,PA,Ply,Y/P,Year
Chicago Bears,16.0,283.0,1004.0,4.8,2018
Baltimore Ravens,16.0,287.0,974.0,4.8,2018
Tennessee Titans,16.0,303.0,1001.0,5.3,2018
Houston Texans,16.0,316.0,1022.0,5.4,2018
Jacksonville Jaguars,16.0,316.0,970.0,5.1,2018
Dallas Cowboys,16.0,324.0,981.0,5.4,2018
New England Patriots,16.0,325.0,1002.0,5.7,2018
Los Angeles Chargers,16.0,329.0,981.0,5.4,2018
Minnesota Vikings,16.0,341.0,993.0,5.0,2018
Indianapolis Colts,16.0,344.0,997.0,5.5,2018
Seattle Seahawks,16.0,347.0,955.0,5.9,2018
Philadelphia Eagles,16.0,348.0,1002.0,5.8,2018
Denver Broncos,16.0,349.0,1022.0,5.7,2018
New Orleans Saints,16.0,353.0,978.0,5.7,2018
Washington Redskins,16.0,359.0,996.0,5.7,2018
Detroit Lions,16.0,360.0,942.0,5.7,2018
Pittsburgh Steelers,16.0,360.0,987.0,5.3,2018
Buffalo Bills,16.0,374.0,968.0,4.9,2018
Carolina Panthers,16.0,382.0,948.0,6.0,2018
Los Angeles Rams,16.0,384.0,960.0,6.0,2018
Cleveland Browns,16.0,392.0,1122.0,5.6,2018
Green Bay Packers,16.0,400.0,1017.0,5.6,2018
New York Giants,16.0,412.0,1034.0,5.7,2018
Kansas City Chiefs,16.0,421.0,1109.0,5.9,2018
Atlanta Falcons,16.0,423.0,1031.0,6.0,2018
Arizona Cardinals,16.0,425.0,1065.0,5.4,2018
Miami Dolphins,16.0,433.0,1024.0,6.1,2018
San Francisco 49ers,16.0,435.0,1023.0,5.4,2018
New York Jets,16.0,441.0,1061.0,5.7,2018
Cincinnati Bengals,16.0,455.0,1084.0,6.1,2018
Tampa Bay Buccaneers,16.0,464.0,998.0,6.1,2018
Oakland Raiders,16.0,467.0,973.0,6.3,2018
Avg Team,,373.5,1007.0,5.6,2018
League Total,,11952.0,32224.0,5.6,2018
Avg Tm/G,,23.3,62.9,5.6,2018
